item,cnt
5,1
when,76
after,41
eight,6
day,63
helen,356
have,761
hear,41
nothing,45
more,83
from,151
giles,108
carnaby,33
she,930
be,1852
bleakly,3
self-contemptuous,1
heightened,1
condition,7
persist,4
there,214
could,114
do,399
about,156
that,453
the,1978
swerve,1
of,1065
mood,1
burning,1
sense,24
in,641
an,129
animal,4
tell,47
herself,42
savagely,1
it,606
would,169
call,19
on,293
heat,1
mother,99
who,85
fade,8
hitherto,2
return,22
to,954
fill,11
black,11
hole,1
by,147
kitchen,28
sink,5
or,181
confront,6
stairs,6
say,348
smugly,3
all,192
along,9
what,213
expect,14
louise,74
come,109
again,57
tow,1
suzanne,10
spend,10
entire,6
time,108
shuttered,1
off,58
within,12
earphone,2
walkman,1
if,90
speak,17
smile,28
with,319
bland,3
and,1081
tolerant,2
self-absorption,1
like,120
very,61
old,42
much,46
complaint,2
phil,22
obliquely,1
tim,17
alarmed,1
suspect,4
infidelity,1
episode,1
past,23
concerning,2
which,86
boil,4
away,37
telephone,23
for,268
month,15
end,24
ask,27
wrong,12
he,972
's,158
irritably,1
precisely,4
as,258
always,40
problem,13
i,877
suppose,27
not,562
you,642
love,15
edward,356
roll,5
eye,29
exasperation,1
god,26
simply,17
know,154
first,25
thing,90
marriage,3
well,98
bless,5
how,50
listen,18
tout,3
passe,1
casse,1
lasse,1
right,47
french,4
expression,13
suggest,3
instability,1
appear,26
think,192
hard,7
a,1004
few,29
moment,56
then,111
get,151
up,137
leave,37
room,45
abruptly,2
matter,23
nearest,1
ever,27
see,141
snappish,1
someone,18
constitutionally,1
incapable,2
bad,20
temper,3
trouble,10
practically,1
saint,1
honestly,3
never,62
anything,30
nasty,1
anyone,14
life,29
make,85
occasionally,4
so,133
impossible,3
just,51
marry,2
no,121
one,187
stand,53
course,68
card,9
bit,31
edgy,2
maybe,17
sigh,11
forty,1
year,58
too,52
late,20
uptight,1
some,102
heavily,3
go,181
through,32
patch,5
we,197
each,24
other,85
nerve,2
put,52
bluntly,1
hence,2
here,51
far,37
certainly,11
pity,1
though,48
honest,2
feel,79
less,14
inclined,2
stare,23
glumly,1
at,338
window,30
frankly,6
seldom,3
glow,5
these,36
including,3
daresay,12
partly,2
sex,5
bugger,1
sorry,14
should,46
talk,44
this,163
sentence,3
unfinished,1
tartly,1
give,51
searching,1
look,118
now,136
start,14
sound,14
into,118
both,40
mean,51
subject,5
enthral,2
peculiar,1
once,44
anyway,34
out,139
sync,1
can,83
else,27
connect,1
worry,6
split,2
least,20
trust,6
clamp,1
head,42
exude,2
distant,13
tinny,1
jangle,3
sit,44
down,74
vaguely,4
explain,13
context,1
long,30
together,10
ssh,1
murmur,4
dead,9
world,14
lucky,2
little,33
beggar,1
extraordinary,1
even,37
agitated,1
boy,13
dig,8
garden,21
yes,25
ron,36
paget,16
son,2
saturday,7
oh,58
good,53
idea,10
surely,9
really,31
grow,10
vegetable,5
nobody,3
set,17
fifty,3
hour,24
consider,13
exploitation,1
london,16
but,179
par,1
round,25
take,65
cut,5
himself,32
mind,33
personally,2
notice,11
wipe,2
glass,22
they,360
thwack,1
flump,1
spade-work,1
turn,48
walk,22
irresolutely,1
around,49
door,42
where,51
halt,6
rspb,1
field-trip,1
will,105
back,66
till,9
bye,1
er,1
glance,20
blankly,2
placatingly,1
way,79
forget,11
lawyer,4
ring,36
want,44
um,2
yesterday,3
before,25
neither,21
move,26
nor,21
alter,1
continue,27
private,2
begin,30
recount,1
discontent,1
unheard,1
either,15
daughter,2
sister,16
postpone,1
might,30
hoard,1
delicacy,1
savour,2
anticipation,3
last,37
warmly,1
effusive,1
relief,4
must,41
doghouse,1
reason,6
over,61
period,4
message,2
shall,20
severely,1
brother,12
proposition,1
choir,9
monday,3
diversion,2
big,9
night,14
next,24
week,34
performance,4
evening,16
towards,22
strive,1
bring,13
friend,15
family,7
please,14
mine,7
perform,4
everyone,13
wine,15
cheese,4
usually,6
quite,57
fun,5
later,12
release,4
spell,3
voice,7
plague,1
niggling,1
incredulity,2
why,40
woman,35
spaxton,15
married,5
bother,9
most,30
people,72
nowadays,5
wonder,38
jump,6
conclusion,1
proper,4
fool,5
yourself,14
man,47
client,3
expensive,5
lunch,14
invite,4
concert,5
while,16
work,16
library,22
regular,2
