item,cnt
chapter,15
5,1
the,2443
sound,14
of,847
drill,2
from,121
basement,6
reach,21
lorton,322
in,517
spare,4
bedroom,5
two,46
floor,19
above,11
he,1553
find,70
be,1870
fully,2
clothe,1
under,13
duvet,6
curtain,4
bright,6
with,276
winter,7
sunshine,3
it,711
just,94
after,47
eleven,2
o'clock,11
swing,8
leg,18
out,117
bed,14
and,718
stand,20
up,137
cautiously,2
so,101
far,18
good,58
on,331
landing,1
drilling,1
loud,3
ignore,9
go,158
into,84
bathroom,8
arabella,54
's,296
toothbrush,1
still,41
mug,5
basin,1
as,225
empty,19
bladder,1
stare,14
at,237
face,46
shaving,1
mirror,4
neither,4
look,75
nor,6
feel,36
awful,3
deserve,3
memory,5
yesterday,13
evening,27
patchy,1
have,853
several,11
picture,10
like,102
photograph,4
mind,45
but,239
difficult,12
to,1056
link,5
they,349
together,17
resist,4
effort,2
shuffle,1
chronological,1
order,5
remember,23
sit,33
while,26
william,83
dougal,306
draw,8
drop,15
plank,1
tool,1
pavement,5
perhaps,42
that,435
happen,30
early,10
right,46
beginning,4
some,46
point,26
there,160
a,999
pint-pot,1
fill,5
water,18
could,135
also,15
recall,2
three,21
aspirin,1
make,102
triangle,1
palm,7
hand,66
number,13
seem,34
significant,1
time,95
normal,6
dose,2
do,415
tooth,4
take,77
long,22
shower,1
first,34
hot,1
then,39
cold,22
run,28
down,68
body,35
remind,6
cry,10
last,61
night,36
tear,4
for,296
himself,56
child,10
who,46
would,226
never,32
bear,8
not,539
ashamed,1
crying,2
which,78
surprise,15
strange,9
conversation,11
come,103
back,73
scrape,5
day,48
',12
stubble,1
assume,3
dream,4
discuss,8
pro,1
con,1
murder,13
ivor,58
newley,146
kill,30
desirable,2
if,186
far-fetched,2
become,14
millionaire,1
or,76
cure,1
cancer,1
surely,7
unlikely,8
talk,32
over,61
idea,24
someone,44
little,50
than,50
stranger,3
say,254
something,55
about,139
blackmail,6
rest,18
suddenly,8
fall,17
place,19
must,45
humour,5
entirely,3
serious,4
what,134
sense,13
rinse,1
lather,1
skin,10
frown,6
clean-shaven,1
too,58
much,40
merely,2
threat,3
all,104
round,29
agency,6
by,96
now,61
clean,6
clothes,7
wardrobe,3
downstairs,2
kitchen,20
celia,204
washing,2
leave,60
fresh,8
pint,6
milk,3
morning,21
mail,3
table,33
cup,8
instant,10
coffee,9
slice,4
toast,1
eat,6
through,53
post,6
sort,24
itself,12
naturally,1
pile,3
junk,1
bill,5
ya-ya,1
letter,25
condolence,1
tuck,1
behind,29
clock,3
sweep,4
remainder,2
correspondence,1
bin,2
stop,20
wonder,39
where,35
spend,16
escort,2
park,19
outside,15
pick,16
jacket,7
sitting,2
room,33
try,63
persuade,5
shelf,8
lie,20
flat,27
bracket,1
door,48
open,29
unmade,1
dressing,3
critically,1
shelving,3
you,593
should,42
use,37
spirit,1
level,3
grimace,1
i,820
one,129
get,120
broken,4
when,85
everything,20
lunchtime,6
yet,10
think,124
pub,7
even,51
lunch,10
know,173
want,105
next,12
few,30
hour,13
own,27
company,5
network,2
unparallel,1
line,24
wall,8
wince,2
need,52
break,8
walk,30
washington,2
corner,4
england,2
lane,7
fine,6
january,4
people,40
smile,26
another,46
shop,7
busy,3
none,6
dead,19
she,625
absence,6
no,109
difference,1
life,19
beside,11
almost,15
prance,2
along,17
unshaven,2
contrast,3
eye,37
blue,9
wash,6
sandwich,3
buy,19
win,6
nearly,15
pound,7
fruit,3
machine,2
celebrate,5
third,10
this,122
work,49
afternoon,9
doubt,8
flick,3
fingernail,1
against,26
glass,22
really,29
mood,1
nod,20
beauty,1
freelance,6
can,92
choose,12
meet,21
an,128
alcohol,2
reproduce,2
curious,6
intimacy,1
before,52
brief,3
nostalgia,2
mercenary,2
abruptly,2
except,11
tell,76
fling,6
light,32
cigarette,14
disapprove,1
okay,7
professional,4
soldier,4
join,9
army,6
country,8
else,26
kind,9
sadist,1
unless,3
french,2
foreign,1
legion,1
romantic,1
most,25
legionary,1
callan,1
father,18
bloody,5
christmas,2
perfectly,6
respectable,2
until,15
nationalism,1
suppose,13
fighting,1
see,102
glorified,1
trade,1
sell,17
skill,2
year,27
angola,1
lebanon,1
mainly,2
earn,4
money,27
why,47
wife,14
pause,11
aware,6
occur,9
longer,7
any,30
reason,21
hide,5
past,10
nothing,40
lose,12
contract,5
construction,2
middle,11
east,1
paper,21
upset,8
herself,12
oh,14
christ,4
sorry,12
confession,2
25,1
how,52
priest,5
maybe,17
listening,1
always,25
more,74
important,7
absolution,1
play,11
will,142
house,30
once,19
settle,5
mortgage,2
might,59
abroad,1
again,25
mean,32
laugh,4
croak,1
drunk,3
only,42
accord,6
already,19
georgina,134
glance,21
across,17
add,5
quickly,12
wrong,15
either,12
shrug,18
way,43
wish,15
victorian,5
novel,4
grind,1
poor,4
fate,2
catch,15
bankrupt,1
alcoholic,2
allow,9
repent,1
deathbed,1
vaguely,2
read,11
dickens,1
school,8
vivid,3
impression,2
slab,2
grey,8
close-set,1
print,1
between,23
worn,1
red,7
cover,8
keep,36
close,14
possible,9
old,29
book,21
twist,4
story,6
fault,4
fatal,1
weakness,3
downfall,1
passion,1
gambling,1
illegitimate,2
harshly,2
word,21
grate,2
oddly,3
enough,30
knowledge,4
pregnant,3
hard,10
anything,19
those,12
damned,5
coin,35
drool,1
miser,1
scrooge,1
fuzz,2
circle,1
hell,4
real,12
tale,2
write,11
raise,9
eyebrow,2
spread,2
upwards,2
concede,1
defeat,1
sure,29
we,148
police,36
around,25
miss,17
prentisse,4
george,2
fowler-troon,19
voice,29
owner,3
move,29
phone,25
closer,3
mouth,14
er,1
other,52
course,35
warily,1
well,55
imposition,1
possibly,4
cackle,1
unexpectedly,3
rouen,2
chance,11
repay,1
very,39
intend,5
desk,7
beckon,2
tedious,1
irrelevance,1
refuge,2
moreover,1
unashamedly,1
interview,3
present,16
manage,10
today,12
suggest,15
daudet,2
compton,1
street,15
choice,4
venue,1
imply,3
short,11
reputation,2
occasionally,2
client,8
whom,2
expect,18
rich,2
picking,1
restaurant,3
ten,22
precisely,4
small,15
eighteenth-century,3
town-house,1
lay,5
window,17
rise,2
politely,2
waiter,4
ferry,1
host,3
prove,6
attentive,1
fussiness,1
guest,4
prefer,5
seat,7
quite,27
comfortable,1
sherry,1
consult,3
menu,1
objection,2
sancerre,1
meal,4
bottle,7
mineral,1
during,6
soon,14
realize,17
man,31
ask,46
job,16
exchange,4
gather,4
adult,2
mention,9
grandchildren,2
reference,3
horse,3
town,2
declining,1
considerable,2
financial,2
comfort,2
twice,6
begin,30
branch,3
subject,8
connection,3
clear,15
bring,13
lean,9
chair,11
usually,5
nap,1
give,63
grace,1
embarrassed,1
admit,5
ulterior,1
motive,7
necessary,5
pleasure,7
entertain,1
charming,3
young,7
lady,7
fiddle,3
handle,5
dear,14
put,45
pity,3
guess,4
dab,2
napkin,1
rather,16
delicate,2
ought,1
may,15
continue,11
circumstance,7
question,24
mere,1
tittle-tattle,1
business,12
jacobite,20
guinea,20
follow,17
afraid,12
plunge,4
deep,3
end,38
let,16
start,26
friend,14
both,27
collect,4
seventeenth-century,1
english,2
call,28
rival,4
apologetically,1
stall,1
december,1
low,9
warton,2
castle,4
sale,8
sussex,1
tea,9
afterwards,7
hotel,3
berthing,3
fail,5
agreement,1
share,5
elderly,2
mrs,11
harvey,4
james,3
iii,2
possession,2
heirloom,1
grandfather,1
Jam–s,1
111,1
pretender,1
mint,2
exist,5
imagine,8
pattern,3
unofficial,2
design,4
coinage,2
sympathizer,1
strike,6
france,1
rome,1
sigh,14
fascinating,2
pendant,2
collection,10
museum,1
quality,4
bust,2
ii,2
stuart,2
arm,21
date,7
trouble,6
king,1
forth,1
case,30
whole,8
thing,40
intrinsically,1
improbable,1
meeting,9
train,4
stay,4
till,4
following,3
week,18
cousin,4
mine,2
live,14
same,31
hello,1
handbag,1
home,28
value,9
local,2
dealer,1
opinion,3
confirm,6
all:james,1
11,2
second,26
1686,1
disappointed,2
sharply,3
downright,2
shock,5
pretty,4
obverse,1
badly,4
scratch,4
switch,10
less,10
valuable,3
worth,6
stupid,8
tantamount,1
theft,3
collector,1
obsessive,1
standard,6
calculated,1
risk,3
spur,1
moment,25
isolated,1
incident,1
guilty,5
sharp,2
practice,2
though,12
undoubtedly,1
bad,25
example,7
personally,4
hear,27
rumour,3
stolen,2
bother,10
deny,2
accuse,3
sue,9
slander,2
accusation,2
publicly,1
legal,4
thank,6
glad,6
off,42
chest,3
eyelid,2
droop,1
softly,6
loom,1
foot,17
carry,8
wear,20
dressing-gown,1
expression,4
smell,8
sleepily,2
beer,5
breath,5
rod,12
champagne,2
appropriate,1
newleys,21
cocktail,1
party,13
friday,7
god,15
butter,4
dinner,12
here,29
jolly,2
anywhere,1
lick,5
ear,4
champagne-cooled,1
tongue,2
mumble,3
pull,27
away,55
head,39
afford,4
hugo,23
able,10
help,22
somewhere,11
turn,34
profile,1
burrow,1
finger,19
bare,3
shiver,5
blend,2
remembered,1
anticipated,1
ncpr,16
tickle,2
retired,2
brigadier,4
concerned,5
suspect,9
secret,5
convinced,3
pinch,1
widow,2
explain,2
attraction,1
curiosity,3
excellent,1
visual,2
addition,2
documentary,10
research,3
his,6
bedside,1
gown,2
carpet,10
wriggle,1
hope,22
top,11
often,8
lead,12
drink,18
bottled,1
guinness,3
watch,17
snooker,3
television,7
activity,4
numbing,1
effect,2
verge,2
footstep,3
hall,8
doorway,4
silk,3
sourly,1
pour,7
wine,11
board,2
build,3
illegally,1
steal,1
hardly,8
grin,3
thoughtfully,2
show,13
6,2
weigher,1
box,7
coliseum,1
tomorrow,8
