item,cnt
part,23
ii,1
the,2536
bard,4
of,901
boulevard,6
seven,2
in,753
chinatown,11
street,39
be,1672
narrow,1
clutter,2
with,334
produce,5
stall,4
open,42
even,33
this,115
late,19
and,1167
mysterious,5
tent,1
i,1208
have,654
an,164
idea,13
could,164
hide,5
out,238
there,171
for,248
a,1316
while,27
maybe,35
rest,20
up,247
make,111
connection,4
who,64
get,177
city,94
cop,45
would,183
watch,8
bus,6
station,7
railroad,3
terminal,5
but,286
bribe,1
way,69
aboard,1
tramp,1
steamer,1
macao,1
or,109
shanghai,2
know,85
that,285
money,25
some,74
genie,1
bank,2
attach,5
to,793
clothing,3
alley,10
beside,9
keye,1
luke,1
cabana,1
under,39
string,8
apparently,4
waterproof,1
paper,22
lantern,2
peel,3
bill,8
off,98
trench,6
coat,10
pants,3
forty,3
fifty,2
thousand,2
hundreds,4
not,359
sequentially,1
number,11
mark,8
any,47
large,11
variety,3
imagine,15
wad,4
one,111
into,173
shoulder,16
holster,2
as,218
ace,1
hole,12
pack,4
it,578
down,110
gun,52
then,91
fist-sized,1
roll,18
shove,4
deep,10
pocket,19
you,308
never,27
entirely,8
safe,6
from,147
pry,1
finger,28
give,75
good,66
shot,12
wolfpack,1
ragged,4
child,17
swarm,6
through,109
snatch,2
at,198
whatever,8
insufficiently,1
guard,11
merchant,2
occasionally,2
kill,31
do,217
seem,17
discouragement,1
enough,26
always,27
new,21
recruit,1
tell,50
fortune,13
mist',3
americano,3
decrepit,1
old,24
man,93
support,6
by,122
young,12
boy,16
huge,8
coolie,3
hat,27
tap,7
he,998
patterned,2
robe,10
trail,3
rainwater,4
face,72
hand,84
white,35
very,29
wrinkled,2
sign,10
extreme,1
age,6
stop,22
just,80
below,6
jawline,1
above,13
wrist,9
empty,19
eye,65
socket,2
cotton,1
scraggly,1
fu,1
manchu,1
moustache,7
long,33
grey,12
pigtail,1
hang,23
around,64
neck,8
cover,10
scrawl,1
ideograph,1
single,2
attempted,2
english,3
word,7
blidn,1
european,1
disguise,4
withered,2
claw,3
reach,22
itself,15
lapel,2
jabber,1
velly,2
china,1
girl,30
bathhouse,1
wait,14
she,944
miss,13
much,38
time,65
star,4
belong,1
hundred,4
rid,3
hold,46
ear,6
slide,6
between,21
grin,8
several,21
tooth,12
black,46
shake,24
excitement,2
realize,1
mistake,7
remember,34
such,7
generosity,1
able,13
describe,3
hell,5
all,96
gook,1
on,308
eyelid,1
probably,12
no,73
blind,7
than,40
hawk,3
two,48
unwanted,1
witness,4
point,13
thank,4
whisper,3
coil,1
chinese,8
phrase,1
helper,1
look,92
almond,1
shine,5
brim-shadowed,1
nod,5
gratitude,1
rattling,1
commotion,1
alert,3
patrol,6
well,25
before,40
shrink,3
back,86
teller,6
totter,1
towards,14
main,6
fold,2
they,306
run,33
goods,1
wrap,13
voluminous,1
sleeve,4
guava,2
foot,30
pick,18
bite,4
deeply,1
taste,9
dry,5
like,174
pasteboard,1
food,2
last,11
eat,6
what,92
hope,15
air,35
raffish,2
nonchalance,1
saunter,4
mouth,19
munch,1
increasingly,1
inedible,1
fruit,3
battered,1
model,6
t,5
ford,2
mount,3
shining,3
machine,13
fly,17
unrecognisable,1
flag,4
lumber,1
push,15
people,36
officer,16
uniform,11
more,73
adequately,1
equip,2
polished,2
belt,8
strap,2
full,22
stand,50
front,16
passenger,1
seat,9
car,41
george,13
washington,2
cross,5
delaware,1
shout,21
dictatorially,1
tethered,1
goat,2
go,154
iron-rimmed,1
wheel,16
vehicle,3
jolt,3
animal,6
crush,3
steady,3
himself,23
grasp,3
windshield,3
beat,13
spiel,1
three,29
glum,1
soldier,8
sit,22
greedily,1
fat,8
civilian,2
dragon-decorated,1
garment,4
driving,1
finally,6
grind,3
halt,2
against,28
remains,1
silk,5
knot,4
scarf,3
catch,13
axle,1
belabour,1
driver,14
about,68
head,75
pair,9
glove,4
step,26
turbanned,1
one-legged,2
beggar,3
raise,12
bowl,2
knock,12
small,18
scramble,2
scattered,2
coin,4
wash,5
drain,3
missing,5
leg,27
drop,14
kick,9
throw,30
con,1
away,69
chatter,3
dialect,1
draw,17
revolver,7
fire,21
fake,2
turban,2
unspool,1
pretty,6
someone,41
unused,1
stay,10
shadows,4
too,56
many,13
fugitive,2
concentrate,13
willing,1
take,90
if,91
trip,4
over,96
bark,5
order,6
jump,4
action,4
grab,4
fling,1
brutally,2
wall,28
josh-house,1
show,24
handful,4
greasepaint,1
rubber,8
stride,3
ask,24
question,8
half,14
still,57
summarily,1
execute,1
dead,29
fall,42
backwards,3
crack,8
lap,2
stone,14
buddha,3
core,3
tear,14
piece,13
form,9
whip,7
past,10
try,52
squeeze,7
lean,10
's,190
turn,45
slip,11
we,213
hair,18
tumble,3
top,16
lovely,2
oval,2
anna,6
may,11
wong,2
silent,6
supplication,1
should,28
own,47
getaway,2
appeal,4
chink,2
armour,2
widow,2
orphan,1
lose,20
dog,7
trouble,7
learn,5
arm,33
kiss,12
enthusiastic,3
keep,51
delicate,1
track,7
outside,20
until,21
wave,21
let,20
press,7
length,6
body,34
side,17
smile,26
unpleasantly,1
silver,2
decoration,1
cap,5
average,2
gypsy,3
caravan,1
samurai,1
sword,8
strung,1
criss-cross,1
please,2
pretence,2
pat,3
total,2
