item,cnt
chapter,11
three,20
the,1921
murder,23
case,44
slip,3
easily,12
into,86
it,744
next,16
phase,1
as,262
if,143
have,1070
be,2044
programme,2
by,117
a,1050
computer,1
that,474
access,6
to,1075
several,13
personal,5
file,5
and,968
know,287
where,92
they,466
interact,2
coffin,223
still,76
ponder,2
on,312
significance,1
of,819
what,176
he,1782
see,150
write,16
piece,7
paper,19
from,135
place,140
's,132
jacket,6
send,23
off,49
laboratory,2
demand,5
an,122
instant,1
report,20
this,149
arrive,10
copy,1
inspector,43
lane,87
far,16
could,194
tell,87
writing,1
ballpoint,1
egan,49
poor,12
quality,1
tear,6
pad,1
kind,28
you,583
might,101
keep,41
in,594
kitchen,26
or,105
telephone,35
pocket,7
pick,14
up,120
fluff,1
minute,7
scrap,2
human,4
skin,5
hair,9
both,24
fingerprint,2
those,20
blur,1
but,348
identifiable,1
at,205
same,27
time,93
determined,2
police,62
search,9
for,273
terry,70
begin,19
area,8
down,81
river,44
neither,5
quiet,15
nor,11
unobtrusive,2
since,13
not,665
intend,2
aim,3
frighten,6
act,12
hastily,3
within,4
twenty-four,1
hour,10
sister,25
mrs,42
roxie,68
farmer,15
divorcee,1
take,96
question,29
royal,4
hill,10
station,5
claim,5
she,1047
nothing,41
spite,2
onslaught,1
paul,37
give,56
away,51
until,12
very,37
end,20
interview,10
assist,2
woman,33
officer,18
detective,8
-sergeant,1
phyllis,35
henley,42
thickset,1
girl,60
whom,11
call,44
because,28
old,38
friend,23
enemy,4
whose,9
own,58
life,30
without,22
criminal,4
excitement,4
table,12
between,20
two,59
view,6
lie,15
forensic,7
find,63
house,65
come,131
now,128
i,668
sergeant,43
pride,1
herself,33
power,3
prise,1
out,161
information,16
mixture,2
persuasion,1
light,8
bullying,1
like,134
icing,1
cake,1
although,29
never,65
work,58
particularly,5
well,86
with,297
past,13
no,147
reason,19
try,34
stay,25
silent,5
determine,1
cozen,1
shift,2
uneasily,2
chair,11
can,75
trust,14
look,161
sceptical,2
say,294
just,81
another,38
little,36
fidget,1
we,160
brother,24
then,125
believe,21
do,521
think,218
too,51
long,34
speech,1
who,112
rely,2
smile,10
sigh,3
significant,4
silence,9
snap,2
tweed,2
hang,10
hall,2
wear,11
recently,5
add,8
blood,10
read,23
shrug,23
something,78
sharp,7
cut,12
lining,1
lose,11
knife,7
sullen,1
threaten,2
daughter,13
talk,61
voice,30
shut,5
quick,3
triumphant,4
glance,4
make,71
guess,13
probably,27
so,127
aunt,2
catch,7
set,11
mouth,12
firmly,3
edge,5
itself,10
noticeable,1
kindness,3
would,192
get,205
home,51
than,50
drunken,1
yours,6
bow,5
husband,12
none,7
safe,6
anyone,13
after,51
short,7
pause,5
mutter,7
remember,20
rat,4
hole,4
oh,29
good,75
enough,20
puzzler,1
cold,8
mean,45
plain,2
english,2
speak,34
uncle,2
himself,77
lifer,1
rosie,1
suddenly,7
there,243
tunnel,25
greenwich,11
pier,11
used,8
play,18
year,15
ago,10
war,5
suppose,17
anyway,21
thanks,10
pull,2
towards,18
when,82
order,10
alone,4
rough,2
result,3
will,118
else,21
really,19
kid,14
cooperate,1
sure,24
how,59
message,14
about,183
go,225
john,28
touch,15
port,1
london,10
authority,1
management,1
map,4
picnic,11
man,93
sometimes,12
ourselves,1
morning,18
queen,8
charlotte,8
alley,10
sarah,60
fleming,23
prepare,7
peter,107
reluctantly,4
poly,5
day,59
one,166
holy,2
distinguish,1
clearly,4
wonder,24
deaf,3
addition,2
other,77
deficiency,1
grow,11
moreover,2
certainly,19
baby,4
put,45
all,170
energy,2
deafness,1
rather,5
big,8
tall,5
sort,23
fantasy,5
must,41
harbour,2
ham,8
cucumber,2
thermos,1
coffee,26
ought,16
smoked,2
salmon,2
champagne,1
dress,2
ready,9
outing,2
clean,11
jeans,3
white,15
shirt,10
almost,25
clothes,16
except,9
red,16
gesture,3
political,2
feeling,9
