item,cnt
chapter,10
5,1
ranulf,279
and,1348
dame,128
agatha,73
be,1467
wait,33
for,213
he,1839
near,34
the,3140
galilee,13
gate,32
young,86
nun,70
apparently,7
enjoy,6
an,106
account,7
of,933
one,135
manservant,5
's,303
many,18
escapade,1
in,559
london,24
we,143
ready,7
man,96
nod,30
scowl,1
solicitously,1
help,18
to,934
mount,7
mutter,30
under,24
breath,17
about,89
how,62
certain,6
clerk,80
seem,16
turn,67
up,119
when,68
they,560
least,8
expected,1
or,103
want,38
corbett,649
just,56
grin,32
over,71
shoulder,18
lead,29
out,144
on,311
beaten,3
track,20
down,106
village,33
woodstock,25
feel,38
tempt,1
continue,29
through,62
visit,10
prince,111
at,316
palace,26
but,245
considering,1
what,160
have,612
learn,14
think,61
well,73
a,952
while,27
day,46
prove,9
pleasant,5
with,223
tow,1
hum,2
some,80
filthy,1
ditty,1
quiet,6
ride,15
winding,1
country,4
lane,8
tree,38
either,8
side,18
form,4
green,16
canopy,2
above,14
head,84
countryside,5
peaceful,5
late,9
autumn,11
sun,11
silence,5
break,30
only,56
by,128
liquid,2
song,3
bird,6
chatter,14
insect,1
loud,2
buzz,1
honey-hunting,1
bee,1
elegant,2
she,542
light,28
brown,6
riding,2
habit,2
sit,53
sidesaddle,1
small,61
gentle,6
cob,1
from,166
priory,67
stable,15
allow,18
conversation,5
as,315
desultory,1
possible,6
companion,20
relax,4
safe,5
presence,9
last,20
reach,16
join,9
rest,33
crowd,4
throng,4
towards,28
front,7
parish,2
church,40
pause,15
watch,31
rustics,1
bedeck,1
scarf,1
ribbon,1
lace,3
dance,7
carouse,2
around,44
makeshift,5
hobby,1
horse,49
raucous,2
noise,6
piper,1
drummer,1
other,62
musician,2
assist,2
dismount,2
point,21
large,6
two-storey,2
building,11
i,700
business,22
merchant,4
who,122
import,1
wine,36
remark,5
afterwards,4
will,83
go,162
meet,14
you,683
there,142
agree,14
tell,84
accompany,9
whilst,28
bull,8
outside,29
bench,14
order,37
pot,3
ale,13
sunshine,1
look,134
again,35
remember,35
father,80
reynard,48
sermon,3
wicket,3
into,116
cemetery,9
surprisingly,2
well-kept,1
plot,4
grass,10
scythe,1
elm,6
well-pruned,1
vigorous,2
growth,1
past,14
priest,46
house,32
knock,9
gently,17
half-open,5
door,61
hear,52
voice,13
suddenly,24
appear,15
come,110
friar,8
smile,62
welcoming,1
genuine,3
back,139
where,65
villein,2
pore,2
great,31
leatherbound,2
book,4
open,46
table,35
stare,56
unpretentious,1
place,35
two,74
room,27
downstairs,10
possibly,1
chamber,43
floor,16
earth,7
wall,52
wash,7
white,30
lime,2
keep,32
off,32
fly,7
crude,1
stone,9
hearth,6
few,29
stick,1
furniture,2
chest,10
coffer,1
shelf,4
full,28
kitchen,13
implement,1
all,67
apparent,2
possession,4
impressed,1
insist,10
live,3
luxury,7
dress,10
good,55
garb,3
jerkin,7
multi-coloured,3
hose,7
make,67
every,15
effort,1
palliate,1
hardship,1
life,21
downright,1
criminal,1
see,130
case,8
king,92
use,15
brew,1
beer,4
gambling,1
den,1
even,43
bad,14
murmur,35
pleasure,8
something,21
shake,50
hand,125
quickly,19
leave,68
close,25
it,329
reverently,1
inside,13
huge,21
ironbound,2
blood,17
observe,8
straighten,4
say,97
marry,2
whom,7
betroth,1
relate,1
seventh,1
degree,2
glad,5
someone,22
happy,4
now,77
can,43
do,266
same,19
powerful,5
sister,40
uncomfortable,3
frown,2
need,16
remind,2
reply,56
sharply,4
christ,9
show,14
red,22
wounded,1
body,37
wound,3
poor,19
dispossessed,1
rich,7
luxuriate,1
comfortable,4
sty,1
lady,266
eleanor,140
these,27
already,8
soldier,11
next,19
aye,2
wearily,7
master,110
bowman,1
royal,31
serjeant-at-arm,4
spill,4
fair,4
share,1
scotland,3
wales,15
gascony,7
pursue,2
enemy,7
land,5
sea,7
understand,14
kill,36
no,151
answer,28
surely,8
sometimes,8
elbow,3
knee,9
perhaps,37
if,137
god,38
david,1
philistine,1
raise,24
hero,1
defend,2
people,13
deserve,3
die,46
sin,2
not,256
judge,2
godstowe,98
penance,1
walk,52
barefoot,1
here,51
bead,2
chant,4
psalm,4
strange,16
practice,1
rub,13
face,92
always,28
before,67
lust,3
drinking,3
killing,1
shall,4
that,228
glimpsed,1
madness,1
eye,90
tormented,1
conclude,8
struggle,4
free,7
own,45
emotion,1
sunday,10
compline,16
edge,7
closer,13
smell,9
wine-drenched,1
ask,72
would,197
lay,11
though,25
trail,10
find,68
attractive,1
stretch,10
flex,1
finger,27
beautiful,10
woman,60
lose,13
thought,11
most,22
comely,3
those,25
callouse,1
sunburnt,1
could,106
twist,6
swan,2
neck,15
easily,3
twig,4
take,104
deep,16
know,139
insinuate,3
become,19
far,23
stay,20
until,19
arrogance,2
prioress,55
send,48
prayer,6
soul,10
give,37
unction,1
question,36
elsewhere,3
follow,36
threat,2
unnerve,1
strive,1
sanctity,1
sense,11
hide,28
notice,17
anything,22
amiss,2
hive,2
activity,4
villager,12
wheel,1
cart,4
nave,1
this,90
surmount,1
gilded,1
griffin,1
bear,10
crudely,1
paint,4
canvas,2
hell,12
mouth,21
drape,2
coloured,1
buckram,1
provide,5
stage,1
miracle,1
play,15
work,13
greet,7
warmly,1
recognise,12
admire,6
love,12
simple,11
which,89
freshly,3
decorate,1
artist,2
finish,11
painting,2
angel,2
apocalypse,1
rising,1
pew,1
new,10
both,47
chancery,5
screen,6
choir,1
loft,1
refurbish,1
proudly,1
yes,53
deal,1
must,69
generous,1
benefactor,3
away,49
mysterious,11
way,21
except,19
unfortunate,7
bury,8
churchyard,2
narrow,13
mean,27
eighteen,10
month,15
ago,12
corpse,41
stranger,9
discover,13
wood,14
completely,4
strip,5
clothing,3
ah,5
gaze,12
right,26
pauper,1
grave,2
beneath,17
old,65
corner,15
why,42
reason,5
wonder,17
justice,3
nothing,46
ever,22
dreadful,7
death,58
speak,16
flush,2
surmise,2
sample,1
tavern,27
heady,3
glower,2
servant,29
sway,2
slightly,5
foot,24
sleeve,1
apologise,4
loudly,2
altar,2
bread,7
return,23
march,3
porch,1
slyly,4
tap,9
nose,9
renew,1
acquaintance,4
wench,6
lot,1
carnal,1
lick,7
lip,41
gather,14
drily,8
emerge,3
carry,15
wooden,9
box,2
so,117
across,52
reclaim,1
begin,39
set,7
tired,6
bring,24
festivity,2
end,11
stream,6
home,2
search,8
slouch,1
sleepily,1
saddle,11
draw,23
alongside,3
funeral,3
tomorrow,8
soulfully,1
catch,24
apart,3
maeve,44
never,18
such,31
sunlight,5
lend,1
glow,1
dark,32
sweet,7
honey,1
cough,4
clear,16
throat,9
sad,3
wanly,4
community,7
fast,21
asleep,8
breathe,3
fall,29
also,28
hope,10
shed,3
murder,52
blame,4
yourself,8
softly,12
like,71
stammer,2
shocked,1
grieve,1
mystery,12
hurriedly,3
believe,22
yet,14
dismiss,6
melancholic,4
rein,4
push,18
everyone,5
whisper,30
lie,37
talk,12
first,29
herself,10
liar,5
week,7
prior,1
humour,6
improve,1
more,51
alert,3
really,11
alone,7
cause,12
change,16
laugh,15
mockingly,2
secret,30
lover,6
chew,11
carefully,18
measure,2
word,15
slowly,9
write,7
rare,2
letter,18
short,9
glimpse,22
extraordinary,1
soon,13
deliverance,1
trouble,7
nurse,3
persist,4
public,2
dangerous,11
responsible,4
proclaim,3
cuckold,2
world,4
evening,17
assignation,1
archly,1
panick,1
refuse,11
swear,12
hold,18
high,21
hushed,1
eavesdropper,1
lurk,4
very,21
prepare,10
flee,17
receive,7
message,29
hollow,1
oak,11
behind,41
confidence,1
another,20
often,3
three,9
arrive,15
deliver,4
leather,19
pouch,2
curious,3
seal,4
realise,15
tamper,1
please,7
settle,4
occasion,2
hint,3
shrug,21
night,33
haste,2
candle,7
rearrange,1
bed,18
curtain,3
then,59
packed,1
bag,9
clothes,6
casket,3
personal,2
jewellery,5
later,8
unpack,1
today,3
person,8
belmont,8
excitedly,2
stumble,1
stairs,13
without,8
reveal,5
refute,1
any,55
allegation,2
purse,10
else,19
drown,3
tub,6
water,33
sinistra,4
non,4
dextra,4
long,39
name,34
savigny,6
gascon,10
english,12
mother,10
town,6
Béarn,1
bordeaux,4
orphan,3
early,18
age,2
ward,2
court,9
express,1
desire,3
enter,17
religious,2
decide,14
england,19
fidget,1
nervously,8
rustling,1
animal,7
undergrowth,1
commotion,1
rouse,9
wake,4
muttered,3
oath,6
smack,2
quite,6
refreshed,1
after,34
slumber,1
theirs,1
round,45
spire,1
sight,4
silent,18
bantering,1
teasing,3
once,25
bid,6
goodnight,2
still,33
good-natured,2
innocently,4
story,8
naughty,1
ludlow,1
guest,14
mistress,12
oh,37
cry,12
lettuce,1
year,12
crop,3
groan,6
throw,27
himself,40
cot,2
reflect,2
secretly,6
secondly,3
intend,6
friend,19
let,21
mind,5
drift,4
guilty,6
because,16
angelic,1
get,16
gathering,4
darkness,22
ground,18
chapel,2
melodious,1
sing,6
ruined,4
