item,cnt
the,1937
new,36
generation,5
viola,177
machin,171
seat,6
in,652
she,935
bay,1
window,14
watch,18
from,148
under,15
hooded,1
lid,1
approach,4
of,1045
daughter-in-law,9
through,58
wall,6
gate,13
and,997
up,179
garden,12
path,12
elder,3
son,15
's,194
wife,30
be,2016
a,940
long-standing,1
irritant,1
like,167
an,137
ill-perforated,1
toilet,1
roll,4
have,920
never,64
know,221
woman,46
think,195
to,1032
herself,33
who,99
dress,6
so,156
conventionally,1
whose,8
face,29
more,84
boringly,1
nondescript,1
hairdresser,1
perform,1
such,15
miracle,1
dreariness,1
most,32
uninteresting,2
person,6
i,1002
say,461
with,296
considerable,3
satisfaction,2
hello,4
mother,45
margaret,34
seymour-strachey,66
sigh,8
seem,90
bored,4
already,13
by,134
visit,12
desmond,57
park,5
car,10
brightly,6
imagine,13
make,131
no,108
far,33
effort,3
at,277
conversation,8
wonder,27
why,45
bother,6
continue,5
attitude,2
clear,12
enough,32
heaven,4
but,290
here,42
still,58
come,131
back,87
every,19
other,70
sunday,11
year,39
after,78
as,301
welcome,8
irish,1
potato,1
blight,2
really,50
pleased,9
see,138
we,198
too,79
proud,2
show,21
it,753
poor,13
old,94
thing,87
on,298
entry,2
brighten,1
ostentatiously,2
he,1568
not,649
favourite,2
something,59
thank,12
god,8
only,58
always,45
prefer,3
man,76
house,48
hilda,143
lose,8
out,154
there,235
everything,15
else,20
bustle,3
round,31
put,51
kettle,2
open,28
tin,2
biscuit,3
cake,1
sit,22
accept,7
wont,1
early,21
forties,3
hawklike,1
profile,2
good-looking,2
yet,16
voracious,2
untrustworthy,1
style,4
that,556
warn,3
people,60
off,44
injure,1
business,20
insurance,7
long,29
big,16
day,60
now,78
publication,4
stand,20
survey,3
groaning,1
cake-stand,1
they,357
bring,28
forward,14
little,85
last,43
week,15
april,5
newspaper,9
piece,24
two,44
half,11
go,207
perhaps,33
you,676
could,139
party,4
splendidly,1
aloof,1
large,13
one,156
fact,22
first,42
time,95
do,442
very,83
good,100
idea,22
nothing,53
irritate,3
than,48
address,4
listen,7
voice,27
particularly,9
speak,8
child,23
quite,27
normally,2
goad,1
contrariness,1
would,255
tire,1
quickly,4
get,194
response,1
fuss,2
over,55
teapot,2
add,9
directly,1
silly,5
blue,5
profit,2
before,64
even,41
begin,19
yes,51
chime,1
swear,1
love,33
honour,4
echo,1
save,6
all,200
into,102
nice,15
nest,3
egg,5
feel,54
once,15
subject,11
process,3
diminution,1
loftily,1
