item,cnt
part,7
two,32
15,1
one,135
sunday,7
morning,19
about,202
a,987
week,20
after,56
i,1958
have,701
see,146
dad,115
for,192
the,1966
second,8
time,74
be,2110
lie,16
in,668
bed,17
when,134
hear,66
voice,73
street,28
below,7
they,361
sing,16
not,535
loudly,3
but,234
enough,10
half,7
past,7
six,5
on,374
among,8
think,157
recognize,9
roger,27
beedini,1
's,161
and,1007
hannah,20
dooley,20
mother-life,2
god,26
she,457
call,52
thou,12
holla,3
awa-a-a-y,1
we,350
very,82
patient,3
neighbour,2
get,189
up,162
stagger,2
to,1139
window,24
while,18
keep,38
head,83
level,3
of,945
sill,1
attempt,3
close,28
it,661
first,77
thought,11
that,425
320,2
duck-jump,1
behind,28
if,169
ever,27
go,259
make,97
state,8
shai-hai,1
would,100
probably,16
spend,4
whole,19
weekend,2
duck-jumping,1
which,52
do,440
occur,3
until,13
crawl,2
back,129
along,12
floor,15
towards,48
today,4
day,53
due,3
testify,20
what,194
choir,4
outside,15
upon,2
show,21
newly,1
strengthen,1
christian,17
faith,17
before,50
congregation,34
spiritualist,53
church,98
pray,21
with,253
quigley,346
tell,70
people,93
he,1310
emphatic,1
under,26
duvet,3
feel,46
ball,7
reassurance,1
these,43
few,26
thing,110
mine,7
at,324
christ,51
later,9
this,235
as,350
say,521
last,31
night,25
speak,22
truth,9
you,583
heart,17
simo,7
there,244
sign,5
read,5
custard,2
upset,1
over,68
trifle,1
jesus,69
come,152
join,8
all,186
sure,32
or,157
maybe,31
even,52
jelly,1
muslim,2
sponge-cake,1
buddhist,2
service,18
always,42
pain,9
prospect,4
stick,4
block,2
out,173
already,4
brilliant,1
also,12
remember,29
quigleys,14
still,45
live,15
building,5
work,31
so,88
can,70
camp,2
big,21
favour,4
mum,93
07.15,1
hold,34
black,7
suit,5
white,23
shirt,4
just,108
iron,4
stand,35
look,271
from,187
end,29
oh,42
simon,38
yes,33
put,38
chair,14
by,99
wonder,19
daddy,5
will,70
through,49
must,23
hope,8
manifest,1
himself,19
proud,2
good,45
chance,9
quite,42
often,9
more,61
deceased,2
member,15
present,3
than,51
living,4
punter,3
narrowly,2
rather,40
less,13
convinced,2
conversion,1
mime,1
odd,4
prayer,5
since,20
die,26
feeling,18
silly,1
no,96
whether,15
mean,40
religious,4
stop,50
find,34
myself,22
exactly,7
know,130
religion,5
belong,5
how,82
meet,8
convert,1
heathen,1
session,1
anglican,1
putney,3
pike,136
used,22
wait,20
hedge,2
rattle,2
tambourine,2
waving,1
placard,1
really,68
file,4
chat,5
vicar,1
problem,7
british,4
rail,2
some,71
kind,44
crisis,3
too,35
much,34
mention,4
roundabout,1
sort,36
way,83
could,168
never,48
happen,14
old,87
funny,4
own,21
closed,1
book,7
fourteen,4
tend,4
divine,1
mind,14
shrewdly,1
move,45
thoughtful,1
norman,21
might,40
address,3
directly,4
then,96
realize,10
into,116
genuine,2
past-tense,1
mode,3
sigh,6
slowly,9
nearly,6
marry,4
man,71
flugterman,1
'a,1
dentist,1
why,49
tennis,3
club,2
attractive,1
indeed,11
fond,3
continue,7
relationship,3
sock,2
stiff,5
dirt,1
father,23
handsome,1
although,23
available,1
give,79
sharp,4
anyway,9
portugal,1
everything,11
change,16
course,23
should,18
new,23
blind,2
expensive,1
warp,1
well,47
interrupt,3
sooner,2
monologue,1
like,163
vital,2
piece,13
information,3
liable,3
emerge,2
blame,2
angmering,2
kid,15
clue,5
talk,53
assume,2
parent,4
child,12
understand,15
each,15
other,60
share,2
experience,17
seem,66
same,12
memory,5
family,3
business,8
strange,12
open,16
newspaper,3
once,22
war,3
china,2
hall,14
saying,1
reason,16
burst,4
tear,7
cry,14
guy,44
markedly,1
dodgy,1
view,6
international,2
situation,3
far,33
east,2
gorbachev,2
genius,1
another,28
his,4
only,45
follow,14
an,91
idiot,3
explain,5
human,10
stuff,17
globo,1
arch,1
lord,31
system,6
blabbenoid,1
because,24
sense,8
door,26
pleased,8
off,50
chest,7
whatever,13
cautiously,1
suddenly,23
angry,5
veronica,18
sake,2
down,85
drab,3
