item,cnt
chapter,8
1,3
but,244
say,759
owen,356
where,69
be,2432
the,2596
body,111
ah,20
yes,172
watchman,25
rub,2
one,194
horny,1
foot,17
up,195
and,851
down,101
he,1237
shin,1
corporal,17
shuffle,1
uneasily,1
wait,23
well,153
at,254
last,16
look,128
out,133
over,71
river,67
to,1124
a,837
low,8
mud,5
shoal,15
raise,8
it,985
back,84
above,7
water,28
grey,1
wrinkled,2
like,168
hippopotamus,1
there,278
not,829
now,70
have,880
long,37
hot,6
fruitless,1
morning,31
this,227
boil,3
if,142
some,63
joke,6
as,186
about,127
burst,3
into,65
tear,9
effendi,49
i,962
see,195
or,80
think,195
you,803
do,588
foolish,10
man,157
swiftly,1
switching,1
side,24
all,177
dream,7
give,41
push,19
no,158
insist,6
with,236
own,26
two,67
eye,25
woman,117
on,337
sandbank,4
what,255
tell,80
time,79
get,186
another,38
wife,13
abu,17
then,145
would,243
stop,20
these,33
plainly,2
something,66
doggedly,1
heap,5
of,753
camel,2
dung,3
scoff,2
in,527
middle,7
angrily,3
anyway,15
happen,37
perhaps,48
suggest,7
wash,11
away,39
stretch,6
broad,1
placid,1
horizon,1
both,14
further/far,6
near,13
city,13
single,3
felucca,1
glide,3
gracefully,1
towards,14
bank,31
come,191
rest,9
nothing,39
else,32
move,30
intense,1
heat,8
late,12
egyptian,49
sun,9
scan,2
's,152
edge,5
carefully,5
year,8
flood,2
still,34
week,8
off,53
nile,2
shrink,2
bed,7
uncover,1
wide,3
strip,2
bake,1
hard,12
dry,4
crack,1
crazy,1
paving,1
far,30
could,130
goat,6
graze,3
suspicious,1
lie,11
ground,8
shallow,2
flotsam,1
jetsam,1
anything,48
that,676
ashore,8
snatch,1
once,20
by,110
thrifty,1
beachcomber,1
under,17
little,37
floating,2
clump,1
um,2
suf,1
mother,15
wool,1
papyrus,1
reed,1
loose,4
from,116
mooring,3
hundreds,2
mile,4
south,4
nestle,1
along,26
against,22
nestled,1
stick,6
current,1
even,52
sufficient,3
tug,1
again,40
can,73
right,55
how,71
ask,93
jump,4
fish,1
exactly,10
kind,20
non-issue,1
want,75
involved,6
fact,18
any,48
for,267
mamur,53
zapt,53
quite,26
smartly,1
only,61
mean,49
matter,25
parquet,26
an,89
ordinary,15
crime,11
ever,12
handle,10
department,3
prosecution,2
ministry,5
justice,7
legal,6
system,16
french,22
conduct,7
criminal,2
investigation,6
responsibility,4
prosecuting,1
lawyer,7
police,29
work,50
direction,6
course,57
when,118
report,24
they,667
who,87
notify,4
first,49
place,35
sternly,2
scratch,3
head,34
expect,25
so,155
fury,2
should,31
bloody,6
too,84
here,52
waste,4
nonsense,4
whose,6
idea,13
send,26
know,169
hurriedly,4
forlornly,1
chief,45
thought,4
damned,4
district,20
somebody,6
senior,8
pass,14
without,18
himself,33
spot,7
stir,4
cool,7
office,13
while,25
around,18
lunatic,1
ominously,1
will,117
word,5
ridiculous,2
afford,3
spend,9
dozen,2
other,85
town,3
half,11
way,88
through,32
message,10
drop,10
everything,14
leave,30
bet,3
moment,41
sit,50
shade,5
set,12
after,41
hesitation,2
run,19
stay,23
reach,14
top,16
lizard,1
scatter,1
front,15
just,108
plunge,4
