item,cnt
three,23
rose,285
be,1965
up,123
against,8
it,695
blood,5
in,599
she,1056
factory,17
another,37
body,53
find,77
and,754
possibly,8
identify,11
the,1566
news,9
have,962
spread,1
around,36
spite,5
of,709
police,51
silence,18
no,175
true,17
blue,8
inhabitant,4
paradise,35
street,138
or,127
mouncy,63
ever,26
need,26
to,883
tell,93
anything,30
from,125
they,397
way,71
out,142
put,37
on,267
more,61
make-up,1
let,45
worker,3
know,332
business,14
as,217
usual,7
under,15
firm,5
gaze,5
bend,3
machine,8
give,51
lily,60
a,1006
holiday,6
with,273
pay,9
but,368
obstinately,1
reappear,2
work,55
rest,5
face,43
look,174
puffy,1
there,188
truce,1
between,20
gabriel,156
none,8
shirley,4
because,44
gaby,27
discover,5
who,102
leak,1
secret,3
search,7
's,201
workroom,4
must,33
suspicion,1
before,45
i,873
suppose,14
easily,7
read,7
think,199
future,3
would,163
careful,2
discovery,1
do,503
not,710
alter,2
plan,5
only,41
slow,3
down,76
dagmar,49
blond,7
move,48
about,162
an,87
unfriendly,1
enigmatic,1
figure,11
this,134
that,484
turn,27
outsider,1
steve,120
go,206
back,82
school,26
where,77
he,1494
keep,54
head,22
avoid,5
enemy,3
feel,60
if,124
whole,16
ephraim,38
one,216
shut,5
herself,34
into,95
office,9
grimly,2
apply,1
routine,3
expect,20
visit,3
what,261
something,57
else,22
too,83
could,172
see,167
eye,48
talk,63
over,56
john,29
coffin,187
stop,24
at,217
delicatessen,1
buy,15
warm,5
ham,2
roll,7
then,114
take,80
cat,32
coffee,19
shop,28
eat,16
cup,11
good,81
kenya,1
still,58
kitchen,15
preside,1
person,15
behind,15
counter,5
keen,3
follower,1
fashion,3
notable,1
ted,26
day,50
now,91
abandon,1
narrow,1
trousers,3
sharp,9
haircut,1
favour,1
golden,2
lock,4
curl,1
shoulder,15
wear,26
loose,2
striped,1
robe,1
egypt,1
retain,1
grandpa,6
albert,1
however,7
watch,29
chain,4
loop,1
round,33
neck,4
like,150
medallion,1
table,11
corner,15
friend,35
philip,1
jordan,72
communicator,1
mossycop,9
hello,4
phil,26
you,705
here,36
please,4
breakfast,4
come,118
across,18
cast,4
disapproving,1
glance,3
those,21
want,88
without,20
smoking,1
hash,1
all,178
never,55
anger,9
voice,48
bright,9
clear,9
focus,1
distance,2
eternal,1
peace,5
joy,3
bob,2
say,286
while,21
sweep,3
money,6
pocket,4
so,155
old,64
stir,4
night,19
sleep,12
mosse,48
dead,37
drink,23
