item,cnt
leading,4
article,5
still,8
a,164
need,16
for,91
the,604
big,2
idea,8
by,58
mary,1
fagan,1
neil,3
kinnock,17
and,211
party,32
he,92
lead,5
be,332
look,9
good,7
than,19
they,60
have,98
do,37
at,49
any,11
time,17
since,6
take,10
office,2
in,169
1983,2
there,17
will,44
ritual,1
rebellion,3
brighton,1
from,42
transport,2
general,7
worker,6
union,14
over,8
labour,43
's,70
belated,1
renunciation,1
of,308
unilateral,2
nuclear,1
disarmament,2
but,48
ron,1
todd,1
secretary,1
expect,4
to,263
concede,1
defeat,1
gracefully,1
even,9
if,25
other,17
antinuclear,1
fundamentalist,2
threaten,1
fight,5
again,6
mr,26
no,28
fear,4
more,26
firmly,3
tell,5
country,5
that,92
as,46
prime,8
minister,8
not,61
rule,3
likely,7
it,93
eventually,1
reach,4
downing,1
street,5
on,68
issue,5
crucial,1
victory,6
win,4
before,6
annual,1
conference,10
open,3
relatively,3
few,6
influential,1
activist,1
would,21
now,10
quarrel,1
with,55
recognition,1
market,7
an,38
effective,2
way,7
generating,1
wealth,4
indicate,2
consumer,1
preference,1
want,10
wholesale,1
repeal,2
industrial,6
relation,3
legislation,4
popular,1
belief,2
exercise,12
too,4
much,10
power,13
policy,13
gradually,1
accept,4
number,9
leader,13
paradoxically,1
moderate,2
insist,1
maintenance,1
block,1
vote,5
because,4
fully,2
democratic,4
see,12
themselves,5
restraining,1
role,3
play,4
1940s,1
1950s,2
once,6
one-person-one-vote,1
some,9
already,4
signal,1
willingness,1
surrender,1
hint,2
weekend,2
direct,1
democracy,6
become,7
mandatory,1
soon,1
list,10
opponent,1
revisionist,1
invite,2
boredom,1
sense,3
deja,1
vu,1
rather,4
great,21
electorate,1
long,5
rumble,2
tony,1
benn,1
eric,1
heffer,1
dennis,1
skinner,1
ken,1
livingstone,1
rest,5
prospect,1
arthur,1
scargill,1
enter,2
parliament,1
mild,1
derision,1
anxiety,2
suburb,1
potential,3
voter,4
come,11
increasingly,3
confident,1
mercifully,1
less,8
cocky,1
neither,2
impressed,1
nor,2
cow,1
pre-conference,1
interview,3
this,38
demonstrate,5
restrained,1
confidence,1
authority,1
which,29
new,24
can,28
maintain,1
heat,2
battle,4
prove,1
appeal,2
sort,2
people,24
whose,4
must,10
so,15
remain,4
cause,3
concern,1
camp,2
yesterday,2
dismiss,1
both,4
electoral,2
reform,5
pact,1
yet,5
own,11
next,7
election,6
scale,1
comparable,2
achieve,4
attlee,2
1945,1
moreover,1
brush,1
aside,1
suggestion,1
or,24
unique,1
selling,1
point,6
challenge,1
thatcherism,4
go,12
say,14
nothing,3
all,23
last,11
decade,1
could,6
give,5
mrs,4
thatcher,5
credit,2
latter,3
silly,1
man,3
who,20
spend,4
five,7
year,12
persuade,1
world,11
change,12
may,13
1979,1
back,7
former,1
debatable,1
recent,2
convert,1
revisionism,2
produce,3
grand,2
reason,3
abandon,2
left-wing,1
attitude,2
forgive,1
conclude,1
cynical,1
opportunistic,1
interested,2
gain,1
anything,1
particular,2
arrive,3
top,2
basis,4
no.,1
10,4
end,6
war,7
mandate,1
build,1
welfare,1
state,12
work-out,3
trolley,15
freak,1
miles,2
kington,2
you,64
sometimes,2
feel,12
should,12
just,11
seem,9
energy,4
then,10
answer,4
combine,1
fitness,3
routine,1
something,3
why,3
we,36
up,13
series,2
supermarket,5
yes,2
actually,2
get,9
body,5
while,7
wheel,3
shopping,3
round,4
local,2
lump,1
metal,2
most,9
useful,1
machine,1
ever,4
meet,5
only,15
know,8
how,9
maximum,2
use,9
out,16
ask,4
professor,4
james,2
leotard,1
research,2
culture,11
milton,1
keynes,1
university,5
devise,3
six,1
simple,1
toning,1
here,4
1,2
when,11
turn,8
corner,2
into,17
aisle,1
shop,5
tamely,1
walk,3
behind,4
push,3
direction,2
make,22
strength,2
arm,7
tone,1
shoulder,3
stomach,2
2,2
try,12
lift,2
same,5
off,8
ground,3
along,2
easy,1
especially,4
mineral,1
water,3
bag,1
flour,1
aboard,1
lovely,1
feeling,1
finally,4
find,4
excellent,1
leg,1
heart,4
best,2
3,1
normally,1
dead,10
knee,2
bend,1
keep,4
straight,2
bottom,1
shelf,2
ridiculous,2
ah,1
tinned,1
chestnut,1
what,11
i,60
down,7
slowly,4
rush,1
pause,1
second,6
tin,2
ugh,1
preservative,1
movement,6
replace,4
repeat,2
every,6
wonderful,2
thigh,1
calf,1
ham,1
smoked,1
bacon,3
4,2
yourself,3
handle,2
let,2
ride,1
like,9
child,2
fine,3
kidney,1
liver,1
offal,1
lots,1
5,1
one,14
wait,5
boring,1
old,5
queue,1
stand,6
hold,4
length,1
without,5
move,2
foot,2
where,15
roll,1
away,3
until,4
start,3
control,5
pull,2
muscle,2
neighbour,2
',11
well,4
6,1
wrench,1
piece,2
twist,1
buckle,1
bare,2
hand,4
apart,1
tear,1
bit,2
jangled,1
pile,1
tate,1
gallery,1
glad,1
offer,4
able,3
impression,2
course,6
unless,1
trained,1
weight,1
lifter,1
really,4
work,7
word,3
caution,1
watch,2
yoghurt,2
after,7
week,11
guarantee,1
quite,3
different,4
person,4
unable,1
sainsbury,1
session,1
waitrose-lifting,1
hear,4
future,7
pulse,1
race,1
red,2
corpuscle,1
special,2
truly,1
freeway,1
dr,6
armand,1
pastor,1
gp,1
sir,15
extraordinary,1
amount,1
patient,1
minor,1
major,2
physical,2
injury,2
pulled,1
dislocate,1
cartilage,1
broken,2
finger,1
limb,1
rupture,1
etc,1
inquiry,1
reveal,1
these,10
programme,1
ignorant,1
charlatan,2
feed,2
health,2
fad,1
invariably,1
experience,2
two,13
thing,5
deal,2
unnecessary,2
lot,1
profit,1
scheme,1
mark,3
very,3
moment,2
someone,1
cash,6
fetish,1
useless,1
equipment,2
yours,1
fearfully,1
announcement,1
weekly,1
visit,2
enough,4
seven,1
day,10
genuine,1
supermarket-type,1
home,2
style,2
hard-wearing,1
canadium,1
built-in,1
meter,1
glance,1
apply,2
pressure,1
train,7
treat,1
independent,4
trainer,1
£179.99,1
warning,1
suitable,1
morality,2
friend,3
lather,1
about,11
archbishop,1
canterbury,1
magazine,1
director,1
regard,1
primarily,1
attack,1
improper,1
almost,6
constitutional,3
conservative,4
slap,1
turbulent,1
priest,1
wrong,2
count,2
business,1
head,3
established,1
church,6
express,2
worry,1
nation,9
moral,5
mood,2
foolish,1
unseemly,1
counter-productive,1
undignified,1
slanging,1
match,1
runcie,4
self-interest,1
self-righteousness,1
intolerant,1
uncharitable,1
disregard,1
unsuccessful,1
unemployed,1
merely,1
right,7
duty,1
speak,1
further/far,1
free,5
value,3
embrace,1
create,5
divided,1
dominate,4
pharisee,2
opinion,1
however,3
correct,1
far,6
critique,1
might,7
suppose,2
headline,1
paper,3
misplace,1
ruler,1
set,9
climate,2
except,2
perhaps,7
extreme,1
hitler,3
stalin,1
debauch,1
germany,14
russia,5
respectively,1
hard,2
argue,2
greek,1
appalling,2
corruption,1
greed,2
senior,1
figure,6
government,15
socialist,1
andreas,1
papandreou,1
acknowledge,1
creation,2
necessary,2
precondition,1
ought,2
add,2
automatic,1
connection,1
between,6
happy,2
society,2
amen,1
economics,1
efficiency,2
boundary,2
possible,5
guidance,1
newly,1
prosperous,1
part,3
translate,1
guilt,1
condition,1
those,9
fortunate,1
action,3
numerous,1
worthy,1
charity,1
many,7
run,3
donation,1
money,2
skill,1
love,5
aid,2
thou,1
intervention,3
unwilling,1
recognise,1
represent,1
failure,2
leadership,6
political,12
letter,14
full-cost,4
fee,6
student,20
jonathan,1
inglesfield,1
refer,2
peter,1
wilby,1
viewpoint,1
29,4
september,9
proposal,5
worrying,2
implication,1
training,7
doctor,1
uk,6
22,1
earn,1
first,9
salary,1
24,1
obliged,1
pay,4
ever-increasing,1
loan,1
appear,5
addition,1
portion,1
income,4
graduate,1
tax,1
education,11
three,4
hospital,1
study,2
assist,2
voluntary,1
essential,3
clinical,1
procedure,1
test,1
odd,1
privilege,1
doubt,7
alleviate,1
falling,1
applicant,1
medical,1
school,1
earl,1
russell,1
vice,4
chancellor,4
charge,2
doubtless,2
protest,6
aim,1
undoubtedly,1
clear,5
expansion,1
desire,2
level,1
protect,2
high,6
quality,6
though,5
considerable,1
include,4
situation,4
cut,4
object,1
lower,1
survive,1
army,7
lose,2
face,2
persistent,1
excess,1
expenditure,1
increase,5
permit,1
attempt,2
impossible,1
scholarship,3
industry,2
benefactor,2
private,3
individual,2
full,3
cost,3
position,5
undertake,1
surcharge,1
probably,2
reply,4
question,5
art,5
funding,3
sponsorship,1
supplement,1
available,2
substitute,1
record,1
balance,2
payment,1
deficit,1
background,1
enforced,1
lack,4
rich,1
sector,1
borrowing,1
requirement,1
£200bn,1
mortgage,1
£36.4bn,1
card,2
hire,1
purchase,1
suggest,3
purse,1
inexhaustible,1
public,8
plan,2
raise,2
fail,1
problem,3
return,6
desk,1
hope,4
place,4
afford,1
politics,5
david,1
soskin,1
juxtaposition,1
poll,3
predict,1
42-seat,1
majority,3
tory,4
30,4
wandsworth,1
significance,1
totally,1
ignore,1
media,1
elector,1
always,3
prepared,1
criticise,1
pollster,1
polling,1
booth,1
simply,1
bring,2
ms,1
molly,1
meacher,1
despite,2
significant,1
gap,1
objective,2
double,1
16-18year-old,1
full-time,3
welcome,2
28,2
england,2
staying-on,1
rate,3
per,6
cent,5
accord,3
late,2
statistics,2
compare,2
79,1
us,1
86,1
sweden,1
45,1
west,2
69,1
japan,1
part-time,1
improve,2
relative,1
transform,1
a-level,1
bright,1
youngster,1
provide,4
grant,1
four-year,1
college,2
follow,2
employer,3
accompany,1
implementation,1
1944,1
act,3
provision,1
compulsory,1
part-,1
age,4
18,1
clause,1
never,2
activate,1
sharply,1
reduce,3
16-18-year-old,2
inevitably,1
bid,1
wage,1
group,1
entice,1
young,2
unskilled,1
semi-skilled,1
job,3
require,1
release,1
least,5
vitally,1
important,6
complementary,1
goal,1
britain,21
educational,2
vocational,1
competence,1
hence,2
productive,1
capacity,1
gross,1
inequality,1
elite,1
receive,1
narrow,1
standard,1
john,3
pertwee,1
commitment,1
proportional,1
representation,1
order,7
scoop,1
centre,5
promise,2
high-powered,1
investigation,1
such,14
royal,1
commission,1
practicality,1
alternative,2
voting,1
system,5
surely,3
justify,1
intense,1
interest,1
abound,1
breakthrough,1
disenfranchised,1
flock,1
decide,1
she,4
garner,1
denis,1
macshane,1
setting,1
specialist,1
court,4
momentous,1
deserve,1
discussion,1
hot-house,1
line,2
european,16
practice,1
notably,1
regional,1
federal,2
fair,2
dispassionate,1
base,1
law,6
precedent,1
judicial,1
expertise,1
field,2
ensure,1
enjoy,2
positive,2
under,2
emphasis,1
immunity,1
reflect,3
fledged,1
remove,2
class,2
fundamental,2
employer-employee,1
difference,1
enforce,2
common,3
prevent,2
absurd,2
see-sawing,1
1969,1
third,1
division,1
contribute,1
process,2
key,2
1990s,2
trade,2
cease,1
haunt,2
upset,1
independence,3
no-fixed-abode,2
rev,2
nerissa,1
