item,cnt
tigrayan,4
advance,6
on,81
a,213
helpless,1
addis,6
ababa,7
from,77
richard,1
dowden,1
in,239
the,783
ethiopian,5
army,10
be,305
fail,4
to,260
halt,1
northern,4
rebel,5
rapidly,3
southwards,1
capital,13
and,213
it,64
vital,1
lifeline,1
road,13
some,23
observer,3
predict,3
imminent,1
collapse,3
of,339
military,15
regime,7
which,33
have,118
rule,12
ethiopia,1
for,95
15,1
year,34
people,33
's,89
liberation,10
front,6
tplf,7
threaten,1
cut,11
off,11
dese,6
key,2
garrison,4
town,8
protect,2
part,4
link,3
with,49
port,1
assab,3
they,90
down,5
asmara,4
past,8
four,9
week,18
now,13
report,18
operate,1
south,16
surround,1
at,55
bati,1
east,30
19,1
september,3
attack,5
mile,4
close,4
36,1
hour,9
helicopter,1
gunship,1
ply,1
constant,1
mission,2
base,3
kombolcha,2
yesterday,31
i,22
watch,4
mig-21,1
fighter-bomber,1
load,1
bomb,6
rocket,3
take,11
dire,1
dawa,1
head,4
west,27
estimated,1
"40,000",1
troop,10
join,4
by,73
remnant,1
defeated,1
third,3
struggle,2
or,18
surrender,1
one,27
estimate,2
put,2
government,28
loss,1
"20,000",3
killed,1
capture,3
deserted,1
will,32
say,43
nothing,4
about,12
situation,2
war,12
not,27
state-run,1
media,1
however,7
recent,5
visitor,3
describe,3
area,4
as,43
chaotic,1
whole,3
unit,3
leaderless,1
unwilling,1
fight,3
soviet,22
adviser,2
withdraw,2
deputy,3
defence,7
minister,23
general,8
varrenikov,1
he,76
negotiate,4
complete,2
withdrawal,5
"1,500",1
russian,3
believe,5
negotiated,1
settlement,2
civil,2
but,36
continue,8
supply,8
arm,1
president,23
mengistu,4
apparently,3
allow,9
position,4
strength,3
large,6
consignment,1
weapon,6
unload,1
ship,1
21,1
save,3
if,12
no,21
willing,1
use,4
big,3
sub-saharan,1
africa,7
consist,1
largely,4
press-ganged,1
young,7
peasant,1
unemployed,1
urban,1
teenager,1
who,26
draft,1
after,12
few,9
',5
training,1
end,3
spectacularly,1
successful,2
drive,4
out,13
tigray,2
province,2
february,1
think,2
could,14
success,3
outside,7
own,4
26,1
august,3
begin,9
an,32
force,7
korem,1
kobo,1
three,10
ago,9
102nd,1
airborne,2
division,3
russian-trained,1
regard,2
crack,4
rush,1
line,1
too,3
maul,1
sweep,4
through,8
mountain,2
flank,1
main,4
all,14
far,7
woldiya,1
meanwhile,1
eritrea,3
north,7
de,8
facto,1
ceasefire,1
hold,10
between,7
eritrean,1
