item,cnt
court,1
circular,1
by,25
john,7
lichfield,3
buckingham,1
palace,2
30,3
september,1
the,204
princess,6
royal,13
this,12
morning,4
visit,5
hampshire,3
and,87
be,93
receive,3
on,15
arrival,2
deputy,4
lieutenant,1
for,24
captain,1
mpr,1
boyle,1
she,3
highness,3
president,10
of,134
yachting,1
association,1
attend,6
1.3,1
litre,1
world,8
powerboat,1
championship,5
open,5
southampton,1
vessel,1
traffic,1
service,2
centre,4
travel,3
in,84
an,12
aircraft,2
queen,3
's,25
flight,2
major,1
nicholas,1
barne,1
attendance,2
1,2
october,2
prince,2
wales,3
a,55
dornoch,2
cathedral,2
to,75
celebrate,1
750th,1
anniversary,2
parish,1
subsequently,2
he,115
lawson,1
memorial,1
hospital,1
golspie,1
commander,1
richard,1
aylard,1
rn,1
patron,4
lymington,2
yacht,1
club,3
x,1
one-design,1
class,2
division,1
invitation,1
race,5
at,23
vice-commodore,1
mr,8
guillaume,1
engagement,1
help,2
aged,1
annual,1
council,2
meeting,1
helpage,1
international,5
77,1
crouch,1
end,6
hill,1
london,4
n8,1
new,11
hassy,1
carrot,1
grower,1
',2
packhouse,1
whitehall,1
farm,1
iselham,1
cambridgeshire,1
lincolnshire,1
george,1
adams,1
son,1
factory,1
spalding,1
recording,1
studio,1
national,4
tape,1
magazine,1
blind,1
lilac,1
cottage,1
bolingbroke,1
as,32
agricultural,1
rural,1
trust,1
housing,1
development,1
mareham-le-fen,1
extension,1
kirkby,1
bain,1
church,2
england,1
primary,1
school,1
evening,2
college,1
occupational,1
therapist,1
reception,1
dinner,1
st,1
james,2
duke,2
kent,2
vice,1
chairman,1
british,5
overseas,1
board,2
sweden,1
finland,1
duchess,1
launch,2
cancer,2
relief,1
macmillan,1
fund,1
leaflet,1
there,3
part,2
europe,1
against,4
year,13
weekend,1
television,3
south,1
bank,1
se1,1
appointment,1
maj-gen,1
sir,5
christopher,2
airy,1
private,3
secretary,2
succession,4
riddell,1
bgj,1
canty,1
governor,2
anguilla,1
go,4
whittaker,1
admiral,1
derek,1
reffell,1
commander-in-chief,1
gibraltar,1
air,1
chief-marshal,1
peter,2
terry,1
starns,1
importer,1
confederation,1
angus,1
stewart,1
macdonald,1
crown,1
estate,1
commissioner,1
iain,1
mark,1
tennant,1
oscar,1
henry,1
colburn,1
nigel,1
courtenay,1
re-appoint,1
day,1
saladin,1
enter,1
jerusalem,1
1187,1
york,3
capture,1
alkmaar,1
netherlands,1
1799,1
rome,1
become,4
capital,1
city,2
italy,2
1870,1
brigham,1
young,3
mormon,1
leader,2
arrest,2
bigamy,1
1871,1
first,11
naval,1
submarine,1
barrow,1
1901,1
rugby,1
football,1
match,2
play,2
twickenham,1
1909,1
invade,1
ethiopia,1
1935,1
liner,2
empress,1
britain,1
bind,1
canada,1
with,16
refugee,1
sink,2
1940,5
charter,1
338,1
people,2
die,1
when,13
mary,1
collide,1
cruiser,1
curacao,1
which,16
off,2
coast,1
donegal,1
1942,1
island,2
volcano,1
appear,3
fayal,1
azores,1
1957,1
guinea,1
independent,1
republic,2
1958,2
performance,1
musical,4
show,2
promise,2
present,2
1968,3
birthday,1
gazette,1
page,1
24,1
obituary,3
jean-louis,2
tixier-vignancour,13
patrick,1
marnham,1
highpoint,1
life,5
come,5
all,8
odds,1
save,1
mutinous,1
general,6
raoul,1
salan,2
head,2
organisation,2
de,8
l'armee,1
secrete,1
from,13
expected,1
death,2
sentence,1
treason,2
deep,2
voice,2
crumpled,1
face,1
huge,2
nose,1
ear,1
streak,1
cruelty,1
maitre,2
willingly,1
symbolise,1
that,13
most,7
demonic,1
about,3
france,3
extreme,2
right,2
after,3
brilliant,2
student,2
career,1
sorbonne,1
call,3
paris,2
bar,1
1926,1
start,3
political,5
mean,1
sympathise,1
action,1
francaise,2
make,8
gesture,1
age,2
26,1
one,6
threatening,1
right-wing,1
mob,1
who,7
drive,1
back,3
police,1
gunfire,1
they,9
try,2
storm,1
chamber,2
february,1
1934,2
july,1
follow,3
military,2
defeat,1
occupation,1
german,3
army,1
majority,1
abolish,1
third,2
