item,cnt
health,7
lively,2
young,5
woman,10
seek,1
normal,3
life,18
elaine,26
heath,2
who,17
be,150
severely,2
paralyse,1
tell,3
cherrill,2
hicks,2
of,61
the,150
daily,3
constraint,1
she,165
face,2
by,23
like,5
pink,1
eye,1
glitter,1
and,99
a,78
vodka,1
orange,2
before,6
lunch,1
read,4
lenin,1
lawrence,1
support,6
cnd,1
also,4
disable,2
cerebral,1
palsy,1
can,12
use,5
neither,1
arm,1
nor,1
leg,2
only,3
communicate,1
make,6
noise,4
or,8
operate,1
an,10
electric,1
typewriter,3
with,20
nose,3
in,64
spite,1
disability,1
have,61
past,3
lead,4
remarkably,1
active,1
through,1
marriage,3
divorce,2
serious,1
love,8
affair,1
learn,5
russian,2
write,5
regularly,1
for,34
local,7
paper,2
teach,1
child,4
stroke,1
to,108
again,2
but,23
no,7
longer,1
close,3
relationship,4
give,8
need,10
without,2
it,33
become,7
virtual,1
prisoner,1
own,2
home,7
rule,1
clock,1
hour,3
work,8
authority,4
helper,1
unable,1
go,12
away,4
weekend,3
holiday,2
never,4
out,7
at,25
night,6
dinner,2
party,1
disco,1
evening,4
class,1
intolerable,1
say,24
ever,2
since,2
social,2
service,2
project,2
morning,2
not,27
get,9
up,8
9am,2
which,7
when,10
care,9
assistant,4
start,5
afternoon,2
must,1
always,3
4.30,1
so,5
that,38
carer,2
take,8
lavatory,1
leave,5
day,5
even,2
bladder,1
regulate,1
point,5
early,2
almost,2
as,18
soon,1
finish,1
meal,2
time,10
make-up,2
off,2
nightdress,1
put,4
on,15
nurse,10
leaf,2
excited,1
reporter,1
from,11
independent,1
visit,1
laugh,3
shout,2
refuse,4
age,2
impatient,1
explain,1
problem,7
effort,1
do,19
this,12
constantly,1
tap,1
exhausting,1
then,5
understand,1
we,3
manage,2
help,9
sylvia,10
lot,4
more,9
than,3
many,6
disabled,4
people,7
some,6
would,8
lucky,1
residential,1
live,7
large,3
sunny,2
specially,1
adapt,2
bungalow,2
northampton,3
wall,1
living,3
room,1
decorate,1
painting,1
still,2
right,3
hand,1
kitchen,1
cupboard,1
cover,2
postcard,1
letter,1
old,7
boyfriend,1
newspaper,1
article,1
come,8
nine,1
five,4
each,1
weekday,1
duty,1
between,2
six,3
10,2
every,4
few,4
despite,1
might,2
well,7
institution,1
monotonous,1
routine,2
long,1
feed,2
water,1
satisfied,1
forget,1
about,8
quality,2
i,39
unlike,1
other,3
