item,cnt
food,32
the,483
test,2
of,252
a,222
true,2
boar,28
british,8
gourmet,2
could,7
soon,1
go,19
whole,4
hog,2
write,4
henrietta,2
green,8
by,46
wild,22
once,3
roam,2
field,1
and,218
forest,2
britain,9
they,76
be,317
sport,1
rich,6
nobleman,1
who,17
hunt,2
eat,17
with,77
terrific,1
enthusiasm,2
until,5
there,21
none,4
now,15
plan,2
afoot,1
to,168
reintroduce,1
on,65
grand,1
scale,1
for,78
market,24
not,58
as,55
run,5
free,2
do,36
untold,2
damage,1
countryside,1
in,153
italy,1
france,3
germany,1
but,46
farm,3
which,22
should,7
ease,1
you,41
mind,2
even,13
if,24
it,116
cause,2
farmer,4
headache,1
thus,1
last,6
friday,5
that,63
inaugural,1
meeting,1
association,3
take,8
place,10
hold,2
appropriately,1
first,7
day,17
michaelmas,1
when,19
medieval,1
time,21
pig,7
traditionally,2
turn,11
out,18
into,14
wood,5
fatten,2
up,15
acorn,1
get,22
off,5
hairy,1
start,4
several,4
heated,1
discussion,1
about,14
what,13
mean,7
how,13
keep,3
can,21
intensively,2
or,52
only,15
rear,3
extensively,1
name,10
cover,2
pure-bred,2
include,4
cross,6
breed,7
domestic,3
allow,2
percentage,1
acceptable,1
just,8
because,14
look,9
like,18
striped,1
marking,1
agouti,1
long,9
snout,1
straight,2
tail,1
small,13
pointy,1
ear,1
accept,1
such,15
without,8
genetic,2
pretty,2
technical,1
stuff,3
this,25
enough,3
contentious,1
issue,2
make,11
every,5
's,61
hair,1
curl,1
robert,1
spencer,2
bernard,1
barrister,1
part-time,1
year,21
he,43
buckinghamshire,1
estate,1
say,23
tiger,2
whether,2
see,8
london,20
zoo,1
indian,2
argument,2
so,14
simple,3
we,62
have,92
herd,1
together,2
discuss,2
other,6
dr,2
derek,1
booth,2
animal,4
geneticist,1
scientist,1
easily,1
recognise,1
head,2
tie,1
appetite,5
whet,1
meet,2
iron-age,1
ago,5
between,8
tamworth,1
bbc,1
tv,1
series,3
an,28
attempt,1
recreate,1
from,47
era,1
admittedly,1
horrified,1
amount,3
fat,3
carry,1
life,4
park,3
realise,1
opportunity,1
clearly,2
sam,3
weller,3
also,9
light,4
self-proclaimed,1
poineer,1
man,7
business,10
company,5
all,30
set,2
strict,1
standard,3
offer,6
product,2
aim,3
at,46
luxury,2
end,6
produce,3
some,10
excellent,2
pork,4
sell,8
believe,2
must,5
genetically,2
pure,1
condition,7
approximate,1
closely,1
possible,3
environment,3
rigour,1
existence,1
make-up,1
may,11
affect,2
taste,9
texture,4
flesh,2
know,11
tell,5
i,48
relevant,1
importance,2
those,12
factor,1
research,3
then,7
jeff,1
woods,1
institute,1
back,14
part,2
cross-bred,1
feed,1
indoors,1
pen,1
under,2
identical,1
meat,5
two,21
carcass,1
exactly,2
same,8
diet,2
determine,2
outside,6
leave,3
varied,1
develop,1
plenty,1
muscle,1
will,19
different,6
no,22
one,46
seem,10
prepared,1
able,3
extent,1
purity,1
influence,1
cynical,1
whisper,1
knowingly,1
careful,2
price,15
themselves,2
right,6
boring,1
wide,2
open,16
supermarket,2
boy,2
free-range,1
acorn-fed,1
half,1
cost,2
well,8
eighth,1
bad,3
idea,3
already,6
bristle,1
problem,3
combat,1
threat,1
sort,2
manage,1
buy,15
suggest,4
try,3
hamburger,4
recipe,10
adapt,1
patricia,1
lousada,1
satisfying,1
game,1
cookery,2
john,1
murray,1
£15.95,1
remind,1
tuscany,1
where,9
fennel,2
seed,2
add,3
give,7
edge,1
flavour,7
ingredient,5
450g,1
1lb,1
lean,1
shoulder,2
loin,1
50g,1
2oz,2
fresh,15
3tbs,1
breadcrumb,2
2tbs,3
cream,6
1,2
½,1
tsp,2
fine,3
sea,5
salt,7
freshly,1
grind,1
black,6
pepper,2
pinch,1
ground,2
clove,1
nutmeg,1
preparation,3
mince,1
mix,4
remaining,1
processor,1
shape,1
mixture,1
smallish,1
palm,1
hand,3
grill,1
5-7,1
minute,4
depend,1
rare,2
fill,4
formula,2
filo,9
linda,2
sue,2
reader,2
submission,1
pastry,9
trickle,1
rather,8
than,18
torrent,1
postmark,1
most,9
further/far,4
north,3
midlands,1
available,3
week,6
winning,2
come,15
newcastle,2
upon,2
tyne,1
quality,3
difficult,1
choose,1
publish,1
combination,1
