item,cnt
property,29
cottage,9
charm,1
by,32
sue,1
fieldman,1
the,225
reputed,1
birthplace,1
of,81
bob,1
fitzsimmons,2
world,1
heavyweight,1
boxing,1
champion,1
in,58
1897,1
be,153
one,7
100,1
or,32
more,11
to,105
auction,35
bristol,10
and,79
west,12
between,3
18-20,1
october,4
house,18
right,6
at,25
61,1
wendron,1
street,1
helston,1
cornwall,1
have,45
a,107
guide,3
price,8
"£55,000-£70,000",1
blue,1
plaque,1
honour,1
it,42
will,34
alverton,1
manor,1
hotel,1
truro,1
on,31
19,1
3pm,1
ferryman,1
's,10
left,1
noss,1
mayo,1
south,4
devon,3
own,2
strutt,1
&,2
parker,1
0392,1
215631,1
26,1
two-bedroom,2
need,6
refurbishment,1
but,8
superb,1
location,1
middle,1
woodland,1
national,1
trust,1
overlook,2
river,1
yealm,1
"£150,000",1
forward,1
plan,5
make,15
proposal,7
influence,4
decision-maker,1
allison,10
flight,10
fill,2
background,2
planning,30
application,23
system,2
design,2
around,1
idea,3
that,20
people,10
should,8
say,13
what,5
happen,1
they,25
immediate,2
surroundings,1
how,6
do,6
you,46
find,8
out,10
about,9
whether,8
first,3
place,4
propose,1
oppose,1
an,21
good,4
way,2
decision,6
eventually,1
under,8
section,1
28,1
town,3
country,6
act,3
1971,1
authority,6
usually,5
local,11
council,17
supposed,1
advertise,2
certain,3
newspaper,1
cover,5
development,9
conservation,3
area,6
work,5
listed,2
building,7
which,12
affect,3
setting,1
outstanding,1
natural,1
beauty,1
also,8
locally,1
any,11
involve,4
large,3
those,5
than,9
20,3
metre,1
high,4
unneighbourly,1
use,3
such,4
as,18
casino,1
scrap,1
yard,1
cemetery,1
slaughterhouse,1
put,3
up,13
notice,1
site,3
itself,1
some,6
publish,1
list,4
all,8
new,5
paper,2
often,7
circulate,1
these,8
amenity,2
group,5
resident,2
',3
association,1
subscriber,1
ring,1
when,9
receive,6
consult,1
who,7
might,2
neighbour,2
other,4
community,1
consultation,4
process,3
take,9
form,3
letter,7
describe,2
invite,1
come,6
look,2
copy,3
drawing,4
submit,3
with,16
there,12
no,5
legal,2
obligation,1
carry,2
specific,1
however,3
if,26
concerned,1
code,1
practice,1
deal,5
fail,1
government,1
ombudsman,1
may,13
guilty,1
maladministration,1
department,5
keep,2
current,1
register,1
available,3
public,5
result,4
recent,2
change,3
copyright,1
law,1
can,18
not,13
see,4
office,3
then,3
ask,7
send,2
this,12
expensive,1
so,6
particular,1
for,54
want,4
inform,2
future,3
tell,2
comment,6
observation,1
only,9
ground,1
exclude,1
many,4
issue,3
probably,1
important,1
personally,1
fact,2
reduce,1
value,2
spoil,1
view,4
number,4
factor,2
into,3
account,1
mind,2
give,4
go-ahead,1
include,3
scheme,6
comply,1
policy,2
contain,1
proposed,1
compatible,1
surrounding,1
enough,2
parking,1
provision,1
cause,1
traffic,1
problem,4
once,4
complete,1
particularly,2
bulk,1
size,2
loss,1
daylight,1
sunlight,1
adjoining,1
matter,1
before,3
firm,2
negotiate,1
applicant,1
advance,4
careful,1
original,2
specifically,1
worried,1
possible,1
appointment,1
appropriate,1
officer,6
meeting,5
either,3
explain,2
objection,3
person,1
employee,1
handle,1
point,4
committee,10
elected,2
councillor,8
he,6
she,6
recommendation,1
follow,1
advice,1
set,4
time,8
allow,2
vary,1
state,4
object,1
contact,3
extra,1
agree,1
decide,6
meet,1
month,1
writing,1
case,6
strength,1
feeling,1
much,3
petition,3
easy,2
drum,1
name,2
although,3
impact,1
restrict,1
nevertheless,2
just,3
because,4
lot,2
automatically,1
mean,2
refuse,1
controversial,1
worth,4
action,2
opposition,1
focus,1
apply,1
permission,2
yourself,1
merit,1
personal,2
circumstance,2
think,3
relevant,2
example,1
build,4
extension,1
elderly,1
relative,1
unpopular,1
mini-cab,1
bed,1
breakfast,1
hostel,1
limited,2
period,2
review,1
situation,1
late,1
date,1
consider,1
chief,2
delegated,3
power,3
minor,1
uncontroversial,1
favour,1
hear,2
go,6
able,6
agenda,1
three,5
working,1
day,2
hold,1
member,3
access,1
information,1
1985,1
feel,2
strongly,1
from,11
secretariat',1
write,1
support,1
every,1
well,1
ward,1
try,4
interest,3
even,1
preference,1
big,1
difference,1
lobby,1
actual,1
open,1
sometimes,3
address,1
against,1
fix,1
limit,3
first-come-first-served,1
basis,1
talk,1
beforehand,2
outcome,2
update,8
priory,4
status,3
norfolk,2
old,2
twelfth-century,1
converted,1
horsham,1
st,1
faith,1
five,1
mile,1
outside,1
norwich,1
sale,8
through,3
prudential,1
0603,1
761600,1
"£350,000",1
rarity,1
reflect,1
grade,2
i,2
550,1
400,1
church,1
10-roomed,1
convert,1
tudor,1
medieval,1
wall,1
painting,2
including,1
larger-than-life,1
crucifixion,1
scene,1
30-ft,1
long,2
series,1
foundation,1
among,2
fine,2
europe,1
tenant,2
protection,2
shelter,1
call,1
urgent,1
legislation,1
protect,4
buy,5
home,4
rental,3
purchase,4
credit,1
report,3
housing,3
pressure,1
common,1
north,2
england,1
cheap,1
assured,1
1988,1
landlord,2
responsible,1
repair,1
skye,2
small,5
estate,5
separate,1
beautiful,1
knoydart,1
peninsula,2
opposite,2
isle,1
frank,1
rutley,1
031,1
225,1
7105,1
appeal,1
lover,1
wild,1
scotland,1
start,4
"£35,000",1
"£85,000",1
sea,2
village,6
nearby,3
harbour,1
pier,1
regular,1
ferry,1
service,6
too,4
mallaig,1
remote,1
deep,1
loch,3
side,1
nevis,1
meaning,2
heaven,1
mild,1
climate,1
hourn,1
hell,1
far,2
less,2
hospitable,1
sheltered,3
slump,1
sales,3
unit,2
fall,4
buyer,5
existing,1
retirement,2
care,1
company,1
specialise,1
managing,2
estimate,1
"4,000",1
market,5
builder,4
cut,1
forecast,1
"12,000",1
year,2
back,1
"8,000",1
grape,2
chance,1
unusual,2
opportunity,2
english,1
vineyard,2
corner,1
below,2
woodnesborough,1
near,2
sandwich,1
kent,1
produce,3
nearly,1
ton,1
siegerrebe,1
ortega,1
reichensteiner,1
owner,1
lieutentant-colonel,1
charles,1
galbraith,1
retire,1
chimney,4
sweep,1
baffle,1
smoky,1
cracking,1
free,3
booklet,1
offer,4
help,2
cico,1
lining,1
typical,2
suffer,2
various,1
solution,1
contemplate,1
improvement,1
employer,1
confederation,1
guarantee,3
works,1
bec,2
double,1
