item,cnt
fashion,1
fable,2
cable,4
and,108
fisherman,4
's,15
yarn,3
vinny,6
lee,6
on,20
warm,2
woolly,1
traditional,4
chunky,13
sweater,19
by,11
sail,1
around,2
the,147
coast,1
of,84
england,1
search,1
for,31
shoal,1
fish,2
gerorge,1
trowark,10
a,58
cornish,2
bear,1
in,62
1877,1
must,2
have,23
visit,2
dozens,1
port,1
harbour,1
at,12
each,2
stop,1
he,14
note,3
down,2
shape,3
stitch,3
work,8
other,2
working,1
man,6
jumper,12
from,20
morecambe,1
cockler,1
pullover,1
to,50
romney,1
marsh,1
smock,1
norfolk,1
fenman,1
weskit,1
thames,2
docker,1
jacket,2
intricate,1
knit,18
pearl,2
motif,2
be,87
document,1
himself,1
would,2
most,7
likely,1
find,1
under,1
thick,6
cable-knit,1
cover,2
frock,1
join,1
father,1
jelbert,1
brother,1
jago,1
fishing,2
boat,1
newlyn,1
time,11
learn,1
craft,2
popular,3
among,2
day,2
as,20
way,2
passing,1
long,6
voyage,2
although,3
skilled,1
george,3
become,3
renowned,1
knitter,2
over,5
many,5
year,5
accumulate,1
detailed,1
design,9
pattern,3
these,5
provide,1
knitwear,2
designer,5
martin,2
storey,2
with,37
much,6
information,1
inspiration,1
new,10
range,3
collection,4
man-sized,1
12,1
hand-knitted,2
or,24
quality,5
machine-knitted,2
hand,1
finish,2
cotton,5
linen,3
wool,3
colour,7
muted,1
black,13
blue,3
natural,1
dyed,1
mature,1
look,8
soft,1
wear,2
indigo-dyed,1
stonewash,1
give,3
worn,1
but,11
stonewashing,1
also,7
create,2
an,11
interesting,1
highlight,1
effect,2
raised,1
knitted,1
detail,1
dye,2
tend,2
stay,1
dark,4
outline,1
stitch-work,1
including,3
discreet,1
gt,1
initial,1
into,3
hem,1
style,4
large,4
envelop,1
extremely,1
cosy,1
almost,2
indestructible,1
one,4
five-year-old,1
see,6
independent,1
only,3
just,3
begin,2
break,2
after,4
frequent,1
machine,2
washing,1
hard,2
medium,1
size,2
make,7
real,2
shirt,1
wonderful,2
tunic,1
woman,1
average,1
will,16
probably,1
keep,5
she,7
knee,1
nice,1
artwork,1
credit,1
discovery,1
manuscript,2
may,5
spin,1
good,4
about,2
they,32
origin,1
genuinely,2
fine,2
mix,2
sell,2
sensible,1
big,3
brown,4
cardboard,2
box,3
handwritten,1
copy,1
legend,1
cornishman,1
cost,1
£160,1
£70,1
woollen,8
gilet,1
waistcoat,1
velvet,1
button,1
shawl,1
collar,2
£95,1
available,7
mulberry,1
olive,1
cream,9
crop,2
wide-necked,1
aran,5
£205,1
white,6
chenille,2
cropped,2
£293,1
colourful,1
tulip,1
£396,1
turtleneck,1
£90,1
both,2
navy,6
light,5
red,4
tobacco,1
green,5
lime,1
short,1
£112,1
ribbed,1
roll,6
neck,3
£99,2
cardigan,6
£125,1
all,8
beige,1
grey,2
flecked,1
fleck,1
marks,1
&,1
spencer,1
marble,1
arch,1
london,8
w1,3
selected,1
branch,2
patterned,2
handknitted,1
£19.99,1
ethnic,1
embroidery,2
£42.99,2
embroidered,1
flower,3
£32.99,1
bolero,2
paisley,1
russian,2
floral,1
£325,1
length,1
bobble,1
£269,1
variety,1
£115,1
assorted,1
fairisle,1
£312,1
zip-up,1
front,1
£147,1
£133,1
£156,1
gold,4
£135,1
jigsaw,1
14,1
james,2
street,8
nationwide,1
cabled,2
£49,2
mustard,2
crew,1
orange,2
rose,1
zip,1
£54,1
leaf,2
crossed,1
line,5
toytown,1
tram,21
city,10
transport,5
could,3
soon,1
back,1
right,2
track,3
say,2
jonathan,2
glancey,2
modern,6
continental,1
european,1
know,1
neither,1
shake,1
nor,2
rattle,1
do,9
sleek,1
solidly,1
build,2
gentle,1
environment,1
often,2
ideal,3
form,4
exert,1
fascination,1
very,1
own,2
slither,1
round,2
circus,1
brush,1
through,3
old,3
gate,1
flash,1
arc,1
lightning,1
switch,1
winter,1
night,1
single-car,1
articulated,2
double-decker,3
reliable,1
enduring,1
public,1
invent,1
orange-liveried,1
1500,1
series,1
milan,4
example,2
date,2
1927,1
eventually,1
replace,1
more,6
than,6
60,1
run,2
rhythmic,1
reliability,1
swiss,1
watch,2
part,2
la,1
scala,1
galleria,1
vittore,1
emmanuele,1
last,2
month,4
it,13
announce,1
that,15
britain,2
get,2
first,4
new-wave,1
1991,1
destine,1
manchester,7
relieve,1
traffic,2
congestion,1
help,1
reduce,1
level,1
carbon,1
monoxide,1
centre,3
outlying,1
suburb,1
satellite,1
town,3
bury,1
altrincham,1
salford,1
oldham,1
rochdale,1
main,1
exception,1
blackpool,2
not,13
forget,1
single-decker,1
isle,1
llandudno,1
largely,1
relegate,1
history,3
book,1
otherwise,2
place,2
museum,7
crich,1
derbyshire,1
else,1
british,8
commission,3
film,1
ealing,1
comedy,1
disappear,1
1950s,1
venerable,1
rumble,1
along,2
embankment,1
1952,1
somehow,1
image,1
tall,1
thin,1
mournful,1
double-deck,1
wooden,2
body,1
slatted,1
seat,2
growl,1
electric,1
motor,1
stick,1
mind,1
believe,1
until,2
surprisingly,1
recently,1
old-fashioned,1
something,2
chip,1
wrap,2
newspaper,1
hat,1
national,4
health,1
spec,1
smog,1
powdered,1
egg,1
hold,1
up,4
bright,5
diesel,3
bus,3
even,2
bad,2
block,1
progress,1
private,3
motorist,1
bulbous,1
austins,1
lumpen,1
humbers,1
canyon-like,1
thoroughfare,1
pick,1
power,3
spider,1
web,1
unsightly,1
overhead,2
wire,3
inflexible,1
operation,1
draughty,1
mobile,1
reminder,1
tb,1
epidemic,1
enamelled,1
spit,1
sign,1
screw,1
bulkhead,1
hardly,1
different,1
play,1
key,1
role,1
move,1
object,1
',3
desire,1
generation,2
jumbo,4
which,11
go,2
service,1
1979,1
leading,1
italian,1
architect,3
fight,1
handsome,1
imposing,1
unit,3
engineer,1
critic,1
klaus,1
giovanni,1
koenig,2
next,2
half-century,1
spotlessly,1
clean,2
long-term,1
advertisement,1
skill,1
assume,1
station,1
end,1
burn,1
cleanly,1
virtually,1
pollution,1
free,1
stand,1
koenig-designed,1
save,1
chatter,1
inside,1
completely,1
silent,1
so,7
slight,1
you,3
acceleration,1
brake,1
remarkable,1
latter,1
far,1
great,1
any,2
car,2
sadly,1
there,4
no,2
indication,1
gma,2
consortium,1
operate,1
maintain,1
share,1
milanese,1
counterpart,1
artist,1
impression,1
show,3
common,2
flat-faced,1
characterless,1
train,5
toy-like,1
docklands,1
railway,2
still,2
gec,1
mowlem,1
amec,1
greater,1
consider,2
employ,1
inspired,1
industrial,1
mancunian,1
visitor,1
conurbation,1
mechanical,1
millipede,1
well,4
twenty-first,1
century,2
now,2
longer,1
enhance,1
serve,2
chance,1
fresh,1
start,2
alone,2
croydon,1
southampton,1
tramway,1
refer,1
supertram,4
network,1
implication,1
being,1
new-generation,1
altogether,1
dynamic,1
pre-war,1
predecessor,1
what,2
really,1
