item,cnt
on,22
the,230
horn,1
of,120
bull,12
ring,16
dilemma,1
people,11
birmingham,16
should,9
be,125
allow,4
to,67
vote,2
future,2
development,7
they,9
city,23
jonathan,2
glancey,2
believe,4
by,26
's,30
infamous,1
and,57
exhausted,1
retail,4
hub,1
just,3
25,2
year,9
old,6
have,35
place,2
architecture,9
death,1
row,1
there,3
will,17
no,8
stay,1
execution,1
few,2
mourner,1
for,27
this,16
spoil,2
concrete,1
child,1
sixties,5
before,2
it,42
time,6
accuse,1
systematic,1
rape,1
second,4
also,2
stand,4
accused,1
murder,1
much-loved,1
area,1
around,1
market,5
that,37
grow,1
up,7
in,59
piecemeal,1
fashion,1
over,3
800,1
since,4
grant,2
a,79
charter,1
1150,1
survive,1
bad,1
luftwaffe,1
could,3
do,9
but,16
match,1
comprehensive,1
redevelopment,2
complete,2
laing,1
1964,1
ram,1
together,1
four,2
level,1
shopping,5
hall,3
multi-storey,1
car,2
park,4
an,11
office,3
block,2
bus,2
station,16
banqueting,1
suite,1
all,6
one,7
vast,4
complex,3
snake,1
between,1
constituent,1
part,6
controversial,2
overwhelming,1
road,4
design,10
successive,1
all-powerful,1
engineer,2
herbert,1
manzoni,1
neville,1
borg,1
most,1
militant,1
fan,1
would,4
hard,1
press,1
support,1
last-minute,1
appeal,1
although,3
crocodile,1
tear,1
shed,1
probable,1
demolition,3
rotunda,2
monumental,4
steel,1
glass,1
phallus,1
absence,1
sky-piercing,1
cathedral,8
act,2
as,25
instantly,1
recognisable,1
focal,2
point,4
what,8
go,2
replace,5
give,4
stupendous,1
cost,2
involve,1
look,3
powerful,3
private,2
developer,3
work,9
with,20
big,4
firm,1
commercial,4
architect,23
take,5
lead,1
like,5
albeit,1
more,5
acceptable,2
architectural,5
garb,1
or,10
broad,1
church,5
interest,1
group,3
realise,1
catholic,1
mix,1
number,4
complementary,1
style,3
debate,1
reach,1
something,2
fever,1
pitch,1
now,5
council,8
face,3
two,4
rival,4
scheme,10
side,1
london,10
&,2
edinburgh,1
trust,1
let,9
chapman,4
taylor,4
partner,3
other,3
pressure,1
champion,1
local,2
joe,3
holyoak,15
strong,3
position,1
own,1
leasehold,1
surrounding,1
site,7
1985,1
let's,5
charge,2
project,3
john,3
newman,4
say,6
we,6
not,21
develop,1
sit,2
back,2
collect,1
rent,1
from,16
ever-decreasing,1
tenant,1
