item,cnt
music,28
beware,1
the,349
pitfall,1
of,201
sincerity,3
composer,11
robin,2
holloway,2
consider,1
difficulty,3
assess,1
a,134
new,6
piece,4
by,37
how,9
to,121
ensure,2
sympathetic,1
reception,1
for,39
ideally,1
subject,3
should,6
combine,1
ecology,1
with,54
special,2
reference,1
tropical,1
rain-forest,1
protest,1
preferably,1
shrill,1
and,131
futile,1
it,56
climax,1
an,25
ecumenical,1
prayer,1
in,103
every,4
known,1
language,3
simultaneously,1
intergalactic,1
peace,1
musical,10
material,1
include,4
at,31
least,3
three,3
following,2
jewish,1
cantillation,1
catholic,1
plainsong,1
tibetan,1
chanting,1
aboriginal,1
drumming,1
whalesong,1
idiom,1
be,215
middle-of-the-road,1
artfully,1
diguise,1
mod,1
con,1
cluster,1
glissandi,1
electronics,1
there,18
strong,1
pop-music,1
element,4
plenty,1
repetition,2
la,1
philip,1
glass,1
when,16
inspiration,3
fail,3
fill,1
gap,1
ritual,1
gong-stroke,1
prolonged,1
amplify,1
threshold,2
pain,1
but,29
such,5
cynicism,1
will,5
not,38
do,23
this,34
serious,3
matter,3
recent,3
first,9
visit,1
ussr,1
bring,3
into,9
focus,2
i,50
large,2
question,3
evaluate,1
whose,2
basis,2
appeal,6
ground,1
extra-musical,1
circumstance,2
problem,3
dispassionate,1
judgement,2
composition,1
that,44
emerge,1
from,15
some,10
case,4
directly,1
express,3
political,3
oppression,1
wide,1
current,2
seem,12
touch,1
nerve,1
communal,1
masochism,1
audience,5
yearn,1
groan,1
under,2
yoke,1
suffering,1
they,37
may,1
never,4
have,38
experience,5
even,9
kind,2
envy,1
depth,2
vision,2
which,14
fate,1
think,4
produce,3
conspicuous,1
shostakovich,13
enormous,1
gift,1
awesome,1
copiousness,1
only,17
one,11
satisfy,2
if,11
intermittently,2
both,6
he,55
master,1
west,1
ever,3
since,3
just,8
criticism,2
mete,1
out,14
early,2
excess,1
then,3
gigantic,1
success,3
leningrad,2
symphony,5
1940s,2
symbolize,1
artist,3
catch,1
net,1
public,1
event,1
as,43
we,23
now,5
know,7
something,1
appalling,1
story,2
hounding,1
cultural,2
officialdom,1
raucous,1
irony,1
middle,1
works,6
bitter,1
blackness,1
last,6
become,4
entirely,2
comprehensible,1
his,1
post-war,1
body,2
symphonic,1
chamber,4
achieve,3
genuine,3
popularity,1
yet,3
drastically,1
imperfect,1
impressive,3
mix,2
coarse,1
triteness,1
inordinate,1
amount,2
padding,1
bombast,1
reliance,1
on,39
formula,1
most,12
shameless,1
telemann,1
nor,2
thing,7
improve,1
grow,1
beyond,1
subjection,1
state,1
reproof,1
late,6
notably,1
fourteenth,1
song,7
michaelangelo,1
text,3
among,3
great,8
succession,1
string,2
quartet,2
poverty,1
substance,1
spiritual,4
exhaustion,1
exemplify,1
rather,5
than,7
expressed,1
obviously,2
pre-eminent,1
soviet,2
bear,2
cruel,1
treatment,2
bold,1
spirit,2
satellite,1
country,4
able,3
take,8
liberty,1
home,3
lutoslawski,1
penderecki,2
kurtag,1
get,13
away,4
person,1
panufnik,1
ligeti,1
change,3
policy,1
unfrozen,1
flood,1
young,4
figure,1
who,20
undergo,1
similar,1
repression,1
though,7
condition,1
work,6
remain,2
poignant,1
precarious,1
recently,2
well-aired,1
through,8
broadcast,1
festival,3
enough,2
form,3
initial,1
overall,1
view,4
believe,1
music-lover,1
delude,1
claim,1
find,1
artistic,4
pleasure,4
any,6
fraction,1
here,6
content,3
locate,1
projection,1
what,14
heart,2
stone,1
would,11
move,3
knowledge,1
vanish,1
rarely,1
stand,3
own,2
merit,1
second,2
evaluation,1
deal,2
religious,2
subject-matter,4
however,2
vague,2
nostalgia,1
apparent,1
after,3
era,1
aggressive,1
atheism,1
either,1
organized,1
belief,1
or,23
substitute,1
chime,1
well,3
would-be,1
free,1
time,8
sixties,1
gurus,1
pop,2
present,1
mood,1
sombre,1
apocalyptic,1
identification,1
attempt,2
part,5
vast,2
area,1
tend,1
self-deceiving,1
empathy,1
void,1
need,2
satisfied,1
so,10
offer,2
sacrosanct,1
must,2
good,12
pretend,1
instance,1
st,2
luke,1
passion,1
john,4
arvo,1
messiaen,1
's,60
transfiguration,1
britten,3
war,1
requiem,1
tippett,1
mask,2
birtwistle,1
orpheus,1
steve,1
reich,1
desert,1
much,4
output,1
tavener,1
jonathan,1
harvey,1
above,4
all,21
stockhausen,1
seven-day,1
wonder,2
licht,1
religious/humanitarian,1
holocaust,1
hiroshima,1
aid,1
escape,1
make,6
fortress,1
unassailable,1
art,10
tyranny,1
worth,5
individual,1
very,5
various,2
consistent,1
piety,1
elevated,1
theme,2
warm-hearted,1
response,1
these,15
