item,cnt
the,644
us,26
set,3
it,130
compass,1
on,66
two,12
trading,6
ocean,2
notebook,1
by,73
edited,1
alex,1
brummer,1
canberra,3
may,10
seem,5
an,35
awful,1
long,4
way,5
from,39
exchange,16
floor,1
of,287
house,6
commons,4
over,16
european,17
monetary,12
system,11
but,42
be,298
not,39
for,96
perceived,1
economic,8
might,7
a,169
more,21
unified,1
community,2
dozen,1
or,17
so,8
nation,2
pacific,4
rim,1
who,3
have,128
meet,6
in,152
australia,2
bother,1
first,9
albeit,1
tenative,1
step,3
towards,3
form,5
new,17
pacific-based,1
union,11
display,1
astute,1
awareness,1
event,3
move,8
within,4
europe,15
movement,4
with,33
which,54
number,3
10,4
yet,2
to,257
come,13
grip,1
ago,6
as,63
if,21
world,6
divide,2
into,9
three,6
main,4
block,3
ec,9
base,6
around,4
west,5
german,3
economy,4
northern,1
american,8
us-canadian,1
free,3
trade,12
area,2
and,146
unit,10
incorporate,2
asian,1
tiger,2
japan,7
yen,1
at,48
centre,2
metternich-like,1
skill,2
secretary,3
state,4
mr,29
james,3
baker,2
ensure,2
that,76
america,3
maintain,1
strong,2
stake,9
each,5
forum,1
firstly,1
boldly,1
ask,4
seat,1
top,5
table,2
suggestion,2
rudely,1
rebuff,1
talk,8
genuine,1
north,1
zone,1
canada,2
mexico,1
would,35
good,4
all,12
high-technology,1
cheap,1
labour,4
force,5
south,4
rio,1
grande,1
now,15
make,15
third,4
bid,18
influence,1
turn,3
up,19
develop,2
asia,1
co-operation,2
apec,1
12-nation,1
organisation,4
will,47
mimic,1
role,1
development,4
preliminary,1
take,17
conduct,2
study,1
technology,1
investment,11
flow,6
region,2
insignificant,1
plainly,1
view,1
otherwise,3
he,36
note,1
meeting,8
start,3
something,1
could,6
grow,1
very,5
significant,1
only,8
global,1
economically,1
puny,1
asean,1
country,6
indonesia,1
malaysia,1
singapore,1
brunei,1
thailand,2
philippines,1
bury,1
they,32
reservation,1
then,3
high,10
growth,2
other,12
partner,5
including,3
such,4
korea,1
alongside,2
mature,1
mean,5
dynamic,1
coalition,1
decide,10
whether,7
want,6
face,4
atlantic,2
catch,1
between,8
great,5
head,4
default,2
question,7
just,4
even,16
underline,1
last,23
night,8
administration,1
time,10
history,1
congress,3
frantically,1
try,1
complete,3
bill,2
raise,8
federal,4
debt,3
ceiling,2
president,4
bush,3
sign,3
today,9
leader,1
capitol,1
hill,1
virtually,1
put,6
business,18
hold,6
seek,3
hammer,1
out,13
increase,9
treasury,6
nicholas,1
brady,1
level,6
headed,1
figure,2
warn,1
imbroglio,1
lead,3
interest,16
cost,8
taxpayer,1
what,7
should,11
routine,1
exercise,1
extend,2
government,19
's,73
borrowing,4
power,5
