item,cnt
22comment,1
the,1781
guardianwednesday,1
november,10
8,5
1989,1
more,44
than,39
just,18
another,14
disaster,14
thirty,2
five,16
people,45
die,6
and,522
other,34
be,868
maim,1
for,269
life,12
in,482
clapham,17
rail,27
december,7
last,66
year,69
because,18
work,54
do,75
a,505
slovenly,1
haphazard,1
way,24
then,20
leave,12
unchecked,1
all,49
stunning,1
have,310
come,25
to,763
assume,1
that,266
such,19
thing,13
not,151
happen,4
most,16
death,12
few,8
some,32
there,54
none,4
at,103
indeed,2
account,12
nearly,2
half,2
77,2
fatality,1
of,705
ten,4
compare,2
with,118
"5,000",1
"300,000",1
injury,4
every,6
on,178
road,6
yet,9
yesterday,70
's,204
report,46
crash,15
confirm,4
picture,1
which,82
emerge,3
throughout,1
hidden,13
inquiry,11
make,46
an,92
event,9
seem,2
time,25
totally,5
unexpected,1
look,3
almost,6
inevitable,2
this,75
system,11
hopelessly,2
under,15
strain,6
start,8
it,187
technically,1
ill-equipped,1
avert,1
or,44
cope,7
consequence,4
when,45
strike,21
from,96
commercial,4
pressure,6
as,130
put,28
compromised,1
safety,18
above,2
spot,1
could,39
would,105
weary,1
gruesome,1
working,13
hour,14
senior,11
signal,20
technician,4
who,65
head,12
list,4
culpable,1
only,34
one,45
day,21
off,13
past,9
13,2
week,33
lack,6
adequate,2
training,12
simply,1
bother,1
bulk,1
blame,3
place,5
british,44
knowingly,1
permit,4
these,6
continue,13
though,4
individual,4
nail,4
great,14
villain,1
desperately,2
competitive,1
climate,4
where,18
anyone,3
bright,1
competent,1
go,37
down,20
pick,2
up,33
good,21
paid,2
job,12
kind,1
congenial,1
condition,9
someone,5
like,9
telecom,2
railway,11
run,8
service,81
dependent,1
belong,2
narrow,1
inbred,1
culture,6
outdated,2
procedure,2
promotion,2
institutional,1
reliance,1
overtime,17
whose,5
wholly,3
disgraceful,3
dimension,1
symbolise,1
by,252
fact,8
maximum,3
weekly,1
recently,4
cut,9
72,4
transport,11
secretary,37
mr,271
cecil,3
parkinson,12
assure,4
commons,20
financial,4
consideration,5
stand,15
implement,9
sir,40
anthony,15
93,4
recommendation,14
technical,2
side,3
remedial,1
many,14
case,18
already,17
but,92
lift,4
standard,10
employ,4
give,45
they,113
proper,7
pay,56
wage,1
break,9
dependence,1
morale,1
together,1
must,13
far,11
exceed,1
cost,7
technology,2
any,19
means,1
clear,23
what,19
bill,17
will,85
money,7
problem,16
properly,4
penitent,1
government,85
too,4
fix,1
format,1
br,44
if,44
attest,1
today,18
reflect,5
planning,2
farsighted,1
investment,4
live,5
hand,11
mouth,1
compound,2
set,16
parameter,1
fail,13
value,2
country,18
get,15
efficiently,1
can,30
shift,4
destination,1
exemplary,1
speed,1
europe,5
consistently,2
demonstrate,5
sad,1
somewhat,1
ominous,1
so,24
little,2
should,41
sombre,1
statement,5
house,20
chaos,2
nation,5
ambulance,79
manifest,2
no,54
london,57
71,4
station,19
455,1
vehicle,10
accident,21
emergency,48
relief,1
provide,26
police,37
part-time,1
st,7
john,17
