item,cnt
a,33
country,1
diary,2
crook,1
co,2
durham,1
these,2
be,38
the,71
quiet,1
day,4
before,1
winter,3
for,9
most,2
of,38
this,11
week,1
landscape,2
have,15
drape,1
on,11
shifting,1
fog,2
patch,1
some,2
top,1
pea,1
hill,1
bathe,1
in,15
brilliant,1
sunshine,1
while,1
valley,1
river,1
wear,1
ahead,2
awash,1
sea,1
grey,1
with,2
tentacle,1
creep,1
outwards,1
along,1
hedge,1
and,10
gulley,1
into,4
field,1
we,5
yet,1
to,28
experience,1
any,2
hard,1
frost,1
so,6
autumn,1
leave,2
still,2
cling,1
branch,1
there,5
few,1
flower,1
white,1
dead,2
nettle,1
red,1
campion,1
yarrow,1
attract,1
last,2
drone,1
fly,1
hedgerow,1
take,1
an,5
additional,1
dimension,1
foggy,1
when,3
distant,1
blot,1
out,3
immediate,1
surroundings,1
assume,1
new,5
prominence,1
hundreds,1
spider,1
',2
web,1
suspend,1
between,4
twig,1
bear,2
yellowing,1
leaf,1
cluster,2
scarlet,1
rose,1
hip,1
decorate,1
water,1
droplet,1
that,11
sparkle,1
weak,1
sun,1
occasionally,1
penetrate,1
murk,1
amongst,1
hogweed,1
umbel,1
seed,2
head,1
willow,1
herb,1
ladybird,2
pack,1
tight,1
group,2
every,1
available,1
crevice,1
do,9
well,2
exceptional,1
summer,1
as,7
sweet,1
chestnut,2
tree,3
first,4
year,2
i,7
can,4
recall,1
collect,1
locally,1
large,1
enough,1
eat,1
warmth,1
mildness,1
bring,2
fine,1
crop,1
toadstool,1
spectacular,1
magnificent,1
specimen,1
verdigris,1
agaric,1
stroparia,1
aeruginosa,1
show,2
by,3
maureen,1
defty,1
local,1
farmer,1
they,3
sprout,1
from,8
buried,1
wood,1
vegetable,1
garden,1
sport,1
livid,1
blue-green,1
slimy,1
cap,1
moderate,1
snow,1
fall,1
mid-november,1
but,3
far,1
it,4
look,1
though,1
will,1
mild,1
than,2
ever,1
one,3
sign,1
approach,1
come,1
party,8
siskin,1
feed,1
catkin,1
birch,1
move,1
noisy,1
flock,1
phil,1
gate,1
andrew,1
moncur,1
strange,1
silence,1
government,2
people,2
who,1
you,15
spycatcher,1
saga,1
book,2
go,4
print,1
give,2
inside,1
story,1
security,2
activity,1
assorted,1
hanky-panky,1
northern,1
ireland,2
not,11
peep,1
treasury,1
solicitor,1
d-notice,1
committee,1
obviously,1
notice,1
fred,1
holroyd,2
former,1
military,1
intelligence,1
officer,1
write,2
detailed,1
account,1
dirty,1
war,2
cross-border,1
operation,1
kidnapping,1
involve,1
loyalist,1
hire,1
purpose,1
role,1
sas,1
infighting,1
service,1
what,4
more,1
upset,1
woman,1
he,8
without,2
honour,1
£6.95,1
release,1
yesterday,2
hull-based,1
independent,1
medium,1
publishing,1
mr,3
attach,1
mi6,1
province,1
1973,1
1975,1
might,1
imagine,1
want,1
disturb,1
particular,1
invertebrate,1
limbless,1
burrowing,1
creature,1
whack,2
stan,1
bate,1
worship,1
lord,1
mayor,1
stoke-on-trent,1
drive,1
off,2
tee,1
open,2
officially,1
city,3
's,3
municipal,2
golf,2
course,4
at,4
weston,1
coyney,1
splendid,1
then,1
depart,1
eager,1
golfer,1
hole,2
thwack,1
second,1
kersmack,1
third,2
hang,1
about,1
actual,1
such,1
green,1
nor,1
fourth,1
fifth,1
sixth,1
or,4
seventh,1
bit,1
drawback,1
cut,1
because,1
early,1
expected,1
say,5
spokesman,1
oddity,1
part,1
ii,1
tory-controlled,1
westminster,2
council,5
lay,1
down,1
strict,1
rule,1
elected,1
person,1
page,1
30,1
member,5
manual,1
appropriate,1
stationery,1
postal,1
facility,2
use,2
indicate,1
allegiance,2
councillor,1
peter,2
