item,cnt
american,6
football,6
birmingham,4
find,13
a,298
home,22
villa,9
park,17
the,710
aston,3
soccer,4
club,16
ground,10
will,54
be,316
of,249
compete,3
in,217
new,25
international,12
league,15
team,19
yet,3
to,243
name,4
full,9
play,25
they,112
opening,7
game,22
against,22
rome,3
on,97
april,5
16,3
last,45
week,12
chelsea,1
's,161
stamford,1
bridge,2
as,66
london,8
venue,3
and,270
midland,1
announcement,1
complete,8
line-up,1
for,113
six-nation,1
competition,6
which,25
consist,1
12-game,1
season,29
run,10
from,70
july,1
england,18
italy,5
have,170
two,32
with,89
west,21
germany,1
netherlands,1
spain,4
finland,2
represent,2
by,85
one,13
rugby,7
union,4
oxford,10
university,7
18,2
major,4
stanley,9
xv,4
33,2
revel,1
expose,1
slack,1
robert,4
armstrong,2
badly,2
need,5
brush,3
up,21
slapdash,1
act,1
training,3
before,18
meet,6
cambridge,1
at,85
twickenham,3
just,13
under,5
three,24
sloppy,1
handling,1
poor,3
co-ordination,1
lackadaisical,1
defence,12
leave,13
well,19
adrift,1
r,7
v,8
iffley,1
road,6
yesterday,19
any,8
match,17
nine,2
try,15
five,6
bind,1
entertaining,3
but,71
commit,1
so,11
many,8
error,2
every,1
department,1
that,69
it,71
hard,7
keep,2
straight,3
face,6
while,6
assess,1
contribution,1
addition,1
captain,6
brian,1
smith,11
persist,1
he,185
wayward,1
goal-kicking,1
long,9
after,31
become,6
apparent,3
should,9
pass,6
task,1
someone,1
else,2
perhaps,5
ask,1
too,8
much,4
who,49
not,41
win,33
month,16
exercise,1
same,6
shrewd,1
control,5
half-back,1
demonstrate,1
farr-jones,4
porta,6
injury,12
key,2
player,23
hamper,1
preparation,3
possibly,2
undermine,1
confidence,1
contrast,2
usually,1
make,21
inspired,1
calculation,1
good,12
invitation,1
side,15
out,25
scoring,1
spree,1
although,6
lose,11
australian,5
wing,1
ian,5
williams,2
shoulder,1
early,16
back,12
division,11
outstanding,1
especially,2
mullin,5
canadian,2
full-back,3
gareth,1
rees,6
clearly,3
mood,1
enjoy,2
himself,5
join,5
barbarian,2
take,33
all,14
black,2
saturday,6
lead,21
minute,30
an,41
opportunist,1
when,40
attempted,1
drop,5
goal,30
rebound,1
post,7
eight,6
later,9
perceptive,1
cross-kick,1
unmarked,1
easy,4
short-range,1
move,5
ball,18
wide,3
crisp,1
facility,3
stretch,2
18-0,1
break,15
down,20
left,5
crash,6
over,35
muscular,1
help,3
watkinson,2
eventually,1
set,5
succession,1
strong,2
drive,5
middle,1
disrupt,2
confident,2
rhythm,1
reader,3
dive,1
untidy,1
ruck,1
maintain,1
forward,3
impetus,1
score,12
push-over,1
thereafter,1
alternate,1
culminate,2
afternoon,2
hein,2
curtis,4
combine,1
60-metre,1
right,10
produce,2
diving,2
touchdown,1
kind,2
romantic,1
flourish,1
may,11
several,4
time,24
next,16
scorer,3
van,3
der,2
merwe,2
okoli,2
conversion,2
2,10
5,1
penalty,6
m,6
oliver,2
g,7
d,5
richards,1
s,2
b,3
capt,2
taylor,4
jones,4
t,4
hayashi,1
james,2
merrick,1
coker,1
j,2
fewtrell,1
w,1
british,12
columbia,1
canada,1
i,27
eastwood,1
australia,10
e,2
quist-arcton,1
harlequins,2
13min,1
irish,2
ireland,2
kew,2
occasionals,1
vessey,1
northampton,1
h,1
banco,1
nacion,1
argentina,4
n,1
sydney,2
everett,1
cape,1
tn,1
howe,2
bedford,1
willis,1
narbonne,2
peter,5
loughborough,2
hartlepool,2
wood,1
49,1
cooper,1
richmond,1
bertrand,1
referee,21
quittenton,1
fergus,1
aherne,1
welshman,1
gary,4
bring,7
replacement,1
john,11
jeffrey,2
',14
basketball,1
spanish,4
galleon,2
sink,3
english,5
pryce,1
absence,2
joel,1
moore,1
achilles,1
tendon,1
francis,1
drake,1
retired,3
carry,2
firepower,1
this,45
european,7
championship,11
apart,1
shaky,1
start,9
threat,1
squall,1
second,30
half,17
condition,2
leisure,1
centre,5
prove,7
entirely,1
liking,1
big,4
beat,13
99-83,1
6ft,4
9in,1
antonio,1
martin,8
21,2
point,12
10in,1
ferran,1
martinez,1
12,6
mobile,1
enough,3
inflict,1
irreparable,1
damage,2
interior,1
5in,1
jordi,1
campa,1
22,1
everything,2
sight,2
limited,1
attacking,2
option,4
reduce,2
occasional,1
fast,3
low-percentage,1
shot,14
scantlebury,1
age,2
range,3
15-14,1
26-6,1
burst,3
clark,1
see,5
off,13
zone,3
then,8
desperate,1
press,3
margin,1
11,5
seven,4
go,14
close,3
come,15
boxing,2
jacobs,4
spy,1
ladder,1
jack,2
massarik,2
motherwell,1
civic,1
hall,4
way,9
las,2
vegas,2
defend,5
commonwealth,4
welterweight,1
title,3
there,17
tonight,2
donovan,1
boucher,2
champion,17
aim,3
spotlight,1
old,6
stager,1
like,6
lloyd,2
honeyghan,1
kirkland,1
laing,2
23-year-old,1
glaswegian,1
base,2
wiry,1
southpaw,1
swarming,1
style,4
vote,2
boxer,2
year,28
travel,5
mexican,1
javier,1
suazo,1
ibf,1
rank,1
between,8
no.10,1
no.30,1
world,29
outpoint,2
fancied,1
george,5
collins,3
dim,1
view,5
reading,1
do,29
think,11
people,3
read,2
anything,1
into,23
say,33
unbeaten,2
look,13
fighter,2
loss,2
however,10
former,8
mcgirt,1
york,3
no,17
stage,7
though,2
knock,5
most,4
opponent,2
learn,1
lot,4
night,17
only,21
23,2
fight,2
powerful,2
right-hand,3
punch,2
fair,2
test,5
paul,6
hodkinson,1
undefeated,1
featherweight,1
substitute,1
town,3
kirkby,1
december,7
13,3
farib,1
benredjeb,1
france,1
replace,2
salvatore,1
bottiglieri,1
injure,2
najib,1
daho,1
manchester,3
lightweight,1
carl,1
crook,1
chorley,1
preston,2
january,4
24,2
spurs,13
away,14
holder,5
littlewoods,9
cup,43
nottingham,13
forest,20
give,20
another,11
draw,7
quarter-final,3
tottenham,8
visitor,2
potential,2
tie,8
round,9
if,8
can,8
overcome,1
tranmere,24
replay,6
write,11
ridley,3
oldham,21
receive,4
scant,1
reward,2
exploit,2
send,6
winner,11
swindon,2
southampton,3
coventry,3
