item,cnt
mailbox,1
jack,3
schofield,3
's,34
article,2
november,3
23,2
guess,1
that,44
there,19
be,263
only,12
20,4
x,5
window,3
product,5
available,14
we,16
have,82
six,1
on,48
the,399
market,15
for,87
over,9
a,181
year,10
all,15
try,4
to,149
use,28
power,1
of,155
workstation,2
in,101
general,3
and,170
particular,2
present,4
information,7
more,14
effective,2
way,3
perhaps,2
most,7
dramatic,1
example,5
vdiff,1
which,34
simply,4
compare,2
two,12
file,8
house,8
lords,1
who,8
do,21
lot,3
as,52
bill,1
go,8
through,6
buy,12
sun,1
just,9
it,98
peter,1
brown,1
professor,1
computer,32
science,3
university,4
kent,1
canterbury,1
ct2,1
7nf,1
per,11
normal,1
thursday,1
i,21
guardian,3
order,3
read,3
you,66
page,2
pleased,1
come,10
across,1
an,36
item,1
microfile,2
30,1
about,25
launch,5
teesside,2
poly,2
course,14
computerised,4
communication,7
cmcs,3
computer-mediated,1
system,63
delivery,4
slightly,2
take,8
aback,1
however,11
this,32
uk,6
first,10
such,8
cecomm,3
centre,1
electronic,2
open,3
support,6
education,6
deliver,4
via,3
since,4
1987,1
leading,1
value-added,1
provider,1
application,7
training,3
develop,11
set,11
formal,1
communications-based,1
methodology,1
social,1
network,4
design,6
allow,5
organisation,3
evaluate,1
access,3
mechanism,2
both,7
at,37
lan,1
wan,1
local,2
wide,1
area,3
level,3
rather,3
than,11
reinvent,1
virtual,1
classroom,1
may,4
suggest,3
staff,4
could,9
contact,2
avail,1
themselves,2
tutor-moderated,1
programme,2
process,4
save,2
considerable,1
time,7
angst,1
still,4
they,34
discover,3
very,7
real,5
difficulty,3
medium,1
during,3
dick,1
davies,1
coordinator,1
hit/cecomm,1
southampton,2
institute,1
high,3
so9,1
4ww,1
iread,1
with,61
interest,3
introduction,1
technology,4
into,11
nhs,1
kick,1
scream,1
group,2
research,5
prototype,5
intelligent,2
environment,2
practice,2
project,5
practitioner,1
enter,2
note,2
pen,1
practioner,1
data,7
pad,1
fund,1
by,41
department,5
health,1
medical,2
council,2
respectively,1
apply,1
user-centred,1
strategy,1
development,15
human-computer,1
within,3
gp,1
consulting,1
room,2
bernard,1
horen,1
manchester,2
informatics,1
dept,1
oxford,1
road,1
m13,1
9pl,1
overnight,7
prototyping,1
crucial,2
argue,2
ian,2
richards,2
tailor,1
fit,4
nothing,2
fundamental,1
assess,2
user,30
requirement,6
if,10
not,50
know,6
what,23
require,4
anything,1
but,36
many,4
developer,3
unable,1
properly,1
seem,5
think,5
can,36
ask,4
businessman,1
he,10
get,13
answer,2
amount,1
draft,1
specification,3
doctor,4
patient,3
treatment,1
prescribe,2
explain,2
problem,6
provide,8
remedy,1
sort,4
want,7
will,26
meet,6
blank,2
look,4
deep,2
knowledge,3
business,9
little,6
no,12
idea,2
how,6
should,5
tackle,1
yet,3
analyst,14
hear,2
again,2
tell,7
away,2
from,26
day,1
impose,1
processing,3
so,6
end,6
up,14
another,4
duff,1
same,4
service,4
find,5
out,7
need,8
cure,1
decide,3
least,4
broad,1
term,2
one,18
great,3
advantage,3
once,4
become,8
familiar,1
proposed,1
helpful,1
comment,2
thick,1
fast,4
oh,1
help,2
raw,2
material,1
sometimes,2
part,2
extra,6
facility,6
deal,2
those,9
non-standard,1
discount,3
give,8
pig,1
old,7
add,6
input,3
box,4
screen,2
list,1
would,10
advance,2
warning,2
shortage,3
assembly,1
line,2
month,3
before,3
occur,1
now,13
leap,1
forward,1
unfortunately,3
reach,2
stage,1
until,1
because,5
clue,1
probably,2
mutter,1
too,3
busy,1
involved,1
thing,4
wrong,1
anyway,1
inside,3
head,2
like,9
initial,2
perfect,1
hope,2
understand,1
well,12
few,6
week,1
after,3
see,6
channel,3
instead,4
persuade,1
specify,1
drive,15
key,2
good,21
distinct,1
phase,1
initially,2
work,8
lead,5
towards,1
right,8
potential,3
change,4
attitude,1
place,1
demand,1
then,4
force,1
defensive,1
why,3
new,14
feature,3
include,6
technically,1
difficult,1
or,22
prohibitively,1
expensive,5
traditionally,1
validate,1
agree,2
functional,1
theory,1
validation,1
mean,4
imagine,2
when,10
test,2
version,6
planned,1
implementation,1
date,1
light,1
host,2
request,1
issue,2
advent,1
fourth,1
generation,1
language,1
4gls,1
make,19
much,12
easier,1
4gl,1
put,8
together,3
quickly,1
feedback,1
obtain,1
early,3
grow,3
around,6
relationship,1
build,1
between,2
arise,1
understanding,1
each,3
other,3
job,1
ensure,3
team,1
maintain,1
proper,1
focus,1
counter-productive,1
cut,3
off,5
specialisation,1
bad,3
feed,1
temptation,1
engross,1
technical,4
forget,1
underlying,1
stroll,1
pub,1
talk,2
successful,1
',4
book,2
improve,1
publish,2
graham,1
&,1
trotman,1
£8.95,1
paperback,1
£16,1
hardback,1
tel,3
01-821,1
1123,1
editor,1
alpha,10
master,3
operating,6
interconnect,1
disparate,1
widely,1
distribute,2
act,2
single,1
cohesive,1
whole,2
finance,1
largely,1
us,18
defense,3
free,2
tactical,1
fighter,1
real-time,5
board,1
nasa,1
space,1
station,1
possibly,1
strategic,1
initiative,1
doug,1
jensen,1
concurrent,5
corp.,1
massachusetts,1
originally,1
carnegie-mellon,1
dynamics,1
demonstrate,1
ground-based,1
air,2
write,1
c++,1
run,3
mips-based,1
multi-processor,1
mini-supercomputer,1
next,2
co-exist,1
rtu,1
unix,4
object-orientated,1
interface,2
production,2
large,5
complex,1
assume,2
computing,2
replication,1
distributed,1
programming,2
survivability,1
manage,1
task,3
deadline,2
completion,1
interrupt,1
start,6
gracefully,1
degrade,1
possible,1
important,2
although,4
defence,1
obvious,1
mission,2
critical,1
commercial,2
factory,2
automation,1
on-line,1
financial,2
baby,1
vrtx,1
small,4
integrated,1
beta-test,1
due,2
release,3
1990,1
1993,1
say,8
ultimate,1
aim,2
produce,2
supplier-independent,1
rank,1
alongside,1
complementary,1
seek,1
european,3
partner,1
office,2
maidenhead,1
0753,1
77777,1
mips,6
nixdorf,3
tandem,1
fault-tolerant,1
mini,1
base,6
risc,3
reduced,1
instruction,2
chip,4
machine,19
firm,11
also,10
co-operate,1
pyramid,2
whose,2
targon/35,1
reseller,1
meanwhile,1
control,3
sign,3
agreement,2
sell,8
cheap,5
unix-based,1
rc6280,1
mini/mainframe,1
processor,7
rate,2
55,1
million,6
second,2
industry,8
general-purpose,1
wizard,2
ibm,2
announce,4
adaptor,2
33mhz,1
intel,2
i860,1
64-bit,1
expansion,2
card,3
386-based,1
pc,8
mca,1
micro,8
architecture,1
bus,1
os/2,1
oil,1
modelling,1
similar,3
supercomputing,1
27,1
cost,7
"£5,568",1
plus,2
vat,2
memory,3
"£2,915",1
tool,2
originate,1
"£1,168",1
super,2
japan,3
fall,1
supercomputer,2
sales,2
american,6
complain,1
japanese,2
close,2
reply,1
prove,2
fujitsu,2
own,6
46,1
cent,9
amdahl,2
stop,1
last,5
four,1
xvision,2
visionware,2
standalone,1
server,1
client,3
program,4
display,2
microsoft,3
terminal,2
connect,1
minicomputer,1
without,3
sacrifice,1
dos,1
sql-connect,1
companion,1
link,3
database,3
load,1
informix,1
oracle,1
uniplex,1
excel,1
