item,cnt
a,47
dragon,1
without,2
fire,2
michael,1
billington,1
miss,2
the,116
menace,1
in,24
rsc,2
's,26
revival,1
of,43
shakespeare,9
good,5
political,3
play,10
it,20
be,67
twelve,1
year,5
since,2
last,4
stratford,1
coriolanus,12
an,10
absurd,1
neglect,1
but,17
new,1
production,4
at,7
royal,2
theatre,4
direct,1
by,8
terry,1
hand,4
and,28
john,3
barton,4
have,14
lot,1
go,2
for,9
pace,1
clarity,1
volumnia,5
from,5
barbara,2
jefford,3
ideal,1
world,3
one,6
would,1
look,3
more,3
dangerous,1
animalism,1
than,5
get,3
charles,3
dance,7
order,1
to,46
sharpen,1
edge,1
debate,1
what,6
make,9
this,9
such,1
great,6
analytical,1
power,1
as,23
once,1
point,4
out,5
neither,1
right-wing,1
nor,1
left-wing,1
wing-less,1
see,5
magnificent,3
warrior,1
psychologically,1
damage,1
mother-worshipper,1
potential,1
threat,4
evolving,1
republic,3
people,2
on,10
other,2
suffer,1
famine,1
time,4
when,4
patrician,2
hoard,1
grain-harvest,1
themselves,1
easily,2
manipulate,1
tribune,3
do,6
not,10
so,4
much,1
take,2
side,2
show,3
how,4
state,3
threaten,1
tragic,1
collision,1
opposing,1
force,3
antique,2
rome,3
read,1
jacobean,1
england,1
about,5
current,1
that,13
seek,2
tilt,1
either,1
way,3
allow,1
we,11
decide,1
where,2
stand,1
also,11
imply,1
rather,2
re-create,1
past,1
christopher,1
morley,1
set,2
consist,1
three,1
mobile,1
siege-tower,1
with,11
roman,1
costume,1
term,1
veer,1
black,1
leather,1
volscian,1
scarlet,1
greatcoat,1
along,1
number,1
intelligent,1
strongly,2
contrast,1
geoffrey,1
freshwater,1
bullish,1
rabble-rouser,1
sicinius,2
velutus,1
offset,1
ineffectual,1
moderation,1
joe,1
melia,1
junius,1
brutus,1
continuity,1
martial,1
value,2
brilliantly,1
suggest,1
end,1
son,3
ritually,1
receive,1
he,46
father,1
sword,1
while,1
mother,3
grievingly,1
i,7
however,1
sense,1
implacable,1
danger,1
mr,4
give,6
many,2
man,4
essential,1
quality,1
psychological,2
dependence,1
solitariness,1
constantly,1
place,1
down,4
front,1
gaze,1
over,3
audience,1
head,1
tribal,1
valour,1
there,7
dragonish,1
aspect,1
which,1
yet,2
catch,1
throw,1
away,1
too,2
key,3
phrase,1
triton,1
minnow,1
epithet,1
here,4
lost,1
although,1
banishment-speech,1
body-language,1
hurl,1
coat,1
ground,1
fine,1
disdain,1
significant,1
director,1
resort,1
echo-chamber,1
effect,1
elsewhere,1
olivier,1
wanly,1
recall,1
own,1
built-in,1
reverberation,1
dictatorial,1
implied,1
felt,1
rich,1
compensation,1
why,3
superb,1
actress,1
only,3
two,3
role,2
30,1
she,13
essentially,1
voluptuous,1
whose,1
hold,1
dangerously,1
sexual,1
greet,1
return,1
battle,1
wife,3
palpable,1
reluctance,1
calm,1
before,2
confrontation,1
shackle,1
iron,2
grip,1
plea,1
sack,1
pinpoint,1
line,2
tread,1
womb,1
bring,3
thou,1
can,2
sexless,1
harridan,1
ms,1
interpret,1
passionate,1
woman,3
who,4
dominate,1
physically,1
well,1
spiritually,1
even,2
extent,1
face,1
resounding,1
slap,1
recalcitrant,1
cast,1
malcolm,1
storry,2
bullet-headed,1
aufidius,1
simply,1
rude,1
barbarian,1
acute,1
analyst,1
character,4
priceless,1
gift,1
language,1
tangible,1
say,5
think,3
will,3
osprey,1
fish,1
image,2
come,4
resonantly,1
alive,1
joseph,1
o'conor,1
menenius,1
infinitely,1
wily,1
seem,1
capable,1
communicate,1
sanely,1
several,1
warring,1
faction,1
normally,1
male-dominated,1
worth,1
note,1
unusual,2
prominence,1
amanda,1
harris,1
virgilia,1
no,2
simpering,1
wet,1
loyal,1
vehemently,1
thump,1
they,2
banishment,1
husband,1
jane,1
maud,1
valeria,1
characterise,1
programme,2
priestess,1
diana,1
final,1
peace-mission,1
symbolic,1
weight,1
sign,1
intelligently,1
re-thought,1
board,1
anne,1
follow,1
livy,1
balance,1
idea,2
manifest,1
need,2
truculent,1
fighter,1
thrillingly,1
horrific,1
nature,1
photograph,1
douglas,1
jeffery,1
ready,1
huge,2
family,3
row,1
television,1
hugh,1
hebert,1
gird,1
up,1
six,1
hour,1
mahabharata,2
long,3
training,1
weekend,1
peter,1
brook,3
approach,2
via,1
south,2
bank,2
lwt,1
through,3
foothill,1
lear,2
marat/sade,2
everest,1
indian,1
epic,1
night,2
again,1
between,3
section,1
story,1
signal,2
c4,1
kind,1
michelin,1
guide,1
hindu,2
poem,2
generally,1
15,2
bible,1
fact,1
inclined,1
check,1
cut,1
legend,1
short,1
bloody,1
rivalry,1
branch,1
five,1
pandava,2
brother,3
all,6
marry,1
same,2
princess,1
100,1
kaurava,1
both,1
know,2
eventually,2
fight,1
meanwhile,1
leading,1
entice,1
into,2
dice,2
game,2
lose,2
resist,1
unable,1
quiet,1
gambling,1
fever,1
kingdom,1
shared,1
himself,1
pandavas,1
banish,1
forest,1
12,1
war,1
help,1
understand,1
spend,1
stage,1
now,2
screen,3
culmination,1
development,1
mid-sixties,1
unforgettable,1
paul,1
scofield,1
cruelty,1
season,1
sledgehammer,1
operatic,1
impact,1
isolate,1
tricky,1
transfer,1
art,1
suggestion,1
statement,1
cinema,1
produce,1
complete,1
problem,1
offer,1
just,2
settle,1
saturday,1
soft,1
cushion,1
ration,1
clear,1
summary,1
chance,1
fix,1
central,2
dramatic,1
tapestry,1
talk,1
yudishthira,1
ordinary,1
everyday,1
action,1
overtone,1
poetic,1
metaphysical,1
supernatural,1
though,3
you,3
put,1
together,1
henry,1
iv,1
hamlet,1
tempest,1
these,1
simultaneously,1
within,1
explode,1
conventional,1
morality,1
west,1
episode,1
blackeyes,5
bbc-2,1
hardly,1
advance,1
narrative,1
slowly,1
pick,1
scab,1
mysterious,1
following,1
nigel,1
planer,1
speak,2
damn,1
bellman,1
herself,2
some,1
less,1
top,1
model,1
bestride,1
unspeakable,1
marketing,1
jamieson,2
colin,1
jeavons,1
noisy,1
commercial,2
humping,1
once-fashionable,1
seaside,1
hotel,1
ballroom,1
dennis,2
loti,1
croon,1
try,1
little,1
tenderness,1
floor,1
awash,1
unsteady,1
pensioner,1
most,1
potterish,1
moment,1
far,2
real,1
orgasm,1
ask,1
narrator,3
fake,1
course,1
happen,1
if,2
pretend,2
often,1
half,1
saga,1
few,1
piece,1
one-to-one,1
hostility,1
radio,1
4,1
start,1
week,1
potter,3
emphasise,1
',1
aloneness,1
separate,1
passage,1
writer,1
directorial,1
exercise,1
interview,1
morgue,1
detective,1
blake,1
whom,1
shrapnel,1
compulsively,1
watchable,1
undergo,1
first,1
trial,1
under,1
photographer,1
light,1
lascivious,1
eye,1
nt,1
should,1
compromise,3
lure,1
bra,1
repeat,1
theme,2
camera,1
pan,1
round,1
eyeful,1
picture,1
nipple,1
level,1
intone,1
dirty,1
mouth,1
