item,cnt
a,32
country,2
diary,1
northumberland,1
roe,2
deer,2
be,35
among,2
the,48
most,3
difficult,1
wild,1
creature,1
for,8
human,1
to,27
succour,1
and,18
rehabilitate,1
abandoned,1
fawn,3
have,17
rear,1
on,5
bottle,1
only,1
die,1
within,1
few,3
month,1
so,2
it,5
interesting,1
hear,1
this,4
week,1
from,5
mrs,3
bolton,4
of,20
wildlife,2
in,19
need,1
north,1
we,3
that,10
she,12
recently,1
save,1
life,1
six-month,1
old,1
doe,2
little,2
see,3
stagger,1
distressed,1
bloated,1
condition,2
capture,1
with,9
difficulty,1
take,3
vet,1
who,3
pump,1
fermented,1
corn,1
stomach,1
presumably,1
gorge,1
herself,1
pheasant,1
feed,1
keep,1
pen,1
where,1
despite,3
remain,3
very,1
frightened,1
state,1
beast,1
recover,1
start,1
eat,2
small,1
amount,1
hay,1
after,3
three,1
day,2
when,2
scouring,1
stop,3
tag,1
put,1
sack,1
field,2
which,2
neighbour,1
certain,1
sibling,1
frequent,1
wonderful,1
reaction,1
say,3
mr,1
shoot,1
up,3
then,2
pause,1
stand,1
ground,1
although,1
still,2
quite,1
close,1
suddenly,1
begin,1
grass,1
know,2
come,1
home,1
later,1
company,1
mother,1
twin,1
sister,1
at,4
present,1
an,4
agoraphobic,1
shag,1
languish,1
centre,1
every,1
inducement,1
can,2
not,3
persuade,1
he,3
even,1
get,1
foot,2
wet,1
five,2
hedgehog,1
hibernate,1
mound,1
leaf,1
kestrel,2
leave,2
doorstep,1
damaged,1
bad,1
autumn,1
bird,1
prey,1
bring,1
into,1
sanctuary,1
emaciated,1
worm,1
staple,1
diet,1
these,1
short,1
supply,1
due,2
summer,1
drought,1
veronica,1
heath,1
divers,2
danger,2
dramatic,1
rise,2
diving,6
's,2
popularity,1
lead,1
fear,1
safety,1
people,2
new,1
sport,5
john,1
illman,1
report,2
spectacular,1
beauty,1
coral,1
attract,1
ever,1
increasing,1
number,3
scuba,1
many,4
briton,1
undergo,1
training,2
uk,4
try,1
abroad,1
continue,1
dive,7
cold,1
water,2
british,1
sub,1
aqua,1
club,2
bsac,5
just,1
record-breaking,1
year,4
off,2
coast,1
estimate,1
about,1
two,1
million,1
100,1
per,1
cent,1
previous,1
but,2
medical,3
expert,1
concerned,1
newcomer,1
too,3
deep,2
especially,1
expose,1
themselves,1
life-threatening,1
injury,1
bend,3
or,5
decompression,6
sickness,3
write,1
diver,9
magazine,1
incident,1
adviser,1
chris,1
allen,2
warn,2
statistics,1
show,1
than,1
indicate,1
by,1
they,5
ability,1
ignore,1
commonsense,1
recommendation,1
simply,1
fail,1
plan,1
properly,1
longer,1
under,2
great,1
depth,4
more,2
nitrogen,3
absorb,2
pressure,2
reduce,2
during,1
ascent,2
must,3
slowly,1
eliminate,1
through,1
breathe,1
bubble,1
will,1
form,1
bloodstream,1
give,1
excessive,1
ascend,1
designated,1
there,2
specified,1
time,3
what,1
as,3
case,1
result,1
required,1
miss,1
running,1
out,2
air,1
towards,1
end,1
some,1
50,1
metre,2
surgeon,1
commander,1
james,1
francis,1
senior,1
officer,2
medicine,2
institute,1
naval,1
i,1
would,2
think,1
30,1
reasonable,1
below,1
you,5
bottom,1
between,1
surface,1
commence,1
limit,1
hardly,1
worthwhile,1
whose,1
rigorous,1
world,1
insist,1
compare,2
favourably,1
other,1
12,1
fatality,2
link,1
spokesman,1
kendal,1
mcdonald,1
claim,1
35,1
associate,1
angling,1
39,1
boating,1
44,1
swimming,1
press,1
recognition,1
nhs,2
liability,1
health,1
authority,1
refuse,1
pay,1
treatment,3
argue,1
should,1
insurance,1
cost,2
anything,1
hundred,1
pound,1
"£15,000",1
exceptional,1
circumstance,1
dr,1
peter,1
wilmhurst,1
st,1
thomas,1
',1
hospital,1
london,1
entitled,1
act,1
same,1
way,1
skater,1
break,2
leg,1
ice,1
rider,1
back,1
fall,1
horse,1
false,1
economy,1
treat,2
if,1
spinal,1
do,1
recompress,1
someone,1
paralyse,1
waist,1
down,2
society,1
immense,1
experience,1
tyro,1
avoid,1
go,1
far,1
overnight,1
file,1
