item,cnt
midwife,3
at,14
the,281
birth,4
of,128
a,68
state,13
intifada,30
be,139
people,11
's,19
unarmed,1
revolution,3
against,3
occupation,5
it,97
two,11
main,1
slogan,1
repeat,2
countless,1
time,7
in,72
directive,2
issue,5
by,19
underground,2
leadership,6
freedom,3
and,88
independence,6
have,30
employ,3
dual,2
strategy,6
to,108
achieve,2
these,5
objective,1
first,9
comprehensive,1
civil,2
disobedience,2
campaign,2
begin,4
which,19
sever,1
or,15
minimise,1
all,12
contact,1
point,2
they,36
bind,1
israeli,36
authority,10
this,16
include,1
resignation,2
palestinian,34
official,1
from,10
public,6
post,1
boycott,1
goods,1
product,2
refusal,1
pay,1
tax,2
fine,1
partial,1
full,1
strike,1
demonstration,2
sit-in,1
convention,1
fact,3
only,6
constitute,4
outer,1
layer,1
an,14
inner,1
mechanism,1
civilian,3
rebellion,3
second,2
complementary,1
part,2
concentrate,1
on,18
construction,2
indigenous,1
national,8
as,23
israel,21
lift,1
population,3
create,4
alternative,1
own,7
popular,6
committee,6
establish,4
village,6
refugee,2
camp,2
suburb,1
street,3
every,2
community,2
some,4
headway,1
make,7
expanding,1
self-sufficiency,1
whether,2
through,7
utilise,1
more,10
land,2
for,27
agriculture,2
developing,3
home,4
economy,1
encouraging,1
local,4
manufacturer,1
thus,4
develop,2
into,3
liberated,1
independent,2
area,1
if,12
not,22
militarily,1
then,2
least,1
psychologically,1
politically,1
infrastructurally,1
bloody,1
clash,1
would,24
occur,1
whenever,1
armoured,1
unit,4
raid,2
storm,1
makeshift,1
defensive,2
road,3
block,5
respond,1
rock,1
throw,2
with,14
live,1
bullet,1
tear,1
gas,1
but,19
no,7
sooner,1
army,6
go,4
than,9
revert,2
resident,1
flag,1
raise,1
minaret,1
church,1
spire,1
again,3
erect,1
life,4
aspect,1
once,4
run,3
structure,6
both,9
diffuse,1
enough,6
prevent,1
destroy,2
any,4
one,13
single,1
sweep,1
arrest,4
there,11
"50,000",1
since,3
outbreak,1
coherent,1
allow,3
existence,1
unified,4
resistance,4
