item,cnt
snooker,2
reynolds,5
scale,1
davis,6
peak,1
by,3
clive,1
everton,1
dean,1
whitewash,1
10-0,1
steve,1
in,14
the,53
final,3
of,10
rothmans,1
grand,1
prix,1
october,1
beat,2
he,8
9-7,1
to,20
reach,2
semi-final,2
everest,1
world,3
matchplay,1
championship,3
at,10
brentwood,2
centre,1
late,1
on,5
saturday,1
grimsby,1
left-hander,1
's,4
opponent,1
wednesday,1
will,1
be,14
jimmy,1
white,2
who,1
win,4
last,2
seven,1
frame,4
a,20
row,2
turn,1
5-2,1
deficit,1
into,2
9-5,1
over,1
doug,1
mountjoy,1
15th,1
ranking,1
start,1
season,2
have,3
improve,1
provisionally,1
eighth,1
gilt-edged,1
opportunity,1
stephen,1
hendry,2
so,1
far,1
man,1
with,10
four,2
first,1
prize,1
stormseal,1
uk,2
open,1
preston,1
but,5
miss,2
simple,1
pink,3
when,2
lead,2
22-0,1
deciding,1
and,12
do,2
not,2
another,1
shot,1
come,1
16-12,1
loser,1
go,2
through,2
patch,1
where,1
make,2
more,2
unforced,1
error,1
than,2
usual,1
there,2
certain,1
time,1
that,2
good,2
other,1
say,1
i,2
very,1
player,1
can,1
perfect,1
sweep,1
3-0,1
easy,1
blue,1
brink,1
4-0,1
next,2
two,3
black,1
afternoon,1
5-3,1
interval,1
it,2
6-3,1
90,1
break,1
after,3
52,1
minute,1
tactical,1
battling,1
pot,2
for,5
7-3,1
run,2
away,1
five,1
up,4
six,1
play,1
this,2
extraordinary,1
eight-frame,1
lose,2
streak,1
close,2
only,1
7-8,1
elementary,1
mistake,1
following,1
fail,2
yellow,1
roll,1
behind,1
red,1
range,1
along,1
top,1
cushion,1
preface,1
48,1
which,3
secure,1
most,1
notable,1
scalp,1
page,2
judo,1
stevens,7
justify,2
selection,2
edward,1
ferrie,1
british,1
national,1
crystal,1
palace,1
weekend,2
once,1
again,1
see,1
wolverhampton,2
dominate,1
proceeding,1
they,1
fighter,2
elvis,1
gordon,1
heavyweight,1
densign,1
middleweight,2
fitzroy,1
davies,1
light-middleweight,1
owen,1
pinnock,1
bantamweight,1
all,1
take,1
gold,2
medal,2
however,1
no,1
presence,1
category,1
generate,1
great,1
interest,1
light-heavyweight,1
follow,2
olympic,1
bronze,1
medalist,1
denis,1
stewart,2
decision,1
retire,1
from,3
competition,1
poor,1
performance,1
belgrade,1
month,1
ago,1
no.1,1
spot,1
grab,1
bitter,1
rival,1
veteran,1
nicholas,1
kokataylo,3
33-year-old,1
denton,1
manchester,2
favourite,1
strong,1
challenge,1
expect,1
newcomer,1
weight,2
ray,1
26,1
london,1
budokwai,1
reigning,1
commonwealth,2
champion,1
force,1
move,1
heavy,2
knee,1
injury,1
prolonged,1
viral,1
infection,1
superior,1
speed,1
technique,1
combine,1
superb,1
fighting,1
spirit,1
carry,1
an,1
all-action,1
affair,1
score,2
leg,1
throw,2
opening,1
second,1
almost,2
finish,1
bout,2
half,1
point,1
award,1
fight,1
way,1
back,1
contest,1
spectacular,1
sacrifice,1
arm,1
lock,1
much,1
tall,1
despite,1
clearly,1
enough,1
pre-event,1
game,1
