item,cnt
obituary,1
dr,1
jack,3
kahn,5
a,8
cure,1
for,2
job,2
one,1
of,11
the,12
luminary,1
child,5
psychiatry,4
have,1
leave,1
we,1
graduate,1
with,4
honour,1
at,2
university,2
leeds,1
in,9
1928,1
and,7
achieve,1
an,3
md,1
from,3
same,1
influential,1
over,1
thirty,1
year,1
move,1
into,1
that,4
field,1
excellent,1
springboard,1
general,1
practice,2
he,11
serve,1
distinction,1
section,1
royal,1
college,1
psychiatrist,1
be,10
founder,1
fellow,1
body,1
monument,1
clinical,1
model,1
guidance,1
service,1
then,1
borough,1
west,1
ham,1
to,5
involve,1
related,1
profession,1
as,2
closely,1
do,1
innovation,1
time,1
so,1
emphasis,1
on,1
preventive,1
aspect,1
phenomenon,1
try,1
clinician,1
absenteeism,1
school,2
's,2
study,1
subject,1
landmark,1
it,2
result,1
widely,1
read,1
book,2
unwillingly,1
father,1
rabbi,1
biblical,1
text,1
create,1
another,1
well,1
know,1
work,1
by,1
son,1
illness,1
loss,1
grief,1
integration,1
interest,1
development,2
lead,1
human,1
growth,1
which,1
third,1
edition,1
also,1
write,1
extensively,1
scientific,1
literature,1
marked,1
philosophical,1
leaning,1
erudite,1
conversationalist,1
often,1
historical,1
flavouring,1
feel,1
keenly,1
about,1
social,1
issue,1
national,1
international,1
all,1
give,1
himself,1
warmly,1
considerately,1
empathically,1
john,1
howells,1
harold,1
bear,1
march,1
2,1
1904,1
die,1
december,1
4,1
1989,1
