item,cnt
another,3
disturbing,1
chapter,1
in,176
the,642
history,2
of,290
dti,47
notebook,1
by,71
alex,1
brummer,1
there,23
will,22
be,331
those,8
who,30
portray,1
report,14
parliamentary,4
commissioner,3
for,84
administration,2
on,50
barlow,59
clowes,67
affair,12
as,58
a,189
triumph,2
british,6
system,6
financial,15
regulation,2
yes,1
course,2
they,67
say,53
clear,3
evidence,8
that,122
department,24
trade,18
and,173
industry,4
foul,1
up,19
badly,2
maladministration,7
ombudsman,14
like,7
to,244
call,3
it,126
but,55
what,12
really,1
important,5
argue,1
result,3
's,84
vigorous,1
admirably,1
speedy,1
deliberation,1
hapless,1
"18,000",3
investor,49
put,10
faith,2
imprimatur,1
fully,2
compensate,2
integrity,1
uk,10
investment,20
apparatus,1
have,156
preserve,1
moreover,2
if,13
little,6
consequence,1
now,8
new,12
regime,2
establish,1
service,11
act,8
1986,2
render,1
role,3
this,17
matter,6
redundant,1
such,7
muddled,1
thinking,2
partly,2
explain,2
complacency,1
corporate,3
consumer,1
minister,2
mr,42
john,8
redwood,1
accept,3
finding,6
without,8
prejudice,2
cool,1
response,2
almost,7
certainly,2
reflect,2
legal,10
caution,1
also,12
bland,1
regulatory,7
even,8
before,9
go,15
printer,1
sir,27
anthony,18
barrawclough,1
tell,9
most,13
senior,2
officer,1
intend,2
give,21
own,10
view,5
separate,2
document,2
responsibility,5
regulator,5
kind,1
self-righteous,1
behaviour,3
at,61
which,48
mrs,4
thatcher,1
government,23
excel,1
record,2
not,64
an,24
honourable,1
one,16
few,2
driver,1
buy,8
car,1
insurance,4
policy,2
from,38
dr,1
emil,1
savundra,1
fire,1
auto,1
&,7
marine,1
mid-1960,1
forget,3
culpability,1
then,9
board,7
nor,2
depositor,1
mid-1970,1
find,13
themselves,3
catch,1
hurricane,1
sweeping,1
throught,1
secondary,1
banking,2
after,14
collapse,7
gerald,1
caplan,1
london,8
county,1
security,6
suffice,1
supervising,1
authority,2
fringe,1
bank,7
more,18
recently,1
inconsistent,1
over,18
publication,1
into,18
city,7
scandal,1
raise,5
question,11
judgment,3
undue,2
political,2
influence,1
due,2
care,1
public,8
interest,8
tiny,1
rowland,1
may,16
become,5
bore,1
with,34
he,86
obsession,1
failure,2
publish,3
house,4
fraser,2
occasion,3
side,1
god,1
can,12
no,12
sense,1
refusal,1
ground,3
might,7
serious,3
fraud,2
office,5
inquiry,6
when,15
take,16
opposite,1
blue,1
arrow,1
while,4
busy,1
throw,1
rotten,1
egg,1
duplicity,1
disposal,1
rover,1
aerospace,1
would,37
nice,1
write,5
despite,1
these,3
lapse,1
mention,1
occasional,1
other,11
stakeholder,1
business,20
do,35
worry,2
because,8
safety,1
superstructure,1
build,2
since,4
current,3
structure,1
design,2
inspire,1
confidence,1
indeed,1
supervision,1
pass,1
seamlessly,1
intermediary,1
manager,4
broker,1
association,2
fimbra,6
guarantee,3
warning,4
sign,5
intermingled,1
fund,26
account,8
inconsistency,1
unearth,1
unwieldly,2
band,1
"8,200",1
member,6
organisation,3
distress,1
engage,1
internecine,1
warfare,1
general,1
provision,1
indemnity,1
dispute,1
see,8
lord,5
elton,3
off,5
field,2
systemic,1
problem,3
concerned,3
probity,1
continuously,1
debt,2
refuse,5
pay,9
bill,2
self-regulation,4
attempt,3
weed,1
out,15
next,3
consider,4
impressive,1
suspend,1
alleged,4
wrongdoing,1
tend,1
dark,1
night,4
generally,1
action,7
incontinence,1
