item,cnt
a,48
country,2
diary,1
northumberland,1
when,4
we,9
see,4
first,6
immigrant,1
golden-eye,4
bob,1
on,15
the,136
water,2
of,59
bolam,5
lake,3
in,27
early,2
month,1
each,2
year,5
always,3
take,1
it,21
as,9
sign,1
spring,1
black,1
and,50
white,2
appearance,1
male,2
can,7
be,68
distinguish,2
from,12
less,1
strikingly,1
marked,1
tufted,1
duck,4
by,9
lack,1
drooping,1
crest,2
an,7
ostentatious,1
patch,1
behind,1
bill,1
bucephala,1
clangula,1
sound,1
noisy,1
but,13
fact,1
silent,1
compare,1
with,11
mallard,1
wigeon,2
have,12
now,3
designate,1
park,1
warden,1
to,43
protect,1
i,4
often,1
fox,1
roe,1
deer,1
red,1
squirrel,1
conifer,2
plantation,1
there,2
surely,1
tribute,1
sensitive,1
management,1
david,2
noble-rollin,1
natural,1
history,1
society,1
northumbria,1
lead,1
party,2
last,1
week,1
mist,1
hang,1
over,3
huge,1
concourse,1
swim,1
preen,1
pick,2
out,9
two,1
amongst,1
teal,1
tell,1
that,10
swan,6
pattern,1
movement,1
currently,1
monitor,1
north-east,1
so,4
he,37
try,1
read,1
leg,1
band,1
through,1
glass,1
all,10
same,3
alder,1
tree,10
coal,1
tit,4
gold,2
marsh,2
willow,1
long-tailed,1
learn,1
whip-like,1
whistling,1
note,1
sighting,1
nuthatch,1
record,1
group,1
yellow,1
bar-winged,1
siskin,1
cause,1
flurry,1
excitement,1
time,2
such,2
large,2
flock,1
sight,1
at,14
whooper,2
molest,1
irresponsible,1
trigger-happy,1
here,2
they,20
visit,1
peace,1
wild,1
bird,3
great,3
beauty,1
think,1
increase,1
border,1
region,1
once,3
highly,1
regard,2
delicacy,1
christmas,14
table,1
ornithologist,1
give,10
christian,1
foundation,1
believe,1
mute,1
bring,1
britain,3
crusader,1
cyprus,1
1192,1
this,4
theory,1
contradict,1
following,1
discovery,1
bone,1
cambridgeshire,1
norfolk,1
suffolk,1
essex,1
veronica,1
heath,1
present,11
mind,1
gift,5
say,3
awful,1
lot,1
about,4
giver,2
hazardous,1
timely,1
warning,1
john,1
illman,1
you,10
blame,1
three,2
wise,2
man,7
start,3
not,5
for,15
nothing,4
however,3
call,1
know,2
absolutely,1
away,3
very,2
little,1
themselves,1
choice,1
would,4
get,1
lightly,1
today,1
psychologist,1
manger,1
tv,1
crew,1
evaluate,1
basis,1
offering,1
frankincense,1
myrrh,1
psychology,1
giveaway,1
reveal,1
more,6
than,4
recipient,2
expression,1
taste,1
emotion,1
wealth,1
power,1
social,1
awareness,1
aspiration,1
imagination,1
fashion,1
oh,1
yes,1
love,1
affection,1
well,1
sometimes,1
if,7
lucky,1
what,1
kind,1
present-giver,2
how,1
should,1
relative,1
bear,3
classify,1
12,2
type,2
one,5
day,1
plus,1
health,6
hazard,5
ranking,2
top,1
score,1
10,2
romantic,4
may,8
please,1
barbara,1
cartland,1
true,2
scorn,1
heart,2
shaped,1
chocolate,1
chanel,1
no.,1
5,1
sexy,2
underwear,2
other,3
fashionable,1
cliche,2
romance,1
spare,1
pursuit,1
surprise,1
mystery,2
threaten,1
both,1
life,3
wallet,1
witness,1
buyer,1
world,1
's,4
most,1
expensive,3
teddy,1
"£55,000",1
wife,3
message,1
safeguard,1
attack,1
prevent,1
make,6
fool,1
yourself,1
six,2
joker,5
also,3
decide,1
do,4
actually,1
fit,1
or,13
feel,3
malicious,1
spicy,1
chewing,1
gum,2
loud,1
mouth,1
cement,1
lip,1
together,1
typical,2
might,1
bomb,1
rather,1
hand-grenade,1
alarm,1
clock,1
go,4
off,3
throw,2
against,1
wall,1
stop,1
noise,1
confusion,1
wrong,1
way,3
into,2
face,1
partner,1
beware,1
hhr,11
seven,1
blackmailer,1
big,5
least,1
every,2
family,6
dying,1
aunt,1
hope,1
remember,1
she,3
will,1
hover,1
like,2
vulture,1
around,2
vulnerable,1
press,1
drink,1
fatten,1
food,3
dream,1
come,3
eight,3
macho,3
presence,1
story,1
bicep,1
drunken,1
kiss,3
any,1
woman,1
who,2
silly,1
enough,1
stray,1
within,1
reach,1
groping,1
generous,1
promise,1
night,1
local,1
another,3
fill,1
up,5
booze,1
direct,2
warm,1
room,1
then,1
pray,1
hard,2
diy,1
celebrate,1
talent,1
small,1
picture,1
artist,1
plant,3
gardener,1
book,2
author,1
obtain,1
discount,1
even,2
free,1
publisher,1
four,4
new,1
term,1
unfashionable,1
himself,3
still,1
evidence,1
processor,1
late,2
wisdom,1
toilet,1
training,1
breast,1
feed,1
spend,1
wonder,1
really,1
pig,1
peacemaker,1
excellent,1
aton,1
sin,1
put,1
risk,1
overstate,1
exquisite,1
set,1
english,4
porcelain,1
token,1
genuine,1
desire,1
interpret,1
attempt,1
embarrass,1
be-little,1
trigger,1
inevitable,1
festive,3
fall-out,1
usually,1
break,1
somewhere,1
between,1
queen,1
speech,1
cake,1
five,1
nine,3
enthusiast,1
bore,1
again,1
mission,1
expand,1
horizon,1
those,1
chance,1
convert,1
alleged,1
delight,1
fly,1
fishing,1
cathedral,1
war,1
game,2
whatever,1
confounded,1
passion,1
oxfam,1
shop,1
grateful,1
improver,2
kid,2
want,2
bicycle,1
beano,1
annual,1
computer,1
intellectual,1
nourishment,1
lavish,1
scale,1
age,1
typically,1
baffle,1
receive,1
complete,1
works,1
shakespeare,1
especially,1
recite,1
hamlet,1
pud,1
image,2
maker,2
opportunity,1
cultivate,1
perfection,1
right,1
dress,1
perfectly,1
match,1
bewitch,1
accessory,1
walk,1
afraid,1
spoiling,1
rest,1
duty,1
pants,1
sock,1
et,1
al,1
bonus,1
m&s,1
functional,1
never,1
invariably,1
butt,1
leave,1
clamour,1
husband,1
reformer,2
cosmetic,1
people,1
skin,1
trouble,1
watch,1
bad,1
keeper,1
personal,1
organiser,1
chaotic,1
convinced,1
answer,1
hand,1
sylvester,1
stallone,1
jack,1
nicholson,1
character,1
offer,1
likely,2
endanger,1
overnight,2
file,2
careful,1
goodbye,1
mistletoe-that,1
old,3
staple-is,1
die,2
malcolm,1
smith,1
explain,2
why,3
worship,1
druid,1
use,1
generation,1
guarantee,1
mistletoe,15
long,2
traditional,2
part,2
season,1
white-berried,1
twig,1
narrow,1
leathery,1
leaf,1
ever,1
buy,1
couple,1
tiny,1
sprig,2
£1,1
french,5
decline,2
home-grown,1
result,1
continuing,1
loss,1
yet,1
feature,1
countryside,2
apple,7
orchard,7
grow,1
branch,2
prefer,1
rugged,1
bark,2
poplar,2
lime,1
occasionally,1
hedgerow,1
hawthorn,1
detest,1
bread,1
butter,1
clearly,1
no,1
meal,1
ticket,1
1957,1
england,3
"26,000",1
hectare,2
dessert,1
fewer,1
"14,000",1
remain,1
many,2
these,1
survivor,1
