item,cnt
north,2
k,4
7,6
3,4
a,86
2,4
9,6
6,5
west,5
q,6
8,6
j,5
4,5
east,4
10,6
5,4
south,5
westnortheastsouth,1
no1dno1s,1
no2ntno4h,1
no4snono,1
no,1
even,3
if,5
you,3
do,3
not,11
agree,1
with,30
the,152
bidding,1
will,5
certainly,1
admire,1
play,16
lead,4
queen,1
of,72
club,4
and,64
declarer,4
win,2
in,67
dummy,5
discard,3
diamond,4
from,8
closed,2
hand,9
immediately,2
ace,2
another,2
heart,4
king,3
return,1
second,3
to,51
's,27
now,4
come,3
key,2
spade,2
when,3
jack,1
appear,1
ruff,5
she,3
be,80
complete,3
control,1
follow,1
by,15
leave,3
following,1
position,1
have,23
count,1
losing,1
on,17
which,6
winning,1
force,2
concede,1
last,4
two,5
trick,1
well-timed,1
produce,1
an,15
overtrick,1
number,1
actually,2
go,5
down,1
four,2
surprisingly,1
israeli,1
pair,1
collect,2
top,1
page,2
havel,23
young,2
playwright,1
late,3
1960s,1
writer,4
still,1
czechoslovakia,1
likely,1
gain,1
president,3
vaclav,1
lose,2
dramatist,1
it,24
seem,1
unlikely,3
one,7
striking,1
thing,1
about,9
he,51
commitment,2
drama,1
over,2
past,1
quarter-century,1
insistence,1
period,1
before,1
czech,1
revolution,1
that,28
first,4
foremost,1
i,19
occasion,1
october,1
present,2
brief,1
profile,1
as,16
preface,1
radio,2
presentation,1
redevelopment,2
course,1
edward,1
lucas,1
bbc,6
prague,1
correspondent,1
ask,2
directly,1
want,2
say,5
could,1
imagine,2
condition,1
arise,1
would,3
make,6
possible,1
stress,1
collective,1
nature,4
democratic,1
movement,1
can,5
forever,2
this,11
dual,1
role,2
amateur,1
politician,1
early,5
summer,1
similarly,1
tell,2
observer,2
mark,1
frankland,1
more,6
active,1
politics,1
enjoy,1
theatre,2
history,1
move,2
fast,1
these,4
day,1
but,11
what,6
persuade,1
we,6
hear,1
combine,1
total,1
social,1
freedom,3
individual,2
responsibility,1
extraordinary,2
ironic,1
detachment,1
both,3
essay,2
recently,2
issue,1
paperback,1
faber,1
under,4
title,2
live,1
truth,1
show,2
remarkable,2
gift,3
for,18
analyse,1
dilemma,4
dissident,5
repressive,2
society,2
participant,1
sceptical,1
sober,1
anti-utopian,1
understate,1
mind,1
own,3
word,1
confront,1
business,3
opposing,1
state,6
power,4
rueful,1
self-awareness,1
seat,1
central,1
european,1
irony,1
at,6
suspect,1
get,2
wrong,1
country,1
strength,1
like,3
memorandum,1
1965,1
pigeonhole,1
absurdist,1
along,1
beckett,1
ionesco,1
work,10
memorably,2
tv,2
see,7
monolithic,1
organisation,1
attempt,1
replace,1
existing,1
vernacular,1
synthetic,1
language,1
ptydepe,1
iron,1
out,3
ambiguity,1
imprecision,1
everyday,1
speech,1
where,5
true,1
absurdism,1
vera,1
blackwell,1
point,3
posit,1
meaningless,1
universe,1
aim,1
improvement,3
man,2
lot,1
through,1
institution,1
write,10
constantly,1
oppressive,1
communist,1
bureaucracy,1
recent,1
year,4
paradoxical,1
dissidence,1
itself,1
emotional,1
turbulence,1
authority,1
give,2
public,1
spokesman,1
fact,2
bad,1
feature,3
any,5
totalitarian,1
system,2
need,1
conform,2
other,6
people,1
expectation,2
explore,1
wry,1
comedy,1
vanek,3
audience,3
protest,1
private,1
view,1
mid-70s,1
good,4
they,11
capitalise,1
experience,1
brewery,2
trutnov,1
stack,1
empty,1
beer,2
barrel,1
lightly,1
disguised,1
version,2
summon,1
interview,1
lager-swilling,1
head,1
maltster,2
find,1
offer,2
simple,2
trade-off,1
comfortable,1
job,1
stock-checker,1
provide,1
incriminating,1
information,1
himself,3
then,2
pass,1
party,1
sting,1
lie,1
tail,1
bend,1
principle,1
accommodate,1
desperate,1
interrogator,1
wittily,1
kind,1
catch-22,1
situation,1
face,1
despotism,1
whether,4
cling,1
fiercely,1
moral,2
integrity,1
thereby,1
land,1
shit,1
or,5
perpetuate,1
corrupt,1
after,1
nearly,1
prison,1
characteristically,1
turn,2
permitted,1
weekly,1
letter,2
wife,1
into,4
philosophical,1
able,1
dramatise,1
mixture,1
recollected,1
pain,1
resilient,1
humour,1
largo,1
desolato,1
80s,1
difficulty,1
hero,1
immoral,1
protagonist,1
philosopher,1
catch,1
double,1
bind,1
offend,1
call,3
ontology,1
human,1
self,1
openly,1
provocative,1
paper,1
much,2
open,1
husak,1
1975,1
desire,1
seclusion,1
imperil,1
succession,1
visitor,1
fan,1
papermill,1
implore,1
become,2
figurehead,1
policman,1
sign,2
document,1
deny,1
authorship,1
original,1
article,1
sympathise,1
predicament,1
same,1
time,1
question,2
tantalisingly,1
unresolved,1
seek,2
oneself,1
without,3
raise,1
talent,2
begin,1
affect,1
nervous,1
strain,1
surveillance,1
perform,2
since,1
1969,1
fear,1
however,1
might,2
off,1
resolve,1
broadcast,1
dramatised,1
reading,1
rsc,1
february,1
slum,2
clearance,1
major,1
dense,1
multi-layered,1
allegory,1
root,1
firmly,1
reality,1
set,1
medieval,1
castle,1
historic,1
town,2
eastern,1
europe,1
supervise,1
functionary,1
sqeaking,1
shoe,1
emotionally-chaotic,1
project,3
director,1
group,1
architect,2
struggle,1
up,2
high-rise,1
building,2
scheme,1
destroy,1
ancient,1
character,1
incidentally,1
clear,1
away,1
realistic,1
level,1
universal,2
architectural,1
how,2
achieve,1
balance,1
between,1
conservation,1
civic,1
also,3
political,1
metaphor,1
whimsical,1
arbitrariness,1
autocracy,1
strict,1
supervision,1
grant,1
illusory,1
whiff,1
vintage,1
create,1
specific,1
tragic,1
comic,1
speculate,1
artist,1
displace,1
politican,1
moment,1
obviously,1
urgent,1
task,1
than,4
satisfied,1
illusion,1
michael,2
billington,1
t,1
all,3
nut,3
