item,cnt
letter,5
to,930
the,2319
editor,1
original,3
dish,12
sir,10
in,727
1813,1
thomas,4
bernard,1
publish,3
a,943
pamphlet,1
an,144
account,3
of,1022
supply,3
fish,6
for,410
manufacturing,1
poor,3
which,105
propose,2
ameliorate,1
poverty,1
among,10
work,47
people,45
london,24
by,240
increase,3
association,5
be,1396
duly,1
set,26
up,103
under,22
chairmanship,1
duke,2
kent,2
one,117
report,14
describe,8
success,12
industry,2
penzance,1
mention,6
that,268
shortage,4
corn,1
lead,25
it,357
replacement,4
increased,3
potato,2
planting,1
so,79
there,118
you,142
have,548
and,945
chip,4
west,18
country,22
invention,1
bill,6
exeter,1
devon,1
leading,4
article,3
horse,36
course,31
thoughtful,1
punter,4
with,302
cash,4
hand,13
at,259
least,10
two,77
opening,7
present,12
themselves,12
this,164
morning,20
grand,32
national,39
next,30
week,44
's,278
general,10
election,7
weigh,2
he,435
chance,28
will,153
naturally,1
examine,1
respective,2
odds,4
nothing,13
aintree,18
much,35
short,9
than,68
6,4
1,18
whereas,1
main,7
party,15
offer,24
on,285
narrow,2
term,10
also,49
minor,2
difference,6
take,80
gambler,1
sudden,2
fancy,5
mr,47
kinnock,5
plant,23
"£25,000",1
labour,16
not,205
we,233
recommend,5
feel,27
instantly,1
modest,1
market,5
shift,1
overnight,3
would,83
make,93
less,19
stir,4
large,17
pool,10
remain,13
major,13
between,21
say,118
cool,25
ground,55
or,90
twin,4
oak,6
prospect,9
messrs,1
ashdown,2
no,53
they,349
sense,10
put,25
money,15
other,53
hope,18
win,78
political,3
though,36
bet,4
more,102
heart,5
head,13
if,71
sort,13
man,38
who,137
wear,1
red,6
rose,1
buttonhole,1
every,16
day,59
loyalty,1
drive,15
regardless,1
yesterday,28
observe,1
jeffrey,1
archer,2
whose,17
idea,6
canvas,2
tory,6
revive,1
lost,2
art,3
burlesque,1
£10,2
majority,1
27,2
seat,5
illustrate,1
point,20
beautifully,1
publicly,1
signal,1
confidence,7
judge,1
stake,1
without,16
any,36
great,34
enrich,1
himself,7
risk,9
alarm,2
bank,7
manager,15
do,147
well,46
peterborough,3
run,40
out,85
cricket,5
european,8
championship,12
generate,2
as,212
heat,6
recent,8
world,51
cup,63
organiser,4
event,11
hold,11
here,22
july,5
ban,6
team,28
too,36
high,16
standard,7
guernsey,2
opposition,2
when,119
home,33
soil,9
1990,10
chris,7
bazalgette,2
cricketer,4
magazine,2
want,21
enter,3
again,27
but,203
invite,5
england,20
exclude,3
strictly,2
amateur,2
italy,4
malta,1
belgium,2
greece,1
pad,1
greek,2
absolutely,1
fearless,2
dive,1
all,105
over,65
place,31
rest,16
game,21
colourful,1
mediterranean,2
i,433
following,3
exchange,6
overhear,1
swear,2
reader,5
from,186
quainton,1
bucks,1
local,15
pub,2
charlie,2
funeral,1
monday,5
e,5
dead,3
then,43
churchyard,3
see,44
like,52
odd,5
carry,12
can,101
martyn,2
harris,2
1.15,1
call,22
aa,8
ask,14
borrow,1
patrolman,1
afternoon,13
1.45,1
door,16
sewn-in,1
trousers,4
crease,5
shiny,3
van,2
pack,3
tight,6
egg,8
tool,2
spare,1
mark,28
roke,1
clean,7
speed,8
may,42
just,54
because,19
press,9
slow,6
big,22
motoring,6
organisation,8
answer,7
always,16
try,15
get,69
car,47
go,79
lot,20
commission,6
tow-truck,1
name,18
very,35
nice,5
first,91
dreadlocked,1
rastaman,2
face,10
clapped-out,1
mini,2
clubman,1
fuel,6
leak,2
chuck,1
down,47
lighted,1
match,28
tell,12
only,87
joke,4
lots,3
old,32
banger,2
use,25
instead,12
basic,3
maintenance,1
second,41
call-out,3
flat,7
battery,4
prop,1
rusted,1
bonnet,1
iron,26
bar,4
jump-start,1
pair,6
wrist-thick,1
wire,1
away,11
far,27
turn,24
left,6
these,35
light,12
right,17
humour,3
show,24
dash-mounted,1
computer,4
peck,1
job,18
paper,1
roll,3
through,30
daily,6
routine,2
commone,1
thing,33
tyre,1
time,66
weekend,14
woman,19
shopper,1
she,89
key,7
lock,4
effect,2
entry,1
slim,1
jim,3
flexible,2
steel,1
ruler,1
own,24
mechanic,2
thief,3
shove,1
side,20
driver,10
glass,5
open,18
anything,10
jeep,1
jaguar,1
fiat,1
panda,1
finchley,1
lose,26
power,5
hill,11
accord,6
owner,11
frayed,1
clutch,1
cable,1
most,48
likely,13
before,30
pull,5
profoundly,1
impressed,3
find,46
three,42
scatty,2
lady,6
ns,1
mean,14
non-start,1
automatic,10
garage,2
