item,cnt
river,4
pollute,1
nearly,1
300,1
litre,1
of,131
diesel,1
oil,1
be,182
spill,1
into,10
a,89
tributary,1
the,273
tamar,1
in,74
plymouth,1
yesterday,3
after,6
vandal,1
release,3
fuel,2
from,23
tank,1
timber,7
yard,1
morning,3
sickness,4
good,11
for,46
mother,6
by,33
roger,1
highfield,1
science,2
editor,1
bout,1
nausea,1
and,95
vomit,2
that,44
accompany,1
first,5
month,2
pregnancy,2
may,8
news,1
accord,2
to,112
two,9
new,7
theory,2
on,23
cause,5
one,11
argue,1
help,5
avoid,3
expose,1
developing,1
child,4
toxin,4
other,7
it,81
side-effect,1
hormonal,1
power,2
struggle,1
between,2
foetus,2
peak,1
when,10
go,6
though,2
rapid,1
stage,2
development,4
limb,1
organ,1
make,6
highly,1
sensitive,3
ms,2
margie,1
profet,2
research,6
associate,2
at,18
university,2
california,1
believe,3
accompanying,1
aversion,1
certain,3
food,11
taste,1
smell,4
more,17
toxic,2
she,3
finding,1
about,7
publish,1
oxford,1
press,1
book,2
call,3
adapted,1
mind,4
natural,2
contain,1
most,7
instance,1
vegetable,1
use,10
they,50
fight,1
off,2
pest,1
bacterium,1
produce,8
meat,1
human,2
have,63
defence,2
against,2
these,8
say,21
embryo,1
small,7
dose,1
healthy,2
woman,3
could,11
tolerate,1
pregnant,1
note,4
during,3
early,1
's,25
sense,1
become,3
acute,1
linger,1
longer,2
stomach,1
brain,1
centre,2
trigger,1
also,4
protection,1
mechanism,1
dovetail,1
with,20
fact,2
three,2
time,10
likely,2
miscarry,1
if,8
do,13
not,22
feel,2
sick,1
an,15
observation,1
support,3
second,2
law,1
paperwork,1
force,2
some,13
people,3
stop,2
foster,3
parent,3
national,2
care,1
association,2
often,1
access,1
guarantee,1
under,2
court,1
order,3
commit,1
parental,1
responsibility,1
which,18
difficulty,1
miss,2
marion,1
lowe,1
director,1
relation,2
strain,1
over,6
day-to-day,1
decision,1
such,4
as,32
what,1
clothe,1
buy,2
example,1
partridge,6
take,7
flight,2
fallow,2
farm,7
land,8
david,1
brown,2
agriculture,2
correspondent,3
scientist,3
launch,1
investigation,1
fate,1
appear,4
harm,1
increasing,1
amount,1
set,4
aside,1
farmer,13
allow,2
lie,2
involved,1
set-aside,3
report,7
drop,1
breed,1
previously,1
enjoy,1
population,3
bird,2
grow,2
wheat,1
barley,1
puzzle,1
confound,1
expert,1
expect,1
game-bird,1
benefit,2
increased,2
supply,2
insect,1
spray,1
pesticide,1
protect,1
cereal,1
crop,4
now,5
game,3
conservancy,2
trust,3
fordingbridge,1
hampshire,1
appeal,1
involve,4
scheme,2
part,3
project,1
start,2
this,24
year,17
assess,1
impact,1
up,8
30,3
seek,1
initially,1
before,5
choose,1
can,11
subject,2
systematic,1
programme,3
will,13
fit,2
electronic,1
tracking,1
device,1
dr,4
simon,1
dowell,1
biologist,1
wild,2
gamebird,2
currently,1
enormous,1
pressure,2
unique,1
opportunity,1
improving,1
farmland,1
but,27
unfortunately,1
present,1
proposal,1
realise,2
full,1
potential,1
wildlife,4
he,34
add,3
wise,1
water,29
christine,1
mcgourty,1
technology,6
should,5
recycle,2
rainwater,1
alleviate,1
shortage,3
exploitation,1
we,24
always,2
assume,1
country,11
enough,2
last,5
or,11
four,1
show,5
case,2
neil,1
johnston,2
author,1
because,7
quality,6
price,3
relatively,1
low,2
wisely,1
might,1
restriction,1
impose,1
area,9
south,3
east,2
experience,1
bad,1
drought,1
century,4
meet,1
demand,1
high,3
relieve,1
permanent,1
industry,4
conserve,2
although,4
reduce,2
pollution,2
significant,3
contribution,1
problem,4
minimal,1
commitment,1
innovation,1
£9,1
million,1
annually,1
department,3
trade,1
budget,1
encourage,2
uptake,1
environmental,2
too,4
investment,2
need,4
clean,3
well,5
collaboration,1
company,6
instead,2
concentrate,1
treat,1
waste,2
fundamentally,1
process,1
reduced,1
despite,1
britain,9
than,5
european,2
dirty,1
man,5
europe,2
myth,1
create,2
inferiority,1
complex,1
among,1
supplier,1
discouraging,1
pentland,3
crown,3
chip,1
retailer,2
potato,2
variety,2
survive,4
increasingly,1
dry,1
weather,1
lose,1
status,1
priority,1
supermarket,1
turn,4
scottish-bred,1
',2
yield,2
20,3
per,6
cent,6
introduce,2
ago,5
bruise,1
easily,2
black,3
next,2
remove,1
recommended,1
list,2
institute,1
agricultural,2
botany,1
cambridge,1
account,2
only,7
commercial,1
market,4
still,2
popular,1
gardener,1
hardiness,1
resistance,1
disease,1
way,5
world,3
farming,6
auberon,1
waugh,1
many,3
far,3
surrender,1
common,4
bureaucracy,1
inspectorate,1
soon,1
establish,1
regulate,1
manure,1
deep-litter,1
hen,1
house,2
intensive,1
pig,2
culture,1
control,2
necessary,2
chicken,1
indescribable,1
affect,1
10,2
square,1
mile,1
countryside,4
around,3
doubt,2
whether,1
modern,2
any,2
useful,1
purpose,1
nowadays,2
everybody,1
diet,1
mostly,2
seem,5
animal,7
eat,4
whose,3
excrement,1
then,6
collect,2
assist,1
growth,1
sometimes,2
persuade,1
cow,3
cake,2
same,6
old,3
cat,1
chief,1
result,2
all,9
huge,1
mountain,1
refuse,1
give,2
third,2
socialist,1
eastern,1
teach,1
error,1
however,2
there,12
plan,1
wind,2
nothing,2
put,2
80-foot,1
mast,2
"1,500-acre",1
grouse,1
moor,3
generate,1
electricity,1
town,2
"6,000",1
receive,1
rent,1
"£15,000",1
relieved,1
work,5
provide,5
monster,1
underground,2
funguse,1
regular,1
mushroom,1
without,2
assistance,1
unsightly,2
those,3
unused,1
i,5
sure,1
simply,1
matter,1
get,5
accustomed,1
think,4
very,4
swoon,1
pleasure,1
sight,1
outdoors,1
mink,14
blame,2
michael,2
j.,1
woods,2
declining,1
vole,29
face,1
enemy,1
j,1
plop,1
fleeing,1
follow,2
underwater,1
smoke-screen,1
silt,1
once,4
familiar,1
indicator,2
presence,1
mammal,1
waterway,2
no,7
rob,4
strachan,6
who,4
recently,1
complete,1
field,4
survey,2
fund,2
vincent,1
site,2
where,5
find,5
1939,1
today,2
kenneth,1
grahame,1
confidently,1
leading,1
role,1
willow,2
almost,6
everyone,1
know,4
rodent,1
daily,2
acquaintance,1
even,2
recall,1
much,4
visit,1
sit,2
watch,4
every,1
day,2
size,1
rat,1
blunt,1
feature,1
ear,1
furry,1
tail,1
gingery,1
coat,1
entirely,1
herbivorous,1
excavate,1
maze,1
gallery,1
bank,4
pond,1
entrance,1
different,1
level,2
including,1
below,1
normal,1
waterline,1
emergency,1
flood,1
move,1
upwards,1
through,2
various,3
tunnel,2
until,3
extreme,1
condition,2
leave,3
refuge,1
resort,1
thick,1
cover,1
prefer,1
slow-moving,1
pool,1
marshy,1
deep,1
change,2
little,3
great,4
wetland,5
past,3
40,1
intensification,1
technique,1
diminish,2
number,4
remain,3
period,1
north,3
american,2
escape,1
fur,1
spread,2
nationwide,1
gordon,2
woodroffe,3
zoologist,1
study,4
york,1
consider,1
total,1
rogue,1
hold,1
out,5
quarter,1
certainly,2
extinction,1
actually,1
witness,1
death,1
group,2
wear,1
radio,1
collar,1
recount,1
opposite,1
narrow,1
stream,2
so,12
close,3
worried,1
would,6
hear,2
receiver,1
pulse,1
loudly,1
pounce,1
dive,1
safety,1
minute,1
grab,1
hit,1
johnny,1
birks,1
admit,1
reluctance,1
extremely,1
successful,1
marten,1
contribute,1
decline,2
niche,1
otherwise,2
occupy,1
ever,1
reach,1
