item,cnt
judge,7
order,1
appeal,11
into,4
explosive,2
case,12
by,21
terence,2
shaw,2
legal,4
correspondent,2
john,1
berry,6
54,1
who,3
be,45
release,1
on,11
parole,1
last,2
week,2
after,4
serve,1
three,3
and,28
a,39
half,1
year,3
of,46
six-year,1
sentence,2
for,13
make,3
device,1
to,42
have,21
new,3
hear,2
in,19
he,18
long-running,1
battle,1
clear,2
name,2
court,9
head,1
lord,4
lane,3
the,71
chief,1
justice,2
rule,2
yesterday,2
that,17
could,2
entertain,1
request,1
mr,6
baker,1
home,3
secretary,2
review,1
despite,2
it,8
1990,1
ruling,2
norfolk,2
businessman,2
ex-royal,1
marine,1
not,8
reopen,1
say,8
another,3
division,1
then,1
feel,1
powerless,1
intervene,1
ground,2
because,4
lords,3
restore,1
's,6
conviction,3
an,3
early,3
successful,1
difficulty,1
cause,1
failure,1
two,1
but,6
do,2
preclude,1
from,3
re-open,1
bramerton,1
originally,1
convict,1
at,10
chelmsford,1
crown,2
1983,1
electronic,1
timer,1
detonate,1
bomb,1
try,1
jointly,1
with,10
jeffrey,1
smith,1
eventually,1
retrial,1
quash,1
technicality,1
1984,1
later,1
house,2
restored,1
allow,3
flee,1
spain,1
while,1
bail,1
await,3
return,1
england,1
1989,1
resume,1
temple,2
law,10
turn,2
casino,2
jason,2
donovan,6
libel,11
damage,11
award,8
reinforce,1
need,3
reform,3
lawyer,2
"£200,000",1
will,5
see,1
many,4
as,7
illustration,1
urgent,1
one,3
strong,1
warning,1
ever,1
jury,7
about,2
excessive,2
pay-out,1
lead,1
renewed,1
demand,1
should,5
fix,2
amount,1
if,1
decide,1
defamation,1
prove,1
or,3
least,1
give,3
power,3
lay,3
down,2
minimum,2
maximum,1
limit,1
since,1
judgment,1
sonia,1
sutcliffe,1
when,3
"£600,000",1
wife,1
yorkshire,1
ripper,1
against,1
private,2
eye,1
reduce,1
consent,1
"£60,000",1
encourage,1
general,2
guidance,3
drake,1
use,1
this,1
full,1
sum,3
up,2
warn,1
juror,1
they,13
think,2
lots,1
nought,1
end,1
fashionable,1
urge,1
compare,3
any,2
mind,1
might,1
physical,1
injury,5
lifetime,1
able,1
more,1
specific,1
how,1
seek,2
harm,1
suffer,3
result,2
those,2
claim,2
personal,3
action,1
aggravated,1
serious,2
professional,1
reputation,4
considerable,1
distress,1
embarrassment,1
article,1
imply,1
guilty,1
gross,1
hypocrisy,1
deceit,1
deny,1
homosexual,2
tell,1
never,1
counsel,1
charles,1
gray,1
qc,2
suggest,1
time,2
break,1
acting,1
string,1
top,1
10,1
hit,1
pop,1
star,1
stint,1
australian,1
tv,1
soap,1
neighbour,1
there,1
accepted,1
tariff,1
case-to-case,1
basis,1
large,1
only,2
subject,1
limited,1
correct,2
expert,1
geoffrey,1
robertson,2
author,1
leading,1
textbook,1
media,3
verdict,1
huge,1
britain,2
free,2
speech,3
expensive,1
most,2
western,1
democracy,1
which,2
offer,1
good,1
balance,2
between,1
freedom,2
expression,2
right,2
package,1
guarantee,2
information,1
liberalise,1
contempt,1
protect,1
unjustifiable,1
invasion,1
privacy,1
key,1
would,2
introduction,1
bill,1
sort,1
enjoy,1
america,1
european,1
country,1
change,1
provide,1
fast,1
track,1
system,1
victim,1
falsehood,1
quickly,1
without,1
wait,1
long,1
go,1
gamble,1
where,2
heavy,1
word,1
publish,1
out,3
malice,1
luxury,1
life,1
jail,3
inmate,4
richard,1
savill,1
duvet,1
phonecard,1
hot,1
shower,1
video,1
film,1
greet,1
first,1
privately-run,1
prison,6
open,1
monday,1
wold,2
remand,4
centre,2
brough,1
north,1
humberside,1
far,1
remove,1
insanitary,1
condition,1
prevail,1
320,1
cell,4
14,1
hour,3
day,1
six,1
education,1
13,1
exercise,1
£32,1
million,1
156,1
single,1
72,1
shared,1
each,1
own,1
lavatory,1
washbasin,1
recreation,1
area,1
telephone,1
pool,1
table,2
nail,1
clipper,1
comb,1
toothpaste,1
toothbrush,1
razor,1
washbag,1
neatly,1
arrival,1
whom,1
carry,1
such,1
item,1
may,2
expect,1
custody,2
luxurious,1
some,1
thing,1
we,2
put,1
army,1
staff,4
member,1
during,1
press,1
tour,1
medical,1
block,1
24,1
bed,1
gym,1
equipment,1
envy,1
council,1
leisure,1
group,1
4,1
service,2
ltd,1
security,1
firm,1
select,1
office,1
manage,1
£5,1
million-a-year,1
contract,1
like,1
prisoner,2
customer,2
seem,1
little,1
odd,1
look,1
direct,1
consumer,1
explain,1
stephen,1
twinn,1
director,1
spend,1
23,1
public,1
sector,1
various,1
grade,1
governor,1
60,1
male,1
warder,1
officer,1
call,1
wear,3
dapper,1
outfit,1
black,1
blazer,1
grey,2
trousers,2
white,1
shirt,1
tie,1
woman,1
manager,1
choice,1
whether,1
skirt,1
badge,1
