item,cnt
tory,47
focus,2
on,223
credibility,1
of,776
kinnock,40
by,219
george,7
jones,5
political,33
editor,13
the,1767
conservative,30
seek,12
last,54
night,24
to,671
force,25
election,79
debate,12
back,20
mr,186
's,199
fitness,2
govern,3
and,549
economy,11
with,188
a,675
warning,8
that,215
labour,128
would,118
plunge,1
britain,26
from,99
recession,12
into,52
full-blown,1
slump,3
as,168
confidently,1
outline,2
content,1
it,212
first,28
queen,1
speech,2
including,8
commitment,3
introduce,8
summer,2
bill,10
establish,2
scottish,13
parliament,21
three,24
main,9
party,92
prepare,5
for,221
big,14
push,4
over,36
weekend,6
campaign,54
five,13
national,22
opinion,10
poll,26
in,598
tomorrow,1
newspaper,6
be,980
keenly,1
await,6
after,54
survey,6
london,25
show,20
lead,12
slip,2
couple,3
point,16
two,28
still,25
neck,2
hung,7
liberal,47
democrat,40
argue,7
term,3
possible,5
deal,10
base,10
proportional,10
representation,11
intensify,2
they,213
attack,11
suitability,1
high,23
office,16
impact,5
sterling,2
interest,17
rate,22
victory,8
broadcast,16
question,16
whether,8
electorate,3
could,47
trust,26
he,491
have,375
change,19
mind,6
nationalisation,2
europe,14
devolution,4
unilateral,2
nuclear,6
disarmament,4
this,76
theme,3
take,47
up,44
baker,7
home,33
secretary,16
chepstow,1
rally,5
sheffield,1
wednesday,4
time,41
real,11
neil,9
grinning,1
swagger,1
way,22
through,27
yell,1
fellow,3
socialist,5
mount,2
stage,4
say,197
statesman,4
no,44
boyo,2
alive,2
well,19
burst,1
forth,2
heseltine,4
environment,7
all,49
characteristic,1
modern,6
socialism,1
vast,1
arena,1
build,12
lose,11
money,8
tell,13
nottingham,1
rattle,1
failure,5
attract,1
support,26
own,18
policy,13
now,31
offer,9
bait,1
i,91
hear,4
pot,1
call,19
kettle,1
black,10
even,27
imagine,3
frying,1
pan,3
leap,2
fire,4
but,134
so,27
desperate,2
prepared,4
throw,5
whole,8
kitchen,1
sink,1
frantic,1
bid,2
power,22
day,31
polling,4
strategist,1
hope,9
which,91
best,1
place,10
create,7
sustainable,1
economic,8
recovery,7
major,41
claim,10
yesterday,46
under,26
suspect,3
we,58
come,30
out,46
can,34
not,146
statistically,1
prove,9
yet,12
end,13
year,56
might,4
able,9
look,15
do,77
today,10
bbc,9
radio,8
at,131
',17
daily,6
news,8
conference,9
mellor,2
treasury,5
chief,11
recall,2
sharp,2
fall,13
share,5
price,13
indicate,2
clear,14
ago,10
get,18
dire,1
what,45
happen,5
just,20
whiff,1
