item,cnt
letter,2
to,4
the,5
editor,1
gay,1
sex,1
be,8
subversive,1
sir,1
ian,1
mckellen,1
march,1
29,1
must,3
not,3
allow,1
get,1
away,1
with,1
he,1
blanket,1
assertion,1
that,2
equality,1
for,1
homosexual,2
have,2
establish,1
throughout,1
europe,2
one,1
distinguish,1
between,1
individual,3
and,3
practice,2
european,1
recognise,1
some,1
by,1
nature,1
as,1
they,2
respect,1
right,1
protect,1
but,1
let,1
we,1
lead,1
astray,1
of,1
homosexuality,1
anathema,1
all,1
christian,1
people,1
just,1
in,1
it,1
can,1
only,1
subvert,1
young,1
richard,1
t.,1
jones,1
southport,1
