item,cnt
twitchers,1
',3
delight,1
a,70
host,1
of,103
unusual,1
spring,1
migrant,1
bird,3
have,35
appear,1
in,43
the,147
north,2
east,1
hoopoe,1
be,102
find,5
near,2
bamburgh,1
northumberland,1
great,1
grey,2
shrike,1
at,13
whitburn,1
south,1
tyneside,1
and,52
an,6
osprey,1
nidderdale,1
yorkshire,1
addition,1
to,65
30,1
black,2
redstart,1
along,4
coast,3
scientist,6
click,2
over,5
way,4
save,3
dolphin,13
by,19
greg,1
neale,1
environment,1
correspondent,1
hundreds,1
thousands,1
could,3
from,10
death,7
thanks,1
pioneering,1
work,3
british,3
they,31
believe,4
cheap,1
practical,1
means,1
prevent,1
entangle,1
themselves,1
monofilament,1
drift,1
fishing,3
net,2
wall,1
responsible,2
for,26
kill,1
large,3
number,2
off,4
cornwall,1
this,13
year,5
but,9
hamper,1
lack,4
money,1
so,7
far,2
receive,1
nothing,1
government,1
little,3
ec,1
assistance,1
run,1
out,10
fund,1
donate,2
individual,1
industry,1
researcher,2
head,1
dr,9
margaret,1
klinowska,4
cambridge,1
biologist,1
david,2
goodson,4
expert,1
on,11
acoustic,1
engineering,1
loughborough,1
university,1
say,11
new,6
data,2
show,6
that,26
plastic,1
sound,3
reflector,5
attach,1
can,7
warn,1
hazard,1
publish,1
shortly,1
draw,1
experiment,3
including,3
observation,2
freddy,2
live,1
northumbrian,1
four,1
use,7
equipment,2
racal,1
analyse,1
recording,1
clicking,1
make,5
while,4
hunting,3
lead,3
conclude,1
sonar,5
emit,1
intense,1
broad-band,1
or,6
pulse,1
echo,2
signal,2
alert,1
possible,4
prey,1
range,2
up,1
80–90,1
metre,1
shallow,1
water,1
mr,3
who,3
become,4
interested,1
capacity,1
after,7
hear,1
one,4
swim,2
welsh,1
with,16
various,1
shape,1
most,2
promising,1
eliptical,1
about,8
3½in,1
long,3
theory,4
it,24
internal,1
air,1
pocket,1
will,2
bounce,1
back,2
's,14
regardless,1
direction,1
approach,2
last,2
autumn,1
team,1
put,2
into,8
practice,1
moray,2
firth,2
place,1
headline,1
barrier,3
which,8
suspend,1
two-metre,1
interval,1
movement,1
around,2
observe,2
electronic,1
monitor,2
activity,1
result,4
exceed,1
we,4
expectation,1
alter,2
behaviour,1
avoid,1
detect,1
although,3
necessary,1
cautious,1
finding,1
combination,1
device,1
some,5
modification,1
gear,1
might,1
reduce,2
only,6
naturalist,1
bellamy,1
help,2
secure,1
donation,2
co-operative,1
wholesale,1
society,1
delay,2
simply,1
through,3
funding,1
hope,2
raise,1
"£100,000",1
