item,cnt
the,31
maharishi,5
's,1
search,1
for,4
heaven,3
on,4
earth,3
pay,1
off,1
by,2
damian,1
thompson,1
religious,1
affair,1
correspondent,1
everyone,1
who,3
grow,2
up,2
in,10
sixties,2
have,5
hear,1
of,24
transcendental,4
meditation,4
and,6
it,9
founder,1
giggling,1
indian,2
guru,2
guide,1
beatles,2
through,1
they,5
flower,1
power,1
phase,1
britain,1
he,5
follower,2
be,14
well,1
know,1
ownership,1
mentmore,1
towers,1
palatial,1
former,1
home,2
earl,1
rosebery,1
but,4
take,2
extraordinary,1
campaign,1
natural,1
law,1
party,2
to,6
bring,1
sheer,1
size,1
wealth,1
movement,3
25,1
year,1
after,2
first,1
make,3
headline,2
not,2
a,10
motley,1
collection,1
ageing,1
hippy,1
an,2
arm,1
wealthy,1
complex,1
organisation,3
all,1
seem,1
simple,1
enough,1
mahesh,1
yogi,1
slickly-packaged,1
with,3
message,1
tailor,1
time,1
teach,2
that,2
state,1
mystical,1
ecstasy,1
could,1
achieve,1
effortlessly,1
without,1
recourse,1
psychedelic,1
drug,1
loosely,1
base,1
hindu,1
scripture,1
reject,1
belief,1
personal,1
god,1
favour,1
cosmic,1
consciousness,1
important,1
part,1
process,1
towards,1
self-realisation,1
programme,1
which,1
levitation,1
convincing,1
public,1
demonstration,1
this,1
however,1
rare,1
lose,1
interest,1
only,1
occasional,1
appearance,1
most,1
connect,1
large,1
sum,1
money,1
spend,1
fact,1
steadily,1
now,1
three,1
half,1
million,1
worldwide,1
clear,1
promise,1
literally,1
city,1
immortals,1
will,1
set,1
california-based,1
company,1
call,1
corporation,1
many,2
provide,1
low-cost,1
housing,1
third,1
world,1
there,1
also,1
plan,1
theme,1
park,1
next,1
disneyland,1
never,1
acquire,1
reputation,1
sinister,1
cult,2
doubt,1
sometimes,1
voice,1
about,1
dr,1
paul,1
booth,1
government-funded,1
information,1
service,1
inform,1
describe,1
as,1
nowhere,1
near,1
top,1
we,2
list,1
problem,1
course,1
cheap,1
do,1
deal,1
case,1
people,1
get,1
over,1
head,1
financially,1
rachel,1
storm,1
author,1
study,1
new,2
age,2
add,1
like,1
fail,1
put,1
newcomer,1
entirely,1
picture,1
