item,cnt
the,419
art,13
week,3
's,87
other,7
release,1
final,2
analysis,1
15,2
125,1
min,6
implausible,1
psychological,1
thriller,1
from,28
phil,1
joanou,1
star,8
richard,3
gere,1
as,62
a,163
smooth,1
psychiatrist,1
embroil,1
in,128
an,33
affair,1
with,55
sister,3
of,218
patient,2
uma,1
thurman,1
seem,6
to,137
have,71
undergo,1
severe,1
childhood,1
trauma,1
kim,1
basinger,1
be,245
married,2
handsome,1
greek,2
gangster,1
eric,1
roberts,2
and,192
run,3
amok,1
at,30
least,2
taste,4
alcohol,1
who,22
fooling,1
whom,1
why,2
series,1
increasingly,1
disconnect,1
twist,2
lead,4
via,1
murder,3
courtroom,3
madhouse,1
pseudo-hitchcockian,1
climax,1
atop,1
storm-lashed,1
lighthouse,1
still,10
if,14
you,10
ever,3
find,5
yourself,1
court,1
it,73
might,7
interesting,1
plead,2
pathological,1
intoxication,1
doctor,1
12,2
123,1
william,2
hurt,2
jack,3
arrogant,1
heart,6
surgeon,1
operating,1
table,2
turn,2
when,15
he,94
contract,2
throat,1
cancer,1
compassion,1
not,26
strong,2
suit,1
advise,1
woman,4
worry,2
about,18
scar,1
tell,5
she,30
husband,2
that,53
look,5
like,17
playboy,1
centrefold,1
staple-mark,1
prove,2
despite,4
fine,4
play,10
christine,1
lahti,1
wife,5
conversion,1
caring,1
attitude,1
shade,1
pat,1
come,8
through,6
friendship,1
june,2
elizabeth,3
perkins,1
attractive,1
young,4
die,3
brain,1
tumour,1
mortifying,1
experience,3
hospital,1
bureaucracy,1
side,2
counter,1
here,5
honourable,1
attempt,4
deal,3
serious,7
theme,2
though,3
base,6
on,37
true,3
story,11
leave,2
lingering,1
suspicion,1
life,7
quite,5
so,14
neat,1
meet,5
feebles,1
18,1
96,1
psst,1
wan,1
na,1
see,5
dirty,1
movie,6
muppet,1
look-alike,1
take,8
drug,1
aid,2
make,10
blue,2
no,8
then,5
do,17
feeble,1
all,18
cost,1
they,41
gross,2
offensive,1
even,5
funny,1
tragedy,3
rainforest,2
field,2
lord,4
plaza,1
mgm,1
trocadero,1
186,1
salmonberries,1
metro,1
94,1
among,3
forthcoming,2
burst,1
us-made,1
film,16
centre,2
human,2
ecological,1
amazonian,1
hector,1
babenco,3
pack,1
spectacularly,1
shoot,2
amazonia,2
under,6
most,7
arduous,1
physical,1
condition,3
long,5
beautiful,1
serious-minded,1
profoundly,1
sad,2
which,22
full,2
justice,2
complex,1
force,2
work,10
hidden,1
world,8
amazon,1
indian,6
also,8
bear,4
hallmark,1
long-cherished,1
project,2
producer,2
saul,1
zaentz,1
wait,3
20,1
year,12
obtain,2
right,6
peter,12
matthiessen,1
novel,2
argentine-born,1
resident,1
brazil,1
show,7
enduring,1
preoccupation,1
fate,1
powerless,1
or,17
politically,1
marginalised,1
people,7
such,5
pixote,1
kiss,4
spider,1
jointly,1
script,2
by,32
jean-claude,1
carriere,1
explore,1
bitter,3
consequence,1
contact,1
between,3
white,4
civilisation,1
niaruna,1
pursue,2
ancestral,1
way,6
forest,3
bleak,2
conclusion,1
little,7
difference,2
whether,2
intruding,1
well-,1
ill-intentioned,1
result,3
for,47
disease,1
destruction,1
two,4
american,9
soldier,1
fortune,1
wolfie,1
tom,2
half-cheyenne,1
moon,2
berenger,1
arrive,2
remote,1
river,1
outpost,1
paper,1
impound,1
local,3
police,1
chief,2
persuade,2
bomb,1
niarunas,1
however,6
change,2
place,3
later,4
after,6
night,6
spend,2
drink,1
hallucinatory,1
ayahuasca,1
parachute,1
alone,1
strip,1
off,6
clothes,1
accept,2
meanwhile,1
protestant,1
evangelist,1
inflexible,1
leslie,1
huben,1
john,9
lithgow,1
andy,1
daryl,1
hannah,1
plan,2
revive,3
mission,1
abandon,1
catholic,1
rival,1
martin,1
quarrier,1
aidan,1
quinn,1
sympathetic,1
culture,2
unhappy,1
hazel,1
kathy,1
bates,1
loathe,1
everything,3
privation,1
danger,1
slowly,1
expose,1
weakness,1
misery,1
bad,3
faith,1
presence,3
become,10
literally,1
death,4
this,20
those,4
search,2
easy,1
entertainment,3
simple,3
disposition,1
good,5
evil,1
meandering,1
length,1
sacrifice,2
narrative,1
pace,1
favour,2
character,7
development,1
yet,5
time,6
draw,3
we,21
into,7
timelessness,1
give,3
unfolding,1
ironic,2
measure,1
percy,1
adlon,1
salmonberry,1
quirky,1
foray,1
territory,1
exile,1
homelessness,1
set,11
alaska,2
canadian,1
folk-singer,1
k.,2
d.,2
lang,3
kotz,1
orphaned,1
eskimo,1
ambiguous,1
sexual,2
identity,1
brooding,1
potential,1
violence,2
latch,1
roswitha,2
rosel,1
zech,1
middle-aged,1
german,1
emigree,1
librarian,1
hang,1
memory,2
lost,4
happiness,1
jar,1
preserved,1
berry,1
keep,1
bedroom,1
berlin,1
together,2
past,3
exploration,1
power,1
affection,1
transcend,1
boundary,1
age,1
background,1
orientation,1
mood,1
wintry,1
intimacy,1
enhance,1
evocative,1
track,2
barefoot,1
journey,1
slow,1
one,20
never,5
more,11
neverland,7
hugo,2
davenport,2
hook,9
steven,3
spielberg,7
betrayal,1
j.,2
m.,2
barrie,4
classic,1
word,5
hollywood,8
slang,1
distinctive,1
plot,3
set-up,1
otherwise,1
familiar,2
generic,1
design,2
fishing,2
lure,3
catch,2
audience,3
eye,1
yield,1
rich,1
haul,1
box-office,2
just,12
effective,1
may,5
fabricate,1
cheap,1
shiny,2
metal,2
generally,2
possible,2
summarise,1
commercial,1
sentence,1
what,13
