item,cnt
sex,3
education,3
for,12
priest,7
urge,3
by,7
pope,5
bruce,1
johnston,1
in,14
rome,1
the,42
have,4
tell,1
roman,2
catholic,2
they,3
should,4
receive,1
to,19
understand,3
own,1
sexual,2
and,19
confession,1
of,14
flock,1
he,7
advice,1
be,21
contain,2
a,15
220-page,1
apostolic,1
exhortation,1
on,3
proper,1
formation,1
clergy,2
document,4
say,9
give,2
properly-informed,1
prevent,1
love,4
chastity,2
displace,1
temptation,2
flesh,1
warning,1
that,4
even,1
when,1
charisma,2
celibacy,1
authentic,1
proven,1
it,9
still,1
leave,1
intact,1
inclination,1
towards,1
affection,1
pulsation,1
instinct,1
good,1
way,3
cope,1
with,4
such,1
an,1
enemy,1
after,3
refer,1
feminine,1
there,2
many,2
other,2
pitfall,1
await,1
unsuspecting,1
unprepared,1
humble,1
man,2
who,4
refuse,1
submit,1
tyranny,1
this,2
contemporary,1
world,1
which,2
put,1
all,1
faith,1
money,1
material,1
security,1
hence,1
priesthood,1
must,5
exhibit,1
preferential,1
poor,2
compassionate,1
sinner,1
word,2
those,1
spirit,1
guideline,1
example,1
not,3
arrogant,1
or,1
quarrelsome,1
but,2
rather,1
friendly,1
sincere,1
heart,2
prudent,1
discreet,1
generous,1
available,1
service,1
offer,1
help,1
personal,1
genuine,1
brotherly,1
always,1
ready,1
pardon,1
console,1
also,2
celibate,1
chaste,1
god,3
belong,1
make,3
one,3
think,1
whose,1
know,1
no,1
division,1
impossible,1
notice,1
how,1
society,3
most,1
part,1
human,1
sexuality,1
banal,1
since,1
interpret,1
reduced,1
impoverished,1
connect,1
only,2
body,1
egoistic,1
pleasure,1
student,1
seminary,2
teach,1
about,1
ordained,1
specially,1
educate,1
arm,1
themselves,1
more,1
than,1
supernatural,1
means,1
against,1
possible,1
homosexual,3
prayer,3
book,8
go,2
sale,1
damian,1
thompson,1
religious,2
affair,1
correspondent,1
abandon,1
britain,1
's,5
old,1
publisher,3
pressure,1
from,2
archbishop,2
canterbury,1
buy,1
hamish,2
hamilton,2
dare,1
speak,1
name,1
dr,3
elizabeth,1
stuart,1
lesbian,1
will,1
publish,2
autumn,2
plan,2
major,1
publicity,1
campaign,1
include,1
liturgy,2
come,2
out,3
last,1
week,1
promotion,1
christian,1
knowledge,1
spck,3
drop,1
bring,1
carey,2
hint,1
would,4
resign,1
as,2
president,1
if,1
publication,1
ahead,1
spokeswoman,1
oct,1
12,1
leading,1
title,1
we,1
can,1
see,1
big,1
market,1
she,1
text,1
change,1
though,1
probably,1
new,1
preface,1
lambeth,1
palace,1
decline,1
comment,1
view,1
clear,1
letter,2
spokesman,1
juxtaposition,1
aid,1
sufferer,1
might,1
foster,1
myth,1
hiv,1
problem,1
community,1
several,1
author,1
withdraw,1
list,1
protest,1
at,1
cancellation,1
