item,cnt
meditation,1
weep,2
for,6
the,63
world,4
by,5
bishop,1
george,1
appleton,1
tomorrow,1
day,1
of,24
london,1
marathon,1
christian,1
will,3
think,1
also,1
another,1
crowded,1
journey,2
into,2
capital,1
city,5
last,3
time,1
that,16
jesus,5
go,2
up,1
to,22
jerusalem,3
with,6
pilgrim,1
from,9
galilee,1
take,4
part,1
in,20
passover,2
festival,1
which,4
commemorate,1
escape,1
they,6
ancestor,1
slavery,1
build,1
pyramid,1
egypt,1
it,11
seem,5
himself,1
organise,1
this,3
borrowing,1
a,19
donkey,2
and,12
foal,2
challenging,1
protest,1
against,2
what,3
be,34
on,5
temple,2
court,1
ride,2
humble,1
domestic,1
animal,1
rather,1
than,3
horse,1
symbol,1
importance,1
power,1
meaning,1
make,1
even,3
more,4
obvious,1
little,1
trot,1
happily,1
beside,1
mother,1
preceding,1
12,3
apostle,1
signify,1
tribe,1
approach,1
scriptural,1
shout,1
evidently,1
attract,1
attention,3
crowd,1
already,2
as,9
well,2
disapproval,1
religious,1
leader,1
nation,3
whose,1
critical,1
remark,1
retort,1
if,3
these,3
should,5
silent,1
huge,1
stone,1
wall,1
would,3
cry,1
out,3
route,1
not,6
short,2
way,2
bethany,1
but,6
over,1
shoulder,1
mount,1
olive,1
when,2
reach,1
first,1
sight,1
record,1
exclaim,1
o,1
how,1
often,1
i,4
have,8
gather,2
thou,1
child,4
hen,1
she,2
chick,1
under,3
wing,1
you,4
he,4
risen,1
still,1
grieve,1
all,1
tragedy,1
injustice,1
selfish,1
motivation,1
cardinal,1
basil,1
hume,1
untiring,1
reminder,1
million,5
five,1
die,1
every,5
year,3
hunger,1
disease,2
we,3
tell,2
global,1
military,1
expenditure,1
amount,1
"£235,000",1
twice,1
much,3
spend,2
health,2
half,1
again,1
education,5
one,4
dismayed,1
learn,1
"3,000",1
do,2
get,2
pure,1
drinking,1
water,1
so,1
too,1
weak,2
undertake,1
work,1
necessary,1
grow,1
food,1
shattering,1
figure,1
700,1
adult,1
can,7
read,1
or,9
write,1
250,1
14,1
attend,1
school,1
remedy,1
distressing,1
condition,1
uno,1
calculate,1
country,2
rich,1
poor,3
give,3
0.7,1
per,1
cent,1
gross,1
national,1
product,1
poverty,1
could,1
banish,1
generation,1
live,3
20,2
dominant,1
religion,1
buddhism,1
thank,1
god,1
buddha,1
's,5
inspiration,1
now,1
may,2
living,2
being,1
young,1
old,1
strong,1
near,1
far,1
know,1
unknown,1
depart,1
yet,1
unborn,1
thing,2
full,1
bliss,1
keep,1
move,1
auberon,1
waugh,1
despatch,1
rome,1
thursday,1
newspaper,1
pope,3
urge,1
sex,4
priest,4
only,2
hope,1
message,2
garble,1
transmission,1
possibly,1
translation,1
italian,1
difficult,1
language,1
many,2
prepared,1
believe,2
apparently,1
contain,1
220-page,1
apostolic,1
exhortation,1
clergy,3
most,2
uncontentious,1
must,1
ascetic,1
chaste,1
celibate,2
keen,1
benevolent,1
interest,1
sinner,1
who,2
spirit,1
really,1
good,1
idea,2
student,1
teach,2
about,1
seminary,1
properly,1
inform,1
sexual,2
prevent,1
love,1
chastity,1
displace,1
temptation,2
flesh,1
see,2
no,2
reason,1
why,1
effect,1
theory,1
specially,1
educate,1
arm,1
themselves,1
supernatural,1
means,1
possible,1
mean,1
doctor,1
post-freudian,1
age,1
nothing,1
harm,1
come,1
look,1
at,2
united,1
states,1
where,1
very,2
seriously,1
everything,1
wrong,1
appalling,1
result,1
argue,1
american,2
always,1
intelligent,1
easy,1
catastrophically,1
span,1
beginning,1
sad,1
muddle,1
england,1
publication,1
homosexual,1
prayer,2
book,1
instruction,1
coming,1
liturgy,1
next,1
door,1
those,1
suffer,1
feel,1
draw,1
instead,1
new,1
call,1
buzzboard,2
motorised,1
two-wheel,1
scooter,1
driver,1
travel,1
upright,1
dignified,1
speed,1
mph,1
there,1
question,1
indulge,1
impropriety,1
while,1
drive,1
an,1
enthusiast,1
point,1
real,1
attraction,1
fun,1
permanent,1
smile,1
face,1
exactly,1
need,1
