item,cnt
struggling,1
dentist,8
pull,2
more,19
tooth,7
by,21
david,1
fletcher,1
health,13
service,7
correspondent,1
be,96
out,7
patient,4
',2
unnecessarily,1
as,12
they,37
struggle,1
to,88
maintain,2
living,1
standard,4
under,2
a,51
new,5
government,5
contract,5
survey,2
show,3
yesterday,2
two,6
of,52
three,1
say,15
have,39
extract,4
that,27
might,3
fill,1
before,3
the,141
introduce,1
than,6
half,1
pay,1
last,4
year,11
not,25
increase,2
or,7
even,6
fall,1
866,1
in,30
dental,3
journal,2
probe,2
when,7
ask,2
whether,2
refer,1
for,25
extraction,3
any,2
which,11
do,21
introduction,1
1990,1
61,1
per,2
cent,2
while,4
nearly,2
37,1
mr,6
jeremy,1
cowan,1
editor,1
's,13
practical,1
effect,1
reduce,3
preventive,2
dentistry,1
favour,1
conclusion,1
challenge,2
joe,1
rich,2
chairman,1
british,1
association,1
general,4
committee,1
who,8
it,30
probably,1
true,2
because,4
see,3
no,7
financial,1
incentive,1
he,25
fee,2
£9,1
but,19
filling,1
could,6
almost,2
anything,1
depend,1
on,17
work,5
need,4
many,1
concerned,1
enough,2
money,3
make,7
available,2
implement,1
and,49
approach,1
mrs,11
bottomley,9
secretary,5
arrange,1
meeting,1
misconduct,2
case,3
gp,1
appeal,2
dr,2
robert,1
jones,4
essex,1
practitioner,1
suspend,1
eight,1
month,4
serious,2
professional,1
against,2
conviction,1
coggeshall,1
find,2
guilty,1
medical,2
council,1
hear,1
fail,2
detect,1
appendicitis,1
prescribe,1
instead,1
indigestion,1
ulcer,1
tablet,1
nhs,9
sale,2
virginia,2
talk,1
george,2
she,43
first,6
interview,2
since,3
join,1
cabinet,4
set,2
herself,2
an,6
ambitious,1
target,2
take,2
politics,1
national,3
desire,1
provide,2
period,1
stability,1
one,11
million,1
people,6
employ,1
couple,11
with,15
fierce,1
determination,1
momentum,1
reform,3
overwhelming,1
majority,1
hospital,2
become,3
self-governing,2
trust,3
mid-1990s,1
labour,1
seek,1
turn,2
election,4
into,2
referendum,1
voter,1
mandate,1
reverse,1
change,5
convinced,1
tory,2
victory,1
opportunity,1
entrench,1
give,4
doctor,2
nurse,1
manager,1
confidence,1
full,2
appoint,1
result,2
major,4
unequivocal,1
commitment,3
finally,1
nail,1
lie,2
about,11
privatisation,1
care,7
profit,1
will,12
continue,1
founding,1
principle,1
all,7
free,1
at,21
point,1
delivery,1
recall,1
promise,1
prime,2
minister,2
