item,cnt
family,30
burgle,5
yet,10
again,23
a,1265
gang,7
of,1524
professional,5
thief,6
who,203
stake,2
out,83
house,41
in,1048
bentworth,4
last,92
week,70
get,49
away,28
with,417
"£20,000",2
caravan,14
now,68
the,3666
angry,1
owner,5
whose,19
home,68
have,672
be,1990
four,60
time,95
this,217
year,182
offer,25
£500,2
reward,7
for,610
information,26
twenty-three,1
year-old,1
allen,9
taylor,3
sick,2
and,1657
tired,3
continuing,2
attack,8
on,485
he,512
parent,19
',55
appeal,23
help,47
late,24
raid,2
at,467
ashley,1
road,75
happen,15
between,32
6,5
p.m.,16
7.15,1
friday,24
evening,31
it,334
believe,14
that,315
watch,8
property,2
from,296
nearby,7
field,23
two,104
day,65
before,41
they,509
strike,10
sensor,1
light,22
set,30
up,103
outside,9
smash,2
swift,2
challenger,2
490,1
park,42
driveway,1
behind,17
another,34
vehicle,11
but,203
undeterred,1
make,97
move,35
under,37
cover,11
darkness,2
soon,16
after,83
member,60
leave,29
force,12
way,50
onto,2
adjoining,1
land,21
cut,6
through,34
chain-link,1
fencing,1
large,30
wooden,5
post,18
cement,1
into,90
ground,34
gap,3
fence,3
manhandle,1
18-foot,1
begin,23
push,5
across,6
towards,15
when,109
villain,1
unable,8
to,1348
small,23
incline,1
hitch,1
stolen,2
wheel-spun,1
once,10
dump,3
one,97
use,68
get-away,1
cream,3
coloured,1
tow,2
daring,2
execute,1
minute,39
accord,7
mr.,105
i,174
mother,9
take,128
little,17
brother,13
tennis,9
winchester,23
say,162
20-year-old,1
sister,4
alone,6
she,160
hear,28
three,43
dog,12
bark,1
go,85
see,57
what,42
phone,5
ring,7
only,60
all,127
short,22
while,40
later,21
arrive,10
discover,3
immediately,3
car,47
business,33
low,14
wield,1
off,40
pursuit,2
drive,32
then,35
follow,27
alton,167
could,43
find,57
no,57
sign,8
stop,18
policeman,3
high,37
street,26
radioe,1
give,101
meantime,1
dad,1
spot,9
man,40
hang,1
around,17
ditched,1
just,41
speed,13
certain,10
somebody,2
must,25
some,96
point,48
narrow,3
lane,23
any,56
approaching,1
traffic,19
would,99
travel,10
same,19
direction,2
hold,51
if,47
no-one,1
along,16
main,18
area,67
may,56
store,8
somewhere,4
vicinity,1
anyone,15
or,89
know,35
whereabouts,1
contact,13
lead,57
these,40
people,95
will,224
money,23
however,23
also,82
keen,6
resident,32
suffer,10
hand,19
since,25
start,51
something,17
you,73
associate,3
inner-city,1
about,63
can,75
work,95
0256,1
389000,1
we,159
motoring,3
madness,1
call,21
action,12
motorist,4
put,41
life,37
danger,7
holybourne,7
worried,1
an,207
accident,6
wait,14
fear,10
which,163
focus,10
stretch,7
old,27
london,20
improvement,8
villager,2
especially,11
concerned,4
safety,17
child,52
youngster,5
play,76
triangle,10
grass,2
underneath,2
bypass,11
despite,9
continued,1
campaigning,1
playground,3
seem,25
hit,10
brick,3
wall,3
still,29
nowhere,1
else,3
herald,13
tell,25
regularly,7
serve,11
bus,7
village,35
a31,3
bridge,1
place,60
risk,8
pedestrian,3
down,28
step,9
hide,4
by,358
tree,16
shrub,3
either,9
walk,12
cross,22
over,90
pavement,2
anxious,1
jane,11
brooks,5
as,278
centre,53
forget,6
restriction,4
apply,3
many,49
increase,12
so,53
left,13
fork,1
cuckoo,1
's,354
corner,21
pick,7
own,38
farm,16
often,13
do,120
50mph,1
mrs,1
almost,12
run,63
recently,22
lucky,3
not,166
hurt,1
driver,33
considering,4
distance,9
skid,1
strength,7
brake,2
mrs.,69
add,21
shop,16
open,53
seven,12
attract,8
steady,3
flow,1
greatly,3
summer,14
fruit,2
season,41
continue,25
perhaps,16
re-routeing,1
confusion,2
designation,1
lamppost,1
marking,1
maintenance,6
highway,3
control,15
hope,29
proposal,3
traffic-calming,1
ramp,1
similar,8
device,1
even,19
remind,4
limit,5
letter,20
voice,7
suggestion,7
send,10
east,41
hampshire,80
council,108
early,33
month,22
matter,14
discuss,6
refer,5
working,2
party,23
investigation,3
meet,20
beginning,6
april,41
talking,1
politics,3
prospective,2
parliamentary,6
candidate,21
constituency,18
share,19
platform,1
st.,14
laurence,2
church,38
hall,25
wednesday,12
meeting,49
8.15,1
organise,15
district,41
ask,26
view,17
variety,7
social,26
political,11
issue,10
including,23
homelessness,2
poverty,1
collapse,3
nhs,9
care,42
elderly,6
other,71
topic,4
level,16
aid,9
third,35
world,26
environmental,11
arm,2
trade,12
welcome,25
written,2
question,18
chairman,50
local,59
rev.,9
ian,11
bowley,2
14,5
princess,6
page,4
3,12
report,35
picture,8
election,18
line-up,2
rotaract,2
challenge,9
rotary,3
club,87
game,38
skittle,2
raise,23
fund,14
barnardos,1
century,13
maker,1
aim,12
knock,4
100,8
feat,1
achieve,7
first,98
host,8
spare,6
jolly,1
farmer,2
blacknest,1
president,8
john,33
butterfield,1
richard,15
wyeth,1
company,30
fine,13
river,11
pollution,3
poisonous,2
cocktail,1
chemical,2
wey,6
kill,3
fish,1
responsible,6
laleham,4
healthcare,4
plc,3
"£2,000",3
town,36
magistrate,11
court,31
how,24
turn,19
milky,1
white,28
colour,10
contaminate,1
toxic,2
residue,2
shampoo,1
moisturiser,1
hair,3
lightener,1
product,4
launch,7
national,31
authority,15
tip-off,1
public,26
officer,12
visit,19
mill,2
industrial,2
estate,1
carry,18
cleaning,1
operation,7
plead,7
guilty,8
charge,21
pollute,1
september,9
19th,3
employee,5
hose,1
used,3
drum,1
pressure,11
jet,1
defined,1
washing,3
surrounding,2
drain,4
design,10
effluent,1
foul,1
sewer,1
system,20
become,32
block,7
instead,4
waste,2
overflow,1
surface,7
water,22
pallet,1
nra,1
outlet,1
prevent,8
far,39
site,15
contractor,2
clean,5
defend,12
solicitor,5
bob,10
booker,2
grating,1
surround,2
clear,15
there,93
should,47
problem,34
realise,6
emergency,5
offending,1
fit,3
plug,1
top,21
foot,4
build,15
addition,5
order,15
pay,24
£250,4
prosecution,1
cost,22
chapter,2
general,27
here,11
lasting,1
city,11
fitting,1
word,8
mark,18
end,53
era,3
hospital,40
history,11
institution,6
robert,11
gussman,3
more,101
than,67
speak,15
during,42
special,20
service,72
tuesday,21
thanks,9
bless,2
hallmark,1
quality,9
chaplain,3
best,14
keep,31
secret,2
half,51
ago,22
whether,7
nor,1
worth,7
plan,54
building,20
patient,11
elsewhere,1
uncertainty,1
usual,6
staff,25
crack,2
effort,21
provide,34
atmosphere,2
peace,3
calm,1
hard,15
scene,9
happening,1
vicar,4
transfer,2
8th,4
look,45
forward,16
bright,3
fresh,5
new,128
surroundings,3
up-to-date,2
equipment,13
particular,6
blessing,1
love,14
too,27
reflect,4
past,22
recall,3
sense,8
tremendous,6
commitment,7
feel,17
remember,9
maternity,1
unit,5
long,33
close,29
ward,8
characteristic,1
inwood,1
name,13
alive,4
liken,2
five,29
star,14
hotel,6
where,30
cause,15
grateful,4
gp,7
conveniently,2
health,14
froyle,5
kingsley,7
selborne,6
spend,13
latter,3
comfort,2
warmth,2
wood,7
plaster,2
talk,14
community,38
nurse,2
doctor,10
auxiliary,1
domestic,3
team,75
voluntary,3
support,26
come,55
live,39
link,7
wide,15
urge,5
future,16
spirit,1
treloar,9
good,93
nursing,2
confidence,3
cherish,1
lie,8
ahead,14
queen,12
sam,8
bentley,8
crown,6
carnival,3
predecessor,1
samantha,1
peacock,1
22-year-old,1
relation,3
among,14
contestant,1
twenty-year-old,1
kerry,5
campbell,4
runner,7
vicky,2
wadhams,1
20,15
nanny,1
include,26
fashion,6
show,62
splashout,1
organiser,5
lion,2
present,39
"£1,100",1
cheque,13
ray,3
simmonds,1
bass,11
brewing,1
sponsorship,4
girl,18
appear,13
spring,11
bank,15
holiday,1
procession,1
25th,4
youth,32
vandalism,3
seventeen-year-old,1
stone,5
flowerpot,2
front,10
window,10
night,19
january,7
10th,4
wake,2
noise,1
shout,1
ride,19
bicycle,3
police,6
alert,3
incident,5
stuart,10
james,20
spicer,3
bonhams,1
theft,7
sony,1
walkman,2
personal,9
stereo,2
audio,1
tape,2
damage,5
attempt,9
steal,20
motor,7
drink,5
search,4
fragment,2
glass,3
turn-up,1
jeans,1
offence,8
renault,2
peugeot,2
toyota,2
each,31
smashed,1
content,2
disturb,1
beside,1
return,25
cassette,3
lose,26
job,6
because,22
training,27
scheme,33
adjourn,1
case,7
until,34
24th,2
pending,1
inquiry,4
truck,2
subaru,1
pick-up,1
value,11
barn,1
ropley,7
saturday,50
registration,2
number,32
c219,1
xtr,1
price,9
reader,4
newsagent,1
please,4
note,7
1st,20
1992,9
28p,1
battle,6
press,5
fifth,7
announce,8
stanley,5
leslie,3
hale,4
buriton,1
represent,11
revolutionary,1
christian,5
communist,1
9th,4
poll,4
michael,18
mate,9
conservative,10
jim,8
phillips,6
labour,8
sue,14
baring,8
liberal,13
democrat,14
foster,18
green,19
video,5
recorder,2
