item,cnt
scots,1
power,8
surge,14
investor,14
in,432
scottish,8
can,22
splash,3
out,46
on,177
an,58
extra,7
bottle,1
of,447
scotch,4
to,767
celebrate,5
hogmanay,1
interim,15
figure,41
unveil,9
yesterday,47
show,22
a,542
16%,3
leap,11
pre-tax,13
profit,148
£95m,1
and,487
be,635
at,188
the,1213
top,21
end,22
market,70
forecast,11
electricity,32
sales,34
england,6
wales,5
rise,44
by,123
6%,6
capacity,1
distribute,2
south,15
border,5
will,92
up,132
70%,3
1993,13
addition,2
forge,3
ahead,29
with,131
plan,20
compete,3
against,19
bt,4
mercury,2
telephone,1
group,103
talk,13
national,18
grid,1
establish,1
groundwork,1
for,216
new,70
telecoms,2
alliance,2
it,243
still,23
blueprint,1
stage,7
but,136
have,291
go,33
further/far,1
than,53
just,29
twinkle,1
eye,4
say,94
finance,11
man,8
duncan,1
whyte,1
share,166
jump,36
2p,13
222p,1
merrydown,12
cider,10
run,15
fizz,4
liz,16
dolan,16
fiz,1
seem,6
get,38
lost,1
way,18
party,7
while,19
competitor,3
sparkle,2
first,24
half,22
sussex-based,1
cidermaker,1
's,170
trickle,1
down,43
from,151
£1.1m,1
£1.07m,1
boss,40
richard,6
purdey,4
blame,4
high,31
interest,32
charge,11
fall,51
price-conscious,1
east,9
where,8
drinker,1
tempt,1
away,2
cheap,11
newcomer,5
like,14
bulmers,1
',13
scrumpy,1
jack,1
taunton,1
brody,1
supermarket,11
own-label,3
brand,13
another,19
headache,1
lead,10
vintage,1
admit,5
that,111
margin,3
nibble,2
pub,12
attendance,1
hit,19
premium,8
draught,1
benefit,8
nationwide,2
distribution,2
deal,29
should,36
start,19
come,25
through,25
next,27
year,158
suffer,6
because,11
small,21
most,17
rival,5
could,35
also,46
mean,7
fast,4
recovery,18
boat,1
tend,5
rock,5
about,33
more,56
when,24
storm,5
they,112
move,19
weather,8
calm,1
he,77
12.5%,3
dividend,29
hike,2
draw,1
sting,2
result,27
5p,17
233p,1
food,17
flavouring,1
maker,5
borthwicks,1
30½p,1
after,57
serve,3
37%,2
increase,24
£1.28m,1
miserable,1
summer,8
soft,3
drink,8
ice-cream,2
manufacturer,3
£0.442m,1
tax,13
credit,4
zealand,2
business,64
save,5
day,14
property,26
giant,36
crumble,1
collapse,9
rosehaugh,2
fail,8
dent,2
receiver,2
call,9
broadgate,1
developer,1
suspend,1
7¼p,1
ft-se,25
100,17
index,15
shake,8
off,41
crisis,3
climb,13
peak,10
18,4
point,18
2778.8,1
money,8
supply,9
bank,32
spending,5
again,16
cash,38
note,4
circulation,1
grow,11
3%,3
hint,2
consumer,13
put,12
hand,9
back,39
pocket,4
far,18
cut,35
rate,42
however,12
shelve,2
until,11
brewer,14
drug,9
leisure,11
store,16
vanguard,2
hard,4
greycoat,1
speyhawk,1
stanhope,1
lose,14
ground,8
pin,4
hope,16
bright,9
christmas,22
cheerful,2
body,3
shop,13
which,63
12p,6
202p,1
water,19
pentland,1
sprint,1
8p,9
125p,2
following,8
£13m,2
sale,12
20%,4
hold,12
btf,1
owner,25
adidas,2
bernard,4
tapie,1
s.a.,1
buy,25
whole,2
last,53
month,42
uk,32
royal,10
jelly,2
magic,6
touch,4
george,19
campbell,19
city,25
editor,3
regina,2
company,68
make,31
queen,1
bee,1
elixir,1
take,42
star,7
cliff,1
maureen,1
lipman,1
massive,8
loss,19
plunge,14
into,32
red,4
tune,2
£1.2m,1
august,3
1992,11
not,56
pay,32
product,13
whose,4
yellow,1
capsule,2
contain,2
natural,2
mineral,1
vitamin,2
alleviate,1
ailment,1
range,6
pre-menstrual,1
tension,1
lack,4
energy,1
crash,12
30%,2
£1.9m,2
night,7
dealer,5
reflect,11
trauma,1
slash,12
1,3
3/4p,1
value,13
bottom,2
£2.3m,3
lawyer,2
shiraz,3
malik-noor,1
family,2
trust,3
own,23
quarter,5
confident,3
thing,6
pick,9
outfit,2
no,16
borrowing,11
speak,2
now,34
trade,16
profitably,1
stitch,2
major,14
all,31
over,49
world,6
boost,29
appear,4
buyer,14
very,13
reluctant,1
£13,1
30,3
middle,3
slump,10
despite,16
name,3
freely,1
never,1
quitter,1
singapore,3
tiger,1
balm,1
one,34
asia,2
remedies.most,1
popular,3
cure-all,1
ointment,1
woman,3
who,26
found,2
irene,1
stein,1
sell,39
early,19
this,77
she,9
flog,1
remaining,4
9%,2
stake,15
"£100,000",1
february,3
government,33
give,19
blessing,2
£935m,1
bid,22
tomkins,1
bisto,1
mother,1
pride,1
rank,3
hovis,2
mcdougall,2
department,2
industry,13
decide,7
refer,1
offer,22
lord,3
hanson,6
£150m,4
vistec,3
record,14
bob,1
morton,1
personal,6
fortune,2
£15m,3
building,23
kwik-fit,3
burgess,1
hatfield,1
estate,8
norank,1
poise,3
repeat,1
process,1
computer,5
software,2
romp,3
29%,3
£1.3m,1
£1m,3
£3.3m,1
full,11
meanwhile,6
recession,22
pound,39
4m,1
pile,7
anyone,4
we,39
tip,9
do,35
well,31
stand,3
25p,5
there,25
ga,1
reduce,5
policy,7
cost,30
general,7
accident,2
stem,3
claim,5
bring,7
launch,3
customised,1
household,3
motor,4
insurance,20
people,23
add-on,2
basic,1
cover,14
no-claim,1
bonus,4
both,10
discourage,1
vital,4
sterling,8
dive,6
kenwood,3
cloud,2
engulf,1
black,8
wednesday,9
silver,2
line,13
electric,3
gadget,2
embarrassing,1
within,3
july,1
stockmarket,6
debut,3
tumble,1
as,91
dealing,5
begin,3
stock,23
exchange,5
rule,2
tim,1
parker,3
wait,3
september,17
warn,7
10%,8
£5m,5
six,19
pretty,3
bad,19
news,21
since,6
leave,11
erm,2
underpin,1
promise,4
second,10
good,34
turnaround,3
too,8
us,14
demand,17
strong,13
ultrascreen,1
electronic,3
filter,1
help,20
carve,1
big,27
deepening,1
continental,2
country,10
across,5
channel,2
add,28
1p,10
256p,1
29p,2
shy,1
float,8
price,62
first-time,2
1.5p,1
full-year,2
honkers,1
bonker,1
shake-out,2
hong,6
kong,6
send,15
shudder,2
london,18
almost,5
record-breaking,1
halt,2
china,2
challenge,2
continued,4
administration,2
colony,2
scramble,1
spirited,1
rally,10
hour,3
before,22
close,36
roar,4
all-time,7
2792.0,1
whisker,3
below,14
magical,1
2800,1
level,11
firm,9
dollar,6
mark,16
hongkong,2
shanghai,2
midland,3
14p,4
502p,2
along,5
trader,3
standard,3
charter,2
10p,5
543p,1
cheer,4
keep,21
tick,1
argos,2
ratners,2
boots,2
dixons,2
clinton,3
card,12
7p,14
88p,1
rumble,1
continue,25
mepc,1
334p,2
wake,3
24%,1
skid,2
express,4
subscribe,2
basis,1
allocation,1
today,6
look,26
likely,11
apv,1
engineer,3
processor,2
ventilation,1
warm,1
air,5
dryer,1
vent-axia,1
smiths,1
cool,4
£56m,1
rain,3
drink-driving,1
law,1
health,4
worry,7
shrinking,1
wallet,2
even,10
much,15
either,2
brewing,5
allied,3
lyons,1
although,6
fewer,2
drop,4
local,10
branded,1
chain,17
steak,1
mr,2
q,1
prove,5
languish,1
home,23
front,4
tv,12
victoria,1
wine,6
off-licence,2
manage,7
7%,5
19,2
2.5%,1
£283m,1
slip,14
£7m,1
£372m,1
£4m,2
debt,22
provision,5
6.3%,1
low,19
£45m,3
performer,1
division,9
tetley,1
bitter,1
8%,3
skol,1
4%,2
thanks,3
largely,5
couch,1
potato,1
price-slashing,1
wreck,1
tony,3
hales,1
detect,1
slow-down,1
discount,3
reckon,13
two,28
recover,6
dunkin,1
donuts,1
excellent,2
baskin-robbins,1
shareholder,29
4.5%,2
6.95p,1
3p,9
641,1
secure,1
bet,3
chubb,1
security,3
unlock,1
parent,3
racal,2
firmly,1
zoom,4
92%,1
£27m,1
healtheir,1
performance,7
expected,5
£23.1m,1
same,7
period,4
turnover,5
outstrip,1
physical,1
side,5
guard,1
etc,1
growing,2
pattern,1
incprorate,1
redundancy,3
severence,1
reorganisation,1
nearly,15
£5.4m,1
october,9
210p,2
227p,1
penny,4
if,29
you,38
think,8
crime,1
wave,6
£100m,4
ritz,4
famous,4
hotel,15
grab,7
knock,7
100m,1
believe,11
trafalgar,2
house,23
accept,3
order,9
dispose,1
cunard,3
shipping,2
qe2,1
limp,1
port,1
damage,3
how,3
badly,3
blow,8
course,3
£80m,1
ballast,1
balance,10
sheet,2
may,15
ultimately,1
force,4
let,2
prized,1
asset,4
slap,1
sign,8
flagship,1
some,22
ago,12
queue,2
door,2
dire,1
state,1
prompt,1
book,9
brick,2
mortar,1
investment,14
£138m,1
700m,1
luxury,1
liner,1
prestigious,2
three,11
so,12
grim,2
such,8
diverse,1
enterprise,1
engineering,1
6p,19
total,12
reserve,2
out-going,1
sir,6
nigel,2
broakes,1
eric,2
dynamic,1
duo,1
pump,3
during,8
development,5
stride,1
between,13
aggregate,1
termination,1
service,13
agreement,4
sire,1
lion,2
three-year,1
contract,7
worth,10
"432,000",1
allan,1
gormley,1
examine,2
seek,2
partner,2
arm,10
disposal,5
programme,6
comprise,1
£500m,1
piccadilly,1
mecca,1
internationally,1
wealthy,2
yours,1
£100,1
m,2
asking,1
anything,5
bewteen,1
£200m,2
less,11
£3m,4
1976,1
five,11
purchase,3
land,4
15%,6
89p,1
current,7
deficit,5
million,4
customer,16
norweb,2
watch,1
bill,6
half-time,3
peg,5
£37.1m,1
only,12
£3.7m,1
flow,6
"214,000",1
need,12
5.3p,1
5.9p,1
final,10
healthy,7
perform,4
december,11
1990,4
240p,1
handsome,3
gain,10
445p,2
retailing,7
gas,4
diversification,1
promising,1
face,6
nivea,5
smith,6
&,32
nephew,3
£46.5m,1
skin,1
care,2
beiersdorf,4
50,1
confiscate,1
german,7
war,7
apply,5
commonwealth,2
africa,2
already,12
elsewhere,3
s,5
n,4
right,13
minimal,1
sum,6
1950,1
under,14
existing,3
10,7
responsibility,1
research,1
production,2
marketing,6
everywhere,1
except,1
australia,1
john,7
robinson,5
able,3
support,1
work,6
closely,1
long,8
time,31
shared,1
ownership,3
unchanged,8
169p,1
gateway,8
gasp,1
detail,2
expect,21
week,19
rescue,2
package,3
banker,4
verge,1
isosceles,6
bust,2
unless,2
allow,4
stop,2
£1.3bn,2
least,11
want,12
cough,1
38,1
lender,4
tell,4
trading,6
any,15
late,12
1980s,2
storehouse,2
director,10
david,8
simons,2
confirm,3
leak,1
weekend,4
set,14
become,3
third,6
chief,9
executive,5
15,6
due,13
pass,2
favour,2
bhs,1
graham,2
rider,1
expert,4
halve,2
other,17
eat,3
six-month,1
delay,2
buoyant,4
sail,2
uncharted,1
fresh,6
buying,6
scorch,1
unchartered,1
£3bn,1
flood,4
finally,4
itself,3
i,37
personally,2
living,1
system,3
mess,1
inherit,1
financial,10
£50bn,1
1993-94,2
spring,12
budget,2
therefore,1
kill,1
or,21
cure,1
panacea,1
europe,8
begging,1
bowl,1
mortgage,18
inflation,7
head,10
steady,3
street,16
receive,8
society,18
see,19
jobless,3
3m,1
9m,1
decent,4
reward,1
return,6
deposit,1
3%-4%,1
viable,1
alternative,1
ingredient,1
confidence,4
absent,1
resurface,1
soon,8
2807.7,1
blue,6
chip,4
festive,1
spirit,2
woolwich,4
copy,2
halifax,5
bradford,5
bingley,4
decision,6
repossessed,6
special,5
4.99%,2
two-year,1
leasehold,1
mainly,3
flat,7
boom,3
payment,9
soar,11
include,19
free,7
unemployment,2
endowment-linked,1
borrower,7
content,1
7.99%,2
fixed-rate,3
widow,3
fine,5
britain,14
fifth-big,1
life,10
insurer,7
whacking,1
"£120,000",1
ever,2
impose,1
punish,1
greedy,1
broker,8
unnecessary,1
huge,2
commission,3
write,1
"20,000",1
policyholder,1
wrong,3
compensation,1
watchdog,1
lautro,1
ban,3
altogether,1
co-operative,1
act,2
promptly,3
beef,1
method,1
green,9
shoot,10
sprout,2
manufacturing,3
midlands,4
brink,2
economic,8
survey,6
birmingham,1
chamber,2
commerce,1
indicate,1
slow,3
region,3
remain,9
depressed,3
job,11
prospect,3
poor,5
douglas,1
urge,1
accelerate,1
public,6
sector,2
infrastructure,1
project,3
waste,2
chrysalis,5
emerge,2
short,2
millionaire,2
racehorse,2
entertainment,2
chris,1
wright,1
50%,5
sparkling,3
miraculous,1
turnround,2
£9.3m,1
£5.6m,1
lot,7
impetus,2
thorn,3
£11.58m,1
arise,1
joint,1
venture,3
operation,6
thumping,3
4.4m,1
would,13
shaky,4
music,2
entrepreneur,1
sit,2
near,8
£10m,5
foray,1
restriction,1
place,7
march,4
head-hunted,2
steve,1
lewis,2
former,4
branson,1
virgin,1
publishing,2
head-up,1
label,3
75p,5
read,1
exactly,2
dyanmic,1
amusement,2
machine,2
deep,1
spread,2
rooster,1
film,2
television,2
lasgo,1
export,5
information,2
divisional,1
sadly,1
forte,10
turn,5
savoy,5
fuel,10
pundit,3
rocco,4
little,7
chef,2
happy,11
eater,2
takeover,5
rocket,4
633p,1
710p,1
£7,1
68.36%,1
equity,3
42.12%,1
vote,5
stand-off,2
strike,4
couple,5
observer,2
recent,13
death,1
president,3
hugh,1
wontner,1
trigger,4
attack,4
giles,1
shepherd,1
speculation,8
reason,3
sharp,3
warburgs,1
"5,000",3
nobody,1
182p,2
report,31
account,12
hot,3
34,1
2842.0,1
snap,4
provided,3
main,6
sentiment,1
prime,1
mover,1
dying,1
throe,1
£1.2bn,2
bang,4
expectation,3
progress,3
vangard,1
builder,5
british,16
airway,7
307p,1
pull,3
$750m,1
us-air,1
push,9
560p,1
16p.christmas,1
marks,4
spencer,4
327p,1
banana,2
geest,2
11p,6
365p,1
tariff,2
change,8
barclays,4
9p,7
383p,1
lloyds,1
15p,5
530p,1
natwest,5
421p,2
antique,2
gift,2
list,2
posh,1
asprey,3
present,2
bond,5
mallett,2
19p,3
73p,1
unnamed,1
approach,3
gossip,1
6.8%,1
robert,1
fleming,1
fraser,1
harrods,1
keen,2
dreadful,1
first-half,1
290p,1
flush,2
acquisition,10
spree,2
hefty,3
station,5
team,8
robot,1
staff-shedding,1
workforce,3
350,1
four,7
substitute,1
high-tech,1
remote,2
control,4
camera,1
cost-cutting,1
helped,1
operating,2
78%,1
"£904,000",1
2%,5
"£385,000",1
staff,5
reduction,3
strongly,1
peter,1
brownlow,1
ad,3
clobber,3
revenue,5
currently,3
pre-christmas,3
foreign,4
refuse,2
goods,2
afoot,1
raise,9
pipeline,1
gold,3
tom,1
o'connor-hosted,1
game,3
drama,3
series,2
devise,1
chairman,14
melvyn,1
bragg,1
english/scottish,1
bandit,1
16th,1
century,1
brighten,2
4p,9
104p,1
tour,7
fear,9
among,6
operator,12
spark,2
holiday,8
abroad,8
airtours,16
leader,1
thomson,3
follow,13
suit,1
step,4
ensure,1
link,4
pickfords,5
large,9
slice,3
german-owned,1
thomas,2
cook,7
analyst,12
concerned,3
round,3
rapidly,1
expanding,1
notch,3
sixth,2
successive,1
13.9%,1
quarry,2
£3.2m,2
material,1
albrighton,2
tarmac,6
3.2m,2
north,3
plus,5
provide,5
sandstone,1
refurb,1
one-for-seven,1
issue,12
repay,4
13p,12
shed,4
110p,1
pleased,1
success,5
win,7
oscar,1
majority,3
recommendation,2
60%,2
consider,3
hell,2
break,1
loose,1
event,2
outside,3
shock,5
exit,1
devaluation,2
struggle,1
thousands,1
wall,2
hunch,1
sainsbury,8
target,2
always,2
endorse,1
resilience,2
quality,2
retailer,8
25%,9
surrey,1
berkeley,6
score,4
elastoplast,1
enjoy,4
21%,2
exhibition,1
blenheim,3
what,5
roller-coaster,1
ride,2
tory,3
election,3
victory,1
frenzied,2
blot,1
mickey,6
mouse,4
euro,8
disney,9
selection,2
£17,2
£3,2
then,5
cold,1
visitor,1
tail,1
evaporate,3
cathy,8
gunn,8
medeva,3
£1,3
sag,1
ici,3
endure,1
similar,2
fate,2
coming,1
uncertain,1
£40bn-£50bn,1
fund,11
gilt,4
shirk,1
duty,4
tipster,2
asda,6
catwalk,1
cashmere,1
select,4
dawson,1
international,10
stirling,1
lingerie,1
pop,1
1991,5
stick,1
ram,2
risky,1
fraud,5
sensation,1
nasty,1
lurk,1
woodwork,1
choice,2
court,5
furnishing,2
clare,12
stewart,12
rage,1
glaxo,6
winner,5
kwik-save,1
fare,3
up/down,1
high/low,1
j,3
360,1
573,1
+59.17%,1
580/340,1
388,1
485,1
+25.00%,1
575/388,1
250,3
312,1
+24.80%,1
344/190,1
267,1
325,1
+21.72%,1
347/267,1
137,2
166,1
+20.95,1
170/127,1
199,1
220,1
+10.80,1
299/150,1
1126,1
1015,1
-8.00%,1
1403/981,1
corp,1
123,1
-10.22%,1
181/89,1
1393,1
753,1
-45.97%,1
1684/678,1
