item,cnt
bear,12
attack,47
two,108
woman,80
be,1818
critically,3
ill,5
in,932
hospital,30
last,126
night,97
after,170
they,429
savage,5
by,247
an,140
escaped,1
circus,1
the,2517
break,23
free,17
from,231
it,362
cage,1
central,3
moscow,2
police,79
marksman,1
have,675
to,1242
fire,19
16,10
bullet,6
into,81
animal,5
before,56
die,49
santa,8
claw,1
a,1195
gang,17
of,980
child,70
scratch,2
kick,6
and,935
punched,1
father,21
christmas,32
as,198
he,763
deliver,3
present,7
rotterdam,1
nursery,1
dutch,6
tell,93
off,65
aged,2
10,14
11,8
sinead,13
i,372
will,145
sell,14
home,114
for,417
charity,8
appeal,19
neville,2
thurlbeck,2
singer,16
o'connor,5
stun,1
millions,10
tv,36
viewer,5
yesterday,119
ring,8
live,32
show,35
donate,4
she,562
"£500,000",5
hollywood,25
controversial,4
star,63
who,173
number,16
one,133
hit,38
with,267
nothing,12
compare,2
2u,1
make,90
snap,7
decision,7
watch,16
harrowing,1
film,52
on,349
itv,3
this,114
morning,6
starving,9
somalia,15
during,24
heart-rending,2
scene,14
thousands,13
would,92
unless,7
red,7
cross,6
could,63
raise,8
£2,5
million,91
february,9
moment,16
later,26
bewildered,2
presenter,4
richard,10
madeley,1
we,180
some,29
amazing,2
news,15
phone,10
house,34
los,10
angeles,10
obviously,3
worth,9
hundreds,16
thrilled,1
do,128
not,236
want,56
come,59
air,24
slightly,1
stunned,2
mansion,5
set,24
magnificent,3
garden,5
overlook,2
's,341
griffith,2
park,10
five,34
bedroom,7
en,2
suite,2
bathroom,3
three,37
huge,10
reception,3
room,11
swimming,2
pool,6
auction,2
at,277
savoy,1
london,11
18,10
next,30
year,118
beautiful,6
very,37
traditional,6
taste,3
new,96
york,38
publicist,2
elaine,1
shock,11
say,407
gesture,2
but,193
surprised,5
lot,12
nice,4
thing,16
only,58
get,83
negative,3
publicity,5
kind,5
soft-hearted,1
person,8
really,8
estimated,2
£5,4
own,21
other,52
four-bedroom,1
terraced,1
west,11
spokesman,40
extremely,3
generous,2
wonderful,4
start,23
donation,1
071-245,1
1000,1
death,39
wish,10
5,2
bronson,6
71,2
actor,26
charles,10
age,7
return,25
role,18
paul,9
kersey,1
take,98
mafia,2
late,20
sequel,5
vigilante,2
saga,1
already,22
plan,33
appear,11
six,21
seven,4
producer,5
menachem,1
golan,1
shape,4
never,16
see,59
look,27
good,42
work,44
out,87
twice,8
day,68
if,65
you,63
believe,40
soon,11
hear,18
go,88
matter,12
find,58
right,30
story,17
script,3
like,49
immerse,1
himself,9
television,6
movie,35
actress,17
wife,74
jill,1
ireland,2
cancer,9
ago,30
now,55
marry,12
girlfriend,12
kim,10
weeks,1
31,8
carole,1
lore,1
alongside,2
shooting,6
begin,22
ontario,1
canada,5
cheltzie,3
7,1
sue,8
school,10
sexual,4
harassment,3
andrew,4
penman,2
girl,35
become,33
young,17
ever,9
hentz,3
legal,9
action,19
against,33
fellow,3
primary,2
pupil,1
swear,10
bus,9
authority,5
give,48
boy,17
involve,5
stern,4
ticking-off,1
parent,23
ban,7
that,211
satisfy,1
mother,38
incident,9
gross,3
infringement,1
daughter,39
human,10
mrs,11
mutziger,1
graduate,2
counselling,2
psychotherapy,1
claim,49
teasing,1
scar,1
life,68
case,21
attract,6
nationwide,2
attention,1
split,21
community,7
small,6
american,40
town,26
eden,1
prairie,1
minnesota,1
file,5
complaint,2
behalf,1
state,17
department,3
still,31
appease,1
us,53
office,30
civil,6
people,56
think,33
over-react,1
no,61
trust,1
motive,5
district,5
local,16
parent-teacher,1
organisation,3
education,1
official,33
blow,16
all,66
proportion,1
simply,4
used,9
bad,22
language,6
something,5
about,69
mac,2
£25m,1
macaulay,24
culkin,11
smash,5
box,11
record,10
when,116
alone,29
ii,5
£25,1
first,63
taking,3
even,33
more,82
stunning,1
most,23
ticket,7
half-price,1
release,15
america,27
expect,19
overtake,1
et,3
which,70
than,58
£475,1
high,34
earner,3
history,2
expert,8
predict,2
£50,2
just,82
15,11
original,3
23,10
earn,10
much,16
sales,4
boost,4
thanksgiving,2
holiday,43
head,24
cinema,8
open,24
britain,38
december,6
carjack,2
then,47
execution,1
terrifying,2
craze,4
sink,3
depth,1
tim,8
miles,3
florida,26
another,28
example,1
carjacking,4
sweep,5
here,16
four,40
friend,62
travel,8
nightclub,2
ram,2
behind,9
driver,6
stop,20
check,3
nissan,1
pathfinder,6
damage,11
pickup,3
truck,15
pull,9
group,11
man,61
ask,21
everything,7
second,19
minute,9
deadly,4
twist,1
each,11
member,14
gun,23
burst,7
bundle,1
back,59
drive,19
away,21
brand,2
black,15
whore,1
fool,2
white,19
trash,1
car,34
radio,14
blare,1
follow,18
mile,31
remote,8
farmland,1
near,23
disney,11
world,38
