item,cnt
newsletter,1
tuesday,3
november,5
5,3
1991,5
aid,1
aged,7
alert,4
help,19
the,1036
's,137
shop,6
be,553
warm,1
up,30
for,160
winter,1
with,85
a,311
special,2
promotion,3
of,468
woolly,1
welly,1
and,374
waterproof,1
event,10
begin,7
tomorrow,9
at,123
charity,3
eight,5
in,318
province,4
will,73
run,17
two,46
week,15
spokesman,12
say,101
people,45
also,19
able,1
to,472
browse,1
through,9
selection,1
book,8
game,17
while,11
away,6
dark,1
evening,1
as,77
well,18
raise,4
fund,2
elderly,5
need,15
this,58
assist,2
danger,2
cold,1
weather,2
by,95
provide,5
information,5
on,162
available,2
northern,21
ireland,27
have,191
belfast,39
other,34
londonderry,5
portadown,3
coleraine,3
strabane,1
larne,1
ballymena,4
late,13
redskin,2
washington,2
remain,4
only,28
unbeaten,1
team,11
nfl,1
after,32
win,25
16–13,1
overtime,2
against,17
unlucky,1
houston,3
oilers,1
ian,3
haufield,1
miss,10
field,2
goal,5
one,36
second,13
leave,11
but,77
chip,2
lohmiller,1
sealed,1
victory,9
similar,3
attempt,5
from,65
43,4
yard,1
coach,1
jack,2
pardee,1
i,82
think,8
we,53
kicking,1
good,23
until,12
last,40
kick,1
atlanta,2
add,5
san,5
francisco,2
poor,5
season,15
17–14,1
last-gasp,1
effort,7
touchdown,1
come,15
when,34
michael,13
haynes,1
jump,2
among,2
crowd,2
defender,3
catch,1
take,30
they,117
nfc,1
west,5
third,5
denver,1
sixth,1
seven,5
top,16
afc,2
20–13,1
pittsburgh,1
who,60
now,12
behind,4
cleveland,2
huston,1
central,3
cincinnati,1
get,20
first,22
23–21,1
american,2
football,4
brooke,30
back,16
market,9
tactic,4
government,14
winner,12
policy,5
emphasise,2
that,135
competitiveness,1
way,8
achieve,3
real,9
economic,3
growth,2
accord,2
secretary,10
state,10
peter,12
speak,6
gallaher,5
business,15
challenge,7
award,24
he,203
change,2
signal,2
move,7
concentrate,3
purely,3
job,7
competitive,3
world,14
make,21
it,136
essential,1
least,4
overseas,1
rival,4
more,31
economy,2
course,16
lead,13
long,10
term,5
an,62
increased,1
level,5
secure,1
worthwhile,2
employment,1
mr,53
finalist,1
fit,2
profile,1
already,6
mark,8
themselves,3
out,53
criterion,1
total,2
quality,5
management,5
innovation,3
ledu,1
would,53
focus,1
software,5
side,10
awareness,1
importance,2
research,3
improving,1
export,5
performance,6
soldier,17
bravery,2
honour,4
murder,7
ira,38
human,6
bomb,15
attack,24
queen,4
gallantry,3
medal,4
nine,2
unnamed,1
udr,6
give,21
range,3
cbe,2
mentions-in-despatch,2
gallant,1
or,31
meritorious,1
service,9
cyril,2
smith,8
carrickfergus,2
die,10
just,16
over,38
year,36
ago,9
huge,2
drive,3
into,22
border,1
checkpoint,1
newry,2
member,11
royal,12
irish,9
rangers,7
65-year-old,1
man,17
force,11
hiace,1
van,2
safety,3
ranger,2
then,11
zone,1
warn,6
though,5
unknown,2
find,10
safe,3
spot,3
believe,10
full,10
blast,8
october,6
24,2
1990,2
instantly,1
thirteen,1
injure,6
including,5
driver,2
funeral,1
st,6
nicholas,1
catholic,3
church,13
rev,5
anthony,1
curran,1
praise,2
young,12
could,25
life,9
colleague,2
21,3
regiment,1
active,1
due,7
army,10
six,4
mbe,1
british,8
empire,1
three,13
several,3
include,6
list,4
sgt,2
andrew,2
o'malley,1
bem,1
lt,1
col,1
frederick,1
james,3
allen,5
obe,2
major,11
robin,2
gerald,4
russell,1
both,11
mention,2
despatch,1
bland,3
anger,2
unionist,10
mp,9
round,6
ulster,23
yesterday,30
turn,6
down,9
call,28
selective,6
internment,16
wake,1
outrage,5
musgrave,16
park,20
hospital,44
fail,7
announce,6
any,23
new,16
security,12
initiative,2
commons,4
statement,7
atrocity,4
which,46
word,12
dismiss,2
strangford,2
john,6
taylor,6
generality,2
nothing,4
offer,7
tell,14
house,18
there,34
must,12
condemnation,7
those,24
finger,2
point,14
introduce,2
dublin,7
rule,5
anglo-irish,3
agreement,1
encouragement,1
terrorist,9
respond,3
kind,2
saturday,13
afternoon,3
bombing,16
11,7
five-year-old,2
girl,3
baby,10
four,10
month,8
condemn,6
act,7
cynical,4
depravity,3
reject,8
callous,2
claim,10
building,4
operational,2
military,7
base,6
simply,2
dedicate,2
healing,1
relief,2
suffering,1
near,8
than,21
quarter,9
mile,6
manifestly,1
not,105
target,8
spearhead,1
ken,6
maginnis,4
dup,3
leader,22
paisley,4
introduction,4
stare,2
face,8
insist,1
deep,1
revulsion,1
should,16
weapon,2
armoury,1
civilised,1
country,7
demand,4
allow,3
hand,6
tie,2
assurance,1
executive,1
detention,1
carry,9
she,44
majesty,1
line,3
legislation,1
pass,3
bring,13
very,17
serious,1
step,2
consequence,2
difficult,2
predict,2
consider,3
use,17
particular,2
circumstance,5
obvious,1
reason,2
what,26
might,1
mps,1
20lb,3
semtex,3
left,2
part,10
along,5
tunnel,1
between,4
contain,1
orthopaedic,6
child,18
ward,6
medical,6
facility,4
administer,1
ramc,1
serviceman,1
family,8
some,10
civilian,4
addition,4
death,10
injury,5
cause,3
severe,1
damage,6
amount,4
"£250,000",1
newly,1
refurbished,1
withers,1
block,2
debris,1
fall,5
father,1
nurse,3
daughter,3
immobilise,1
traction,1
so,25
far,14
97,1
operation,7
perform,1
early,7
cancel,4
80,2
200,2
nhs,1
bed,3
render,1
unusable,1
sure,4
whole,6
join,4
utter,1
appalling,1
surely,4
low,1
inglorious,1
history,4
all,33
justify,4
let,3
no,28
doubt,4
show,7
true,2
colour,1
community,6
sick,4
parent,3
old,8
whose,1
much-needed,1
delay,4
staff,7
devotedly,1
care,13
continue,5
defend,2
justice,3
such,10
deflect,2
do,48
duty,4
see,17
off,11
these,11
evil,5
want,6
destroy,5
horrible,1
nature,1
underline,1
sort,2
whom,2
democrat,1
oppose,2
shadow,1
kevin,2
mcnamara,3
assassin,1
squalid,1
campaign,4
describe,4
crime,1
humanity,1
urge,3
hustle,1
aggravate,1
situation,5
risk,4
time,25
best,2
repay,1
political,11
solution,2
conflict,7
complete,4
disregard,2
geneva,2
convention,3
respect,1
wounded,3
clearly,2
cruelly,1
inhumanely,1
violate,1
principle,1
fight,7
war,5
bind,2
labour,2
quick,2
decision,8
ruc,8
request,2
manpower,3
reply,2
expect,9
announcement,3
soon,5
uup,1
express,2
disappointment,3
still,12
indication,1
means,1
necessary,1
disrupt,1
command,1
control,4
structure,1
implement,1
intern,2
suggest,4
street,5
cast,4
integrity,1
vast,1
majority,3
welcome,7
north,4
antrim,3
circulation,1
seek,2
maim,1
cry,1
extirpate,1
sdlp,3
deputy,3
seamus,3
mallon,2
break,5
every,12
precept,1
compassion,1
morality,1
involved,2
process,5
play,18
try,5
end,22
terrible,1
spiral,1
kill,9
despair,2
bounden,1
responsibility,3
start,11
