item,cnt
tunnel,1
share,165
offer,36
bury,1
clare,12
stewart,12
confused,1
shareholder,24
have,256
be,633
seek,4
help,30
on,205
the,1321
complex,1
question,8
of,475
eurotunnel,6
warrant,7
and,464
what,10
they,122
worth,25
not,65
much,10
short,2
answer,3
those,11
hope,16
to,686
cash,19
in,419
issue,10
with,173
may,8
find,5
free,6
gift,1
now,42
an,44
expensive,4
invitation,1
buy,25
which,50
give,25
holder,2
right,10
more,45
convert,3
by,134
november,5
15,3
after,50
expire,1
for,201
every,3
10,5
hold,20
you,14
can,16
subscribe,1
1.1,1
unit,2
at,188
a,535
total,13
cost,28
£4.57,2
but,110
pick,4
up,127
market,67
around,26
£3.60,1
unless,1
price,44
soar,9
beat,4
next,36
week,21
it,235
bother,4
would,29
do,33
well,14
if,29
really,5
want,10
try,5
sell,25
either,5
as,62
currently,2
trade,11
¼p,1
each,7
24m,1
will,111
net,7
over,29
pound,47
100m,1
all,29
group,94
little,8
coy,1
how,3
many,5
take,43
advantage,2
this,75
very,9
tempting,1
only,16
small,10
number,14
say,83
spokesman,9
top,26
performer,3
leave,12
shelf,1
cathy,5
gunn,5
bradford-based,1
supermarket,13
william,6
morrison,4
should,39
get,28
boost,30
morning,4
firm,17
emerge,6
britain,26
's,184
performing,1
company,61
last,55
five,12
year,122
also,47
unbroken,1
20-year,1
record,7
profit,135
growth,21
star,6
turn,8
survey,6
institute,1
director,14
"1,000",4
big,40
sales,30
146,1
value,12
performance,9
since,21
1983,1
outstrip,1
then,12
make,32
£9m,2
£223m,1
1992,8
that,128
63m,1
£1.1bn,1
narrowly,1
rival,9
fellow,1
j,3
sainsbury,16
slot,1
outshone,1
tesco,4
other,17
five-year,2
shortlist,1
eliminate,1
because,13
recent,8
spot,1
transport,3
trailer,1
tiphook,1
see,17
dip,5
operate,3
earnings-per-share,1
construction,3
engineering,4
bm,1
hit,24
controversy,1
accounting,2
practice,1
chairman,11
resign,3
ill-health,1
harland,1
simon,4
run,12
into,30
loss,33
suspend,3
lose,29
finance,4
competition,3
like,10
two,16
great,7
yes,3
city,26
fan,2
way,12
quietly,1
concentrate,2
local,5
patch,2
job,21
buyer,6
beware,1
however,12
fairly,4
tightly,1
jump,30
joy,1
today,22
off,52
until,7
sober,1
again,19
water,32
come,22
out,47
study,2
ten,2
privatised,3
24,3
profit-maker,1
',12
list,6
late,8
pre-tax,8
between,14
26%-54%,1
so,15
hang,7
good,28
hedge,2
against,22
political,5
economic,4
uncertainty,2
rage,1
guy,1
fawkes,1
analyst,14
nigel,2
hawkins,1
hoare,1
govett,1
advise,2
fund,7
manager,1
switch,6
electricity,13
stock,24
still,21
safe,1
investment,13
gilt,4
especially,2
nip,1
before,17
perhaps,1
imminent,4
interest,30
rate,79
cut,49
pay,27
fixed,11
annual,5
lock,1
high,45
return,8
rise,50
when,21
fall,33
sure,1
capital,12
gain,19
even,15
index-linked,2
benefit,9
inflation,9
protect,3
income,9
from,140
impact,1
some,14
protection,4
century,2
business,45
iod,2
bp,4
£32.6bn,1
unilever,5
£23.2bn,1
follow,9
bt,11
ici,4
far,24
british,14
aerospace,2
bat,6
gas,4
grand,3
metropolitan,4
hanson,5
£7.7bn,1
complete,4
boy,5
earn,3
asset,6
gec,2
btr,1
marks,4
spencer,4
margin,4
shrink,2
industry,11
corporate,1
debt,13
double,14
owe,2
£114.4,1
billion,2
£500m,2
76%,1
recession,17
full,15
swing,2
likely,19
continue,10
scale,2
back,40
warn,8
general,8
peter,3
morgan,3
instant,2
2%,4
lift,4
gloom,2
thames,8
flow,3
news,28
tommorow,1
launch,11
wave,6
figure,56
half-time,8
expect,29
show,11
4%,2
£123m,1
dividend,28
increase,19
6.9p,2
giant,49
check,3
interim,28
wednesday,9
strong,14
improved,4
mark,16
22%,3
£400m,1
ubs,2
phillips,2
&,26
drew,2
divi,10
2.75p,2
tobacco-to-insurance,1
reveal,3
third,14
quarter,18
insurance,17
arm,8
eagle,3
push,11
nine,8
month,40
£1bn,5
gloomy,4
thursday,15
oil,4
155m,1
£130m,3
gearing,1
pose,1
problem,9
scottish,6
low,26
squeeze,2
large,8
competitor,3
year-end,9
slip,14
£23m,2
£20m,3
unchanged,4
8.4p,1
forecast,18
£575m,1
£595m,1
sotheby,5
plunge,12
people,21
auction,5
house,9
money,17
hand,5
fist,1
three,21
end-september,8
deepen,1
$11m,1
7.19m,1
$13.2m,1
despite,9
$15.6m,1
improvement,3
$88.7m,1
boss,38
michael,2
l,1
ainslie,1
blame,4
slide,3
acquavella,1
modern,1
art,1
joint,4
venture,7
marlene,1
dietrich,1
ruby,1
diamond,1
bracelet,1
"$990,000",1
estimated,2
artwork,1
walt,3
disney,14
beauty,1
beast,1
raise,3
£1.3m,3
provided,1
consolation,1
add,27
13p,5
663p,1
sunblest,2
slice,1
fierce,1
war,9
bread,2
hefty,3
bite,3
silver,1
spoon,1
sugar,14
associate,1
food,31
gary,1
weston,2
one,23
rich,3
man,10
report,20
11%,6
dive,9
full-year,7
£297m,1
drop,9
responsible,2
canadian,3
mr,6
unduly,1
concerned,3
yesterday,49
443p,1
he,78
family,9
stake,17
just,25
£1.2bn,1
lot,7
dough,1
happy,1
acquisition,11
chip,2
£139m,1
turnover,6
700m,1
mountain,2
£409m,1
£61m,1
previous,1
12,5
strike,3
charge,8
£15m,3
rationalisation,1
reorganisation,3
hike,7
14p,4
second,13
5.5p,1
4.5p,1
berisford,2
hillsdown,2
further/far,6
write,2
down,37
result,30
extraordinary,2
£31m,2
abf,1
20%,9
tiny,1
8m,1
tie,5
rack,5
flashy,1
liz,11
dolan,11
emblazon,1
santas,1
rudolphs,1
red,6
nose,1
light,4
touch,2
button,1
seductive,1
picture,2
marilyn,1
monroe,1
part,10
campaign,4
strategy,3
christmas,13
silk,1
waistcoat,1
blazer,1
knock-down,1
£45,1
we,35
harder,1
customer,12
mcginley,3
cautious,1
about,30
happen,3
reckon,26
low-priced,1
range,6
thing,7
tempt,2
recession-bashed,1
shopper,6
former,8
'80s,2
flier,1
already,11
dig,1
itself,4
mess,1
few,8
draconian,2
control,11
distribution,2
clampdown,1
high-spending,1
franchisee,1
near-£1m,1
better-than-expected,2
"£301,000",1
six,13
august,3
16,1
like-for-like,1
pretty,2
deep,1
i,14
ever,2
open,15
store,23
close,36
four,9
first,33
half,14
plan,14
another,10
14,3
least,9
uk,35
43,1
us,29
21,2
mend,2
sight,1
fix,3
expansion,4
europe,18
hong,6
kong,6
east,4
3½p,1
53½p,1
cream,3
dairy,9
crest,3
move,23
step,1
near,6
float,10
appointment,1
financial,8
public,11
relation,1
expert,5
dewe,1
rogerson,1
own,26
milk,10
marketing,4
board,5
cheese,2
maker,5
cheddar,1
cheshire,1
gloucester,3
clover,1
blended,1
spread,3
menu,3
bulk,1
mmb,2
£45.5m,1
£14.4m,1
£21m,1
exceptional,2
item,4
could,42
card,3
end,20
there,28
punch-up,1
farmer,6
who,31
provide,4
bush,1
george,22
campbell,21
wobble,1
jelly,1
ahead,38
presidential,1
election,5
tomorrow,8
crucial,2
vote,6
maastricht,5
wall,1
street,12
pundit,5
clinton,7
home,26
dollar,8
send,10
reel,1
cent,4
new,72
dm2.40,1
jittery,1
john,14
major,12
fate,2
balance,2
dealer,10
freefall,2
£15bn,1
£20bn,1
wipe,3
ft-se,26
shake,3
blue,4
notch,6
29.5-point,1
leap,17
2687.8,1
activity,6
line,11
dollar-orientated,1
stag,6
furniture,2
20p,5
95p,1
approach,1
euro,8
demand,16
965p,1
foreign,8
visitor,2
receipt,2
boots,5
8p,12
480p,1
steel,5
1p,6
46p,3
prudential,2
closed,3
2½p,2
adrift,4
276p,2
restated,1
technique,2
almost,2
treble,1
1991,1
£620m,1
power,10
trio,2
link,4
electrical,3
retail,8
consortium,3
e,1
s,4
receive,3
shot,2
recruit,1
midlands,5
join,8
eastern,3
southern,4
electric,3
create,2
operation,3
april,2
1,7
82,1
outlet,7
transfer,2
organisation,1
28%,1
combine,1
shop,12
wide,1
brown,2
white,4
goods,3
duncan,1
ross,1
strengthen,1
position,2
express,10
