item,cnt
ban,5
on,441
three,67
pint,3
driver,15
a,1105
writtle,1
agricultural,3
college,4
technician,1
be,1873
from,259
drive,31
for,407
year,114
and,952
fine,5
£270,1
with,255
£35,2
cost,22
by,304
witham,9
magistrate,17
yesterday,124
after,116
plead,7
guilty,10
to,1151
excess,2
alcohol,12
mrs,29
iris,1
marr,1
prosecute,12
tell,73
the,2648
court,55
robert,3
adams,8
43,3
of,1140
coggeshall,1
road,94
feering,1
stop,22
near,41
he,668
home,62
january,18
8,7
test,6
reveal,13
45,8
microgramme,1
in,819
breath,3
legal,6
limit,11
35,8
have,613
out,95
drink,10
but,149
no,63
more,76
than,52
way,33
back,38
off,41
look,26
at,376
house,44
think,19
buy,7
add,33
i,103
just,35
about,96
stony,1
broke,1
man,113
clear,20
bid,12
murder,35
jobless,3
frank,5
mason,5
last,100
night,51
attempt,30
kill,30
street,23
bramston,1
view,12
acquit,6
27-year-old,1
adrian,3
hawes,3
jury,21
fail,9
reach,10
verdict,11
alternative,6
charge,51
wound,13
intent,4
cause,38
actual,2
bodily,5
harm,7
arise,3
an,152
incident,39
cypress,1
19,5
when,84
get,46
car,79
set,21
mr,170
punch,9
kick,3
ground,11
stab,5
time,57
deny,27
involved,8
attack,27
which,132
spend,24
six,19
hour,23
considering,1
it,292
threaten,9
separate,7
18,8
day,42
early,22
unable,7
agree,18
another,33
affray,4
now,52
face,32
re-trial,1
wounding,1
bbc,5
chief,13
should,35
pay,33
tax,51
major,38
's,252
new,66
director,17
general,21
john,43
birt,5
repay,1
all,58
avoid,6
as,190
freelance,2
consultant,3
prime,15
minister,28
commons,14
however,32
say,407
matter,14
inland,2
revenue,8
monday,14
join,8
staff,32
criticism,3
salary,2
arrangement,2
follow,30
disclosure,1
sunday,12
newspaper,9
own,20
company,22
fee,3
what,53
himself,8
turnover,2
question,24
gordon,4
prentice,1
lab,1
pendle,1
urge,7
revelation,2
that,283
massive,4
scale,3
leave,33
very,26
nasty,4
taste,1
mouth,1
period,4
deputy,7
private,8
funeral,6
bobby,2
moore,5
soccer,4
world,11
respect,2
wish,12
family,25
stay,9
away,20
england,7
1966,1
cup-winning,1
captain,1
take,101
place,16
30,13
close,28
friend,12
present,10
40-minute,1
service,49
putney,1
vale,1
crematorium,1
south-west,2
london,37
mourner,1
lead,13
widow,3
stephanie,4
child,34
roberta,1
dean,1
relative,4
east,21
travel,8
via,1
upton,1
park,11
where,28
they,285
overwhelmed,1
west,24
ham,1
supporter,4
',30
floral,3
tribute,2
who,133
die,27
week,35
cancer,3
age,7
51,2
memorial,6
likely,18
hold,27
summer,3
link,27
match,8
wembley,1
we,146
appreciate,3
good,19
inside,14
outside,27
football,4
grateful,1
police,162
find,39
drug,20
factory,3
armed,14
detective,20
uncover,2
multi-million,2
pound,10
cannabis,5
dawn,2
raid,20
"£300,000",1
bungalow,2
extension,1
drawing,2
room,11
thigh-high,1
plant,12
grow,7
polythene,1
bag,6
full,14
compost,1
nearby,9
400-square-yard,1
warehouse,1
flourish,2
condition,14
control,13
artificial,3
lighting,2
automatic,3
watering,1
system,15
around,20
"2,000",2
worth,9
"£200,000",2
site,17
low,11
avenue,12
bowers,1
gifford,1
basildon,8
also,79
bale,2
dried,1
herbal,1
previous,3
crop,1
believe,37
isolated,3
spot,2
use,51
produce,8
up,88
decade,3
twenty,1
essex,72
assist,2
nine,7
wing,3
number,27
regional,6
crime,17
squad,5
swoop,4
supplier,2
det,3
inspector,17
david,19
morgan,1
this,110
big,6
operation,12
type,4
come,44
across,13
mean,22
south,16
station,34
officer,43
wiltshire,1
discover,5
bedroom,2
council,87
convert,1
into,64
nursery,5
heater,1
foil,4
covered,1
wall,8
retain,4
heat,3
operating,1
switch,5
one,92
two-storey,2
like,23
luxury,1
greenhouse,1
pot,1
still,42
try,33
trace,7
occupant,1
labrok,1
trowbridge,1
warning,9
plane,5
disaster,10
stansted,19
shake,4
amsterdam,2
proportion,3
due,18
soon,8
disbelieve,1
county,38
councillor,15
liberal,5
democrat,5
leader,20
tom,5
dale,7
give,46
grim,1
debate,4
axing,1
accident,10
emergency,6
herts,2
hospital,44
bishops,1
stortford,1
although,11
casualty,5
department,13
two,133
imperative,2
open,20
because,54
proximity,1
third,9
airport,21
anthony,2
stockley,1
rochford,2
tory,17
outraged,1
suggestion,3
air,9
crash,10
future,13
accuse,27
scaremonger,1
safety,7
record,13
first,29
class,5
scenario,1
statistically,2
true,4
member,36
meeting,18
remind,4
public,23
feeling,3
ignore,3
cut,23
e,1
harlow,7
already,16
overload,1
st.,1
margaret,5
epping,2
only,42
9am-5pm,1
will,164
shortly,8
anyway,3
whitehead,2
conservative,6
thaxted,3
decision,26
local,41
£10,3
million,26
improving,1
facility,8
princess,7
alexandra,1
health,17
authority,36
contingency,1
plan,30
detail,8
well,19
practise,1
regularly,1
updated,1
procedure,6
paramedics,1
would,110
field,5
scene,9
if,57
necessary,2
helicopter,2
whitechapel,2
fly,8
triangle,1
deal,8
injured,1
consultative,1
