item,cnt
jam,5
foil,3
dead,11
cert,1
twenty,2
factory,3
worker,2
could,223
only,204
listen,4
on,1049
the,5809
radio,4
to,3192
they,939
red-hot,4
tip,6
romp,8
home,110
at,964
9-2,4
after,465
a,2821
run,113
of,1925
bad,68
luck,16
way,136
race,116
first,290
coach,45
break,67
down,153
so,190
three,144
punter,17
from,509
fawdon,1
newcastle,62
hitch,4
lift,22
ripon,2
put,123
£400,1
in,2069
bet,25
but,1016
get,403
stuck,3
and,2557
arrive,19
too,73
late,55
be,4785
all,269
it,1008
sir,24
colin,67
we,843
do,543
not,934
know,153
what,182
about,223
ball,113
tampering,2
spot,26
check,13
likely,20
price,42
cowdrey,10
admit,77
last,421
night,223
tamper,9
with,922
chairman,50
international,95
cricket,72
council,11
talk,65
sri,6
lanka,6
say,696
doctore,2
issue,10
expose,14
mirror,47
by,464
allan,37
lamb,74
's,1285
big,147
headache,7
he,3127
claim,39
country,44
have,2039
guilty,6
concede,18
go,426
answer,15
problem,59
that,1056
when,373
new,170
trick,8
appear,21
everyone,21
try,156
see,171
advantage,7
can,264
fly,28
back,345
england,306
later,40
this,314
week,173
sort,27
out,416
storm,19
over,202
pakistani,10
may,61
well,126
kick,54
up,296
another,106
eight,47
other,74
test-playing,2
nation,4
certainly,31
report,25
lord,26
umpire,36
john,114
holder,10
for,1498
marked,1
during,48
summer,53
final,99
test,97
against,296
west,62
indies,17
despite,35
rave,1
pakistan,24
stand,25
as,626
neutral,2
series,9
india,14
since,89
county,52
board,29
almost,34
manage,18
hush,1
incident,23
bbc,8
tv,47
commentator,3
jack,39
bannister,6
book,39
month,126
zealand,8
chris,68
pringle,1
become,56
angry,21
produce,31
life-time,1
best,20
figure,17
11,17
152,1
scuff,7
kiwi,16
manager,169
ian,110
taylor,139
take,237
unprecedented,1
step,26
tell,124
world,203
happen,55
because,167
want,204
icc,11
investigate,3
evidence,12
skipper,60
desmond,1
haynes,1
complaint,12
karachi,1
1991,9
exactly,7
nothing,48
now,223
blow,35
whole,19
affair,12
into,182
open,37
must,70
cheat,12
door,18
slam,11
forever,5
doctor,16
whichever,2
belong,4
one,281
suggestion,4
should,117
inspect,1
fall,31
every,54
wicket,10
or,137
unscheduled,1
stop,44
instead,21
end,96
each,28
bowler,25
chance,103
cover,17
trace,1
change,45
might,51
place,77
time,254
visit,10
winter,11
kind,19
doctoring,2
which,112
sport,44
headline,3
jolly,1
green,7
giant,16
hugh,16
jamieson,15
vicente,4
fernandez,3
win,286
english,40
belfry,1
sink,4
long,64
putt,4
ever,40
golf,4
title,92
jubilant,4
46-year-old,1
argentinian,4
celebrated,2
landing,1
"£91,660",1
prize,15
head-over-heels,1
roll,12
then,159
dedicate,1
moment,45
glory,19
soccer,30
boss,185
pal,15
ossie,7
ardiles,10
pip,4
swedish,9
pair,11
per-ulrik,1
johansson,2
fredrik,1
lindgren,1
shot,46
thanks,9
birdy,9
two,279
hole,8
i,1876
far,37
away,86
just,270
disappear,3
great,145
there,250
hero,51
bromwich,7
an,326
enthusiastic,2
15-handicap,1
golfer,1
like,168
drop,24
gallery,2
roar,5
close,43
bern,1
middlesbrough,19
lennie,11
lawrence,44
appeal,18
charlton,31
forget,24
bernie,9
boro,16
slaven,3
start,127
season,238
goal,243
manchester,76
city,67
star,113
leeds,154
under,77
watchful,1
eye,31
31-year-old,4
striker,110
republic,16
ireland,34
squad,78
disappointed,28
reckon,13
deserve,24
call-up,7
mention,4
you,262
respect,15
anybody,13
here,65
also,122
scotland,22
decision,53
overlook,4
midfielder,36
willie,12
falconer,3
signing,26
derek,5
whyte,2
party,16
face,113
switzerland,6
case,19
ipswich,11
tonight,63
winger,32
hendrie,3
miss,79
match,180
calf,5
injury,123
leave,119
wimbledon,65
set,73
red,37
carpet,5
bring,47
original,7
crazy,18
gang,10
member,16
alan,47
cork,7
joe,25
kinnear,10
rob,22
injured,22
ace,33
fashanu,6
sheffield,68
united,143
cult,2
corky,1
vital,14
replacement,13
ease,12
club,238
record,93
bust,3
reluctantly,1
12,23
glorious,6
year,227
immediately,4
heart,22
yorkshire,33
fan,95
32-year-old,2
help,60
stay,55
dave,37
bassett,18
would,296
if,264
move,93
south,27
come,219
return,84
hull,38
axe,7
boy,39
leigh,15
jenkinson,2
fine,52
£100,1
game,313
swansea,17
transfer,24
list,20
terry,28
dolan,1
gesture,6
top,127
penalty,53
plymouth,4
friday,12
gary,52
mercer,6
martin,60
richards,36
reel,2
shock,31
new-signing,1
jaw,8
sunday,47
opening,26
defeat,58
st,60
helens,15
rugby,49
league,172
forward,51
play,325
warrington,15
will,648
sideline,11
10,22
who,394
pick,51
20,31
minute,165
substitute,17
andy,47
goodway,1
bravely,4
second,164
half,87
wear,11
protective,3
head,63
guard,5
sickening,3
chief,27
executive,12
alf,3
davies,28
show,86
courage,6
even,109
though,40
very,103
painful,4
wire,10
to-morrow,7
serious,26
never,76
feel,86
flat,5
something,48
tackle,47
still,153
finalise,5
two-year,8
deal,80
aussie,34
rower,6
bob,15
lindner,17
doug,19
laughton,18
give,177
intriguing,1
twist,11
search,14
overseas,9
three-quarter,2
negotiate,3
name,54
australian,11
mal,9
meninga,6
sign,79
firework,3
off,195
bonfire,1
announce,12
network,1
saturday,79
receive,14
confirmation,1
player,279
sure,42
australia,21
cup,263
early,66
next,146
