item,cnt
why,1
keiran,1
goss,4
leave,7
the,448
law,7
for,96
guitar,7
star,20
of,194
county,2
down,7
at,61
end,10
day,15
it,79
be,298
as,58
a,190
songwriter,3
that,53
i,102
would,15
most,7
like,13
to,161
remember,5
qualified,1
solicitor,2
who,31
have,113
practise,1
currently,3
one,18
big,7
draw,1
on,74
irish,7
music,7
scene,4
only,9
case,3
kieran,7
ever,7
handle,2
which,15
contain,2
tool,1
he,166
chosen,1
trade,2
talented,2
co,2
man,8
with,64
droll,1
line,3
in,166
laid,1
back,9
stage,4
patter,1
now,19
establish,1
leading,2
figure,1
swelling,1
rank,1
singer/songwriters,1
forge,1
highly,2
successful,3
partnership,1
dublin,3
singer,9
frances,4
black,4
sister,3
famous,1
mary,3
and,226
song,13
cover,3
by,32
other,11
performer,2
far,5
away,3
japan,2
so,16
age,3
31,1
instead,2
stand,1
court,2
pinstripe,1
make,15
plea,1
mitigation,1
saturday,5
night,5
disorderly,1
drunk,1
road,5
fame,1
suitcase,1
hand,2
how,7
do,34
all,28
begin,5
close,3
musical,1
friend,7
sands,1
family,8
bear,1
townland,1
mayobridge,1
near,1
newry,6
show,15
15,1
raise,1
garage,2
owner,1
billy,1
wife,7
bridie,1
since,8
two,13
old,4
brother,3
play,18
not,36
long,2
before,6
young,10
pick,2
out,21
those,3
three,5
main,2
chord,1
himself,6
time,21
go,19
abbey,1
cbs,1
already,8
regale,1
school,5
party,6
1970,1
's,89
singer-strummer,1
ralph,1
mctell,1
tom,4
paxton,1
1980,1
arrive,4
queen,3
university,1
study,2
first,16
year,35
fly,3
usa,1
find,7
summer,1
job,3
labourer,1
but,43
stick,2
couple,1
week,7
say,42
cleveland,1
ohio,1
there,18
easy,3
way,10
money,1
than,9
work,11
building,1
site,1
get,15
few,8
gig,6
round,4
pub,3
learn,2
off,6
some,7
traditional,3
ballad,1
quickly,1
sort,3
audience,6
you,31
certainly,2
want,7
hear,6
sing,7
james,2
taylor,3
or,12
simon,1
garfunkel,1
support,8
just,21
bit,6
crack,2
curiously,1
enough,1
give,7
taste,1
public,3
something,3
yet,4
home,10
return,5
ask,5
student,1
',4
union,1
very,9
act,2
blackthorn,1
soon,2
once,8
twice,4
local,3
folk,3
club,2
demanding,1
circuit,2
serve,2
troubadour,1
an,21
book,5
1985,1
qualify,1
this,38
safety,3
net,3
write,8
thesis,1
copyright,1
useful,2
decide,1
take,12
plunge,1
full,2
professional,2
musician,1
next,7
four,6
live,2
nomadic,1
life,12
minstrel,1
head,5
car,2
well,13
wear,2
germany,1
italy,1
brittany,1
everywhere,1
from,39
cafe,1
pizza,1
parlour,1
decision,2
sound,4
idyllic,1
fun,3
earn,3
living,2
what,12
best,3
1989,2
crossroads,1
tour,10
own,2
good,12
security,2
serious,2
about,12
future,2
whether,1
become,5
lawyer,2
start,1
apply,1
more,14
businesslike,1
approach,1
opt,1
latter,1
launch,3
debut,4
album,9
brand,1
new,19
sell,3
lot,3
radio,5
important,2
introduce,1
compose,1
concert,7
wide,2
record,7
they,47
career,2
break,6
come,12
almost,2
accident,1
band,28
arcady,1
1990,1
solo,1
north,3
she,50
need,3
backing,1
guitarist,1
meet,2
help,5
chemistry,2
we,35
hardly,1
know,6
each,3
agree,2
think,8
short,1
term,1
thing,8
harmony,1
