item,cnt
garda,4
probe,1
priest,9
sex,9
abuse,8
claim,3
a,69
investigation,3
be,108
underway,1
today,5
into,3
an,13
allegation,8
of,81
child,10
involve,6
former,3
religious,4
principal,2
in,50
secondary,1
school,5
the,149
west,2
ireland,8
and,39
health,3
board,3
inquiry,3
centre,4
on,13
several,3
against,3
teenage,1
male,1
student,1
by,18
same,2
catholic,5
also,5
carry,1
out,3
highly,1
regard,2
educational,1
circle,1
transfer,1
from,22
he,33
position,2
church,26
authority,2
to,55
work,5
as,13
curate,1
country,2
parish,6
over,4
summer,1
have,32
for,19
year,8
but,12
so,1
far,2
neither,1
gardai,5
nor,1
official,5
contact,1
about,2
case,1
rumour,1
cause,2
shock,1
wave,1
among,3
local,5
people,8
spokesman,3
say,28
there,8
result,2
complaint,4
make,6
member,1
public,3
senior,2
officer,2
file,1
would,9
go,4
director,3
prosecution,1
eamon,1
barnes,1
counselling,2
believe,5
teenager,2
age,1
12,1
18,1
at,16
least,1
some,4
take,4
place,2
last,1
only,7
one,4
it,19
understand,1
that,15
early,1
this,8
both,5
tell,3
become,1
receive,2
bishop,6
insist,1
no,5
such,1
if,5
you,1
any,4
information,1
will,15
investigate,3
switch,1
ordinary,1
course,1
event,1
unaware,1
conduct,1
add,2
press,1
office,1
new,3
guideline,1
order,1
available,1
before,3
end,1
very,1
seriously,1
act,1
upon,1
find,2
substance,1
gail,1
walker,1
bee,4
',1
knee,1
service,11
honey,7
worshipper,2
special,2
buzz,1
harvest,3
magheralin,1
produce,1
safely,1
gather,1
display,1
around,1
pulpit,3
congregation,1
up,3
beekeeper,5
all,5
thanksgiving,1
sunday,3
november,1
28,1
font,1
decorate,1
with,6
honeycomb,1
hive,2
's,14
equipment,1
like,1
veil,1
smoker,1
basket,1
flower,1
irish,1
shamrock,1
sculpt,1
wax,1
ulster,1
qualified,1
judge,1
michael,1
young,3
hillsborough,1
croft,1
inn,1
cater,1
manager,1
les,1
simms,1
bbc,1
engineer,1
each,1
win,1
world,4
championship,1
they,9
dromore,1
beekeepers,1
club,1
past,1
two,1
themselves,1
miss,1
not,10
practical,1
dean,3
roland,1
hutchinson,2
might,2
sting,1
himself,2
10,1
manse,1
garden,1
who,7
dream,2
idea,1
four,2
ago,1
denomination,2
difference,3
preacher,2
rev,3
sam,1
millar,1
hazelbank,1
presbyterian,1
coleraine,1
another,1
overtime,1
too,1
much,2
give,1
thanks,1
atrocious,1
season,1
admit,3
offering,1
help,2
finance,1
scheme,1
teach,1
indian,1
tribe,1
argentina,3
good,1
bee-keeping,1
husbandry,1
creggan,6
pray,1
together,3
historical,2
society,3
announce,1
plan,3
ecumenical,3
next,3
near,3
crossmaglen,2
side,4
south,4
armagh,4
border,7
invite,2
dr,5
william,2
marshall,2
vice,1
theological,2
college,2
dublin,2
pope,2
first,2
trip,3
soviet,2
union,2
john,1
paul,1
weekend,3
start,1
once,1
stuff,1
prayer,2
visit,2
september,1
4-10,1
tour,1
baltic,1
state,1
lithuania,1
latvia,1
estonia,1
under,2
moscow,1
rule,1
until,1
1991,1
impossible,1
1989,1
fall,1
berlin,1
wall,1
meanwhile,3
vatican,2
accept,1
unprecedented,1
chinese,1
invitation,1
send,1
top,1
peking,1
attend,2
sport,1
ceremony,1
meet,1
government,1
cardinal,1
roger,1
etchegaray,1
high,1
china,3
since,2
communist,1
come,3
power,1
1949,1
late,1
sign,2
thaw,1
relation,1
between,2
small,2
large,1
nation,1
long,1
sour,1
row,1
role,1
roman,1
widen,1
horizon,2
boost,1
job,2
hope,1
unemployment,1
initiative,1
launch,1
main,2
londonderry,2
wide,1
programme,1
set,1
fund,1
22,1
unemployed,1
travel,1
louisiana,2
united,1
states,1
train,2
care,2
elderly,1
outdoor,1
pursuit,1
shop,1
industry,1
art,1
craft,1
video,2
music,1
reproduction,1
study,2
youth,2
university,1
southwestern,1
where,2
able,1
improve,1
employment,1
opportunity,1
cross-community,2
cross-border,1
project,4
