item,cnt
the,317
jail,4
complex,1
be,248
build,1
in,98
1853,1
final,2
cost,8
"£23,000",1
"£5,000",1
more,12
than,11
what,14
first,3
estimate,1
accord,1
to,168
local,5
folklore,1
contractor,1
who,17
go,25
bankrupt,1
inmate,2
detain,1
for,60
non,1
payment,1
of,153
debt,1
only,11
one,21
prisoner,6
know,25
have,79
escape,2
unaided,1
1875,1
after,10
scale,1
20,6
ft,1
boundary,1
wall,4
scene,2
a,114
hunger,1
strike,2
during,3
war,5
independence,1
it,65
take,12
over,9
by,35
military,1
authority,2
1915,1
1921-23,1
civil,2
100,2
when,20
mine,1
blow,1
hole,2
perimeter,1
1923,1
three,4
execute,1
fire,2
squad,1
1991,1
open,7
louth,1
county,2
council,2
as,20
defence,1
training,1
centre,6
former,1
infirmary,1
convert,1
into,6
office,2
and,132
store,7
house,3
basement,1
two,4
cell-block,1
dunnes,4
get,12
fine,2
beetle,4
infested,1
soup,4
£100,1
14,2
24,3
larva,2
find,12
packet,2
dried,3
eat,3
kilkeel,4
woman,4
firm,2
also,12
order,4
pay,4
£110,1
at,23
newry,2
magistrate,2
's,26
court,1
yesterday,3
charge,2
with,40
sell,1
knorr,1
bavarian,1
not,53
quality,2
demand,4
shop,4
greencastle,1
street,3
mrs,5
lorraine,1
trainor,2
fearon,1
park,4
last,10
january,1
strange,2
rory,1
mcshane,1
mourne,1
say,34
daughter,1
notice,2
something,2
rather,2
about,8
she,43
start,7
discover,2
material,3
rotten,1
that,76
contaminate,1
public,1
analyst,1
contain,1
nine,2
pupal,1
case,5
characteristic,1
australian,2
which,18
attack,1
infest,1
food,1
product,1
infestation,2
there,16
small,1
one-and-a-half,1
millimetre,1
wide,1
through,1
initial,1
could,13
arise,3
counsel,1
plead,1
guilty,1
this,28
occur,2
seem,4
certain,1
happen,6
time,10
manufacture,1
regional,1
gerry,1
harty,1
agree,1
good,6
record,1
buy,4
vast,1
quantity,1
distribution,1
various,1
rail,2
scheme,2
aim,1
elderly,3
on,37
move,3
european,1
year,26
old,6
people,18
ulster,9
introduction,1
special,4
cheap,1
fare,2
republic,5
come,11
week,8
september,4
29,1
organise,1
co-operation,3
north,5
encourage,4
contact,2
between,3
both,4
side,3
border,1
organisation,2
hope,5
will,28
use,2
event,4
visit,6
place,10
interest,2
may,6
hold,6
memory,4
they,39
voucher,2
booklet,2
offer,2
rate,2
accommodation,1
meal,1
entertainment,1
leisure,1
activity,2
available,2
part,3
pensioner,1
northern,8
ireland,10
need,2
produce,3
ulsterbus,1
concession,1
pass,1
or,23
bus,1
ticket,1
give,5
discount,1
tony,1
kennedy,1
chief,2
