item,cnt
northern,31
ireland,34
short,9
course,12
for,200
student,5
teenager,6
face,10
the,1301
last,37
two,52
year,43
of,521
compulsory,1
schooling,1
will,97
be,888
able,6
to,606
study,6
new,36
as,89
an,78
alternative,6
full,7
gcse,4
one,45
curriculum,1
council,37
have,300
launch,8
four,19
consultation,2
report,12
in,472
art,6
and,479
design,15
technology,1
drama,1
music,3
they,154
apply,5
fourth,2
fifth-former,1
aim,3
at,165
provide,11
pupil,5
with,139
more,46
choice,1
flexibility,1
during,13
before,22
can,39
leave,10
school,10
say,174
would,55
no,38
than,35
half,7
a,543
allow,7
concentrate,2
on,205
other,40
subject,3
choose,2
plan,22
exist,2
extend,4
list,11
business,8
geography,1
history,2
media,1
home,37
economics,1
lisburn,8
hospital,36
scheme,10
lagan,3
valley,5
nearly,4
double,3
it,168
workload,2
only,21
slight,3
increase,11
cost,16
public,16
meeting,17
hear,13
dr,18
colin,2
patten,2
general,11
manager,7
down-lisburn,2
unit,8
gear,2
itself,8
up,36
deal,10
patient,10
case,30
load,2
by,161
45pc,2
14pc,2
budget,6
consultant,6
appoint,2
far,15
call,28
persuade,3
eastern,2
health,15
board,8
retain,2
acute,2
service,25
due,9
meet,24
later,8
this,82
month,20
decide,11
how,12
area,21
deliver,2
future,5
boston,2
queen,4
's,115
support,17
parent,7
boy,8
who,73
suddenly,1
withdraw,2
into,29
silent,1
world,14
send,13
message,2
from,90
leslie,1
linda,2
skelhorne,1
runcorn,1
receive,8
letter,13
wish,2
well,16
bid,6
raise,6
cash,2
shaun,1
five,7
higashi,1
institute,2
he,242
yesterday,24
centre,6
autism,1
after,43
donation,5
reach,5
"£25,000",1
isle,3
wight,3
back,18
track,4
pair,4
100-year-old,1
railway,4
carriage,2
return,12
restoration,1
rail,5
buff,1
once,4
couple,2
together,3
merstone,1
ventnor,1
west,15
branch,1
line,5
but,91
sell,5
become,7
seaside,2
chalet,1
1938,1
now,25
vehicle,6
re-unit,1
steam,1
scotland,8
campers,1
burn,7
hampshire,1
camper,1
treat,4
tent,1
destroy,5
fire,8
site,9
blaze,2
bunchrew,1
park,9
start,5
when,38
simon,1
kent,3
25,2
fareham,1
joanne,1
womar,1
23,6
portsmouth,1
change,11
refill,1
gas,1
lamp,1
hand,16
arm,4
raigmore,1
inverness,1
selby,2
job,13
offer,13
some,33
woman,33
sack,2
dispute,3
mushroom,2
firm,5
about,37
dozen,4
give,21
chance,4
middlebrook,1
whitley,1
farm,3
near,14
north,7
yorks,1
day,24
lose,7
fight,11
take,35
tribunal,1
vietnam,3
flood,2
kill,22
41,2
monsoon,1
flash,1
sweep,1
away,9
bus,4
passenger,8
state-run,1
radio,3
official,15
voice,8
ford,1
rain-swollen,1
stream,1
quang,1
ninh,1
province,13
east,3
hanoi,1
nineteen,1
survive,4
monitor,3
bangkok,1
egypt,4
policeman,3
murder,17
suspected,2
muslim,2
extremist,2
shoot,12
dead,8
plainclothe,1
assiut,1
southern,5
police,42
among,10
main,3
target,8
seek,3
turn,9
islamic,1
theocracy,1
200,1
people,56
die,16
violence,13
over,38
past,5
20,10
aries,1
mar,2
21,7
apr,2
you,51
quickly,4
find,34
way,25
solve,2
problem,11
feel,15
most,4
enterprising,1
excitement,1
surround,3
love,7
life,11
if,32
fancy,1
free,8
may,10
yourself,7
fun,2
evening,7
starline,12
number,25
0891,1
332,1
765,1
taurus,1
hard,2
off,15
today,51
work,25
colleague,6
not,97
any,20
help,15
could,30
socialise,1
good,22
time,30
visit,18
766,1
gemini,1
jun,2
22,10
jul,2
travel,7
long,12
or,47
distance,2
should,18
care,8
where,15
finance,1
concerned,6
spend,8
allowance,2
entertainment,2
767,1
cancer,1
july,5
optimistic,1
generous,1
mood,4
flock,2
around,16
try,15
splash,1
out,41
too,11
much,7
spoil,3
those,22
romance,2
star,2
768,1
leo,1
aug,2
relationship,3
form,6
very,27
important,4
great,15
wedding,2
engagement,2
attend,9
party,29
close,10
friend,4
769,1
virgo,1
sep,2
draw,2
attention,4
argument,3
ensue,1
loved,1
rift,2
argumentative,1
forgive,1
forget,2
possible,7
770,1
libra,1
24,8
oct,2
come,16
under,9
cloud,1
enjoy,2
mix,1
pleasure,1
so,20
there,54
opportunity,5
advancement,1
grab,2
771,1
scorpio,1
nov,2
hope,9
favour,2
do,43
push,3
luck,1
also,34
-so,1
careful,1
friendship,2
intense,1
772,1
sagittarius,1
dec,2
ideal,1
sort,4
especially,3
trip,11
keep,8
move,18
wherever,1
gain,2
flit,1
here,9
opposite,2
sex,3
figure,7
773,1
capricorn,1
jan,2
someone,6
make,35
see,13
learn,8
something,6
advantage,2
774,1
aquarius,1
