item,cnt
we,17
promise,1
full,2
consultation,2
at,7
all,6
time,3
it,8
have,12
be,51
report,3
that,15
the,60
flaybrick,1
chapel,2
in,20
boundary,2
road,2
bidston,3
to,34
renovate,1
and,38
turn,1
into,2
a,24
crisis,2
centre,6
for,20
birkenhead,1
as,5
vicar,1
of,37
deeply,1
involved,1
plan,3
may,2
i,18
correct,1
few,1
misleading,1
rumour,1
firstly,1
any,4
complex,1
only,4
embryonic,1
form,1
no,7
money,2
whatsoever,1
kitty,1
thing,1
very,3
early,2
stage,2
development,1
always,1
intention,1
call,1
public,1
meeting,1
interested,1
party,1
once,1
something,1
definite,1
would,6
never,2
dream,1
begin,2
anything,2
this,11
kind,2
without,2
gain,1
view,2
local,4
resident,1
secondly,1
well,1
aware,1
idea,3
conjure,1
up,4
picture,1
perhaps,1
not,13
good,2
way,3
describe,1
what,3
envisage,1
somewhere,1
open,2
staff,1
24,1
hour,3
day,3
seven,2
week,6
where,2
anybody,2
can,8
come,2
help,2
advice,1
aim,1
link,1
with,2
caring,1
agency,1
area,2
provide,1
care,1
assistance,1
when,3
need,1
activity,2
take,5
place,2
around,1
refurbished,1
building,3
carefully,1
control,1
troublesome,1
much,2
an,6
extension,1
st,2
oswald,2
's,7
church,2
village,1
since,2
vandalism,1
cease,1
thirdly,1
screen,1
from,4
rest,2
cemetery,1
entrance,2
on,8
please,2
assured,1
nothing,2
will,6
get,3
beyond,2
preparation,1
if,5
anyone,2
far,1
question,2
do,4
hesitate,1
contact,1
tel,1
ice,7
cream,3
charge,6
certainly,1
change,1
1920s,1
stop,2
buy,1
one,5
trike,1
racket,1
summer,1
demand,2
increase,3
so,3
opportunity,1
arise,1
vendor,1
overcharge,1
especially,1
parent,2
treat,1
they,20
child,7
price,1
vary,1
considerably,1
also,3
apply,1
quality,1
recently,1
£1.45,1
cornetto-type,1
choc,2
there,3
number,1
wall,2
sticker,1
van,1
think,4
make,3
sweetshop,1
genuine,1
cornetto,1
£1.10,1
name,1
address,1
supply,1
strong,2
campaign,2
read,3
letter,1
head,1
white,1
elephant,1
which,2
concern,1
playhouse,1
everyman,1
william,1
roberts,1
find,3
amazing,1
reader,2
mrs,2
j.,1
effort,1
castigate,1
another,3
community,2
norris,1
green,1
fight,1
keep,2
asset,1
most,1
socially,1
economically,1
deprive,1
city,3
state,2
people,6
who,4
want,3
these,8
facility,3
should,3
pay,5
she,10
access,2
free,2
fee,1
amenity,1
quote,1
outfit,1
lose,1
because,2
sense,1
why,4
such,1
murder,2
victim,1
fiona,5
jones,3
justice,2
french,4
farce,1
absurdly,1
lenient,1
sentence,1
give,1
frederic,1
blancke,1
hospital,1
worker,4
brutally,1
british,2
school,1
teacher,1
travesty,1
after,2
attack,1
leave,2
dead,1
he,2
later,1
return,1
repeatedly,1
slash,1
throat,2
ignore,1
plea,1
mercy,1
monster,1
could,1
possibly,1
kill,1
again,2
less,1
than,3
year,1
therefore,1
judicial,1
system,1
must,4
least,1
review,1
erroneous,1
judgement,1
mother,2
say,1
set,1
foot,1
france,1
treatment,1
by,4
towards,1
fisherman,1
farmer,1
trucker,1
too,1
bad,1
criterion,1
many,2
support,1
ask,2
you,1
mp,1
cause,3
echo,3
june,2
1st,3
headline,1
earth,2
boss,2
wirral,2
social,3
service,3
about,5
late,1
crazy,1
scheme,1
send,1
out,1
instruction,1
child-minder,1
feed,3
young,3
culture,1
food,3
apparently,1
mean,3
curry,3
etc,1
acquired,1
taste,1
heavily,1
spiced,1
surely,1
suitable,1
stomach,1
english,1
see,2
fit,1
just,1
ethnic,1
group,1
force,1
strange,1
down,2
enhance,1
race,2
relation,1
then,1
bark,1
wrong,1
tree,1
teach,1
respect,1
different,2
live,2
peacefully,1
together,1
expect,2
deputy,1
director,1
seriously,1
suggest,1
feeding,1
toddler,1
counteract,1
evil,1
racism,1
look,1
top,2
page,1
certain,1
date,2
april,1
princess,2
diana,2
under,2
fire,1
d.p.,1
bootle,1
di,1
know,3
life,2
ordinary,1
everyday,1
inner,1
deprivation,1
squalor,1
even,1
comprehend,1
how,3
feel,1
bring,2
benefit,1
or,2
frustration,1
despair,1
likelihood,1
ever,1
meaningful,1
employment,1
nor,1
yet,1
here,1
television,1
tell,1
manage,1
formulate,1
phrase,1
best,1
overcome,1
adversity,1
those,1
grey,1
establishment,1
figure,1
put,1
palliative,1
mouth,1
order,1
mitigate,1
credibility,1
crown,1
£22.50,2
more,2
noise,1
trouble,1
over,3
poll,1
tax,6
now,3
council,3
implement,1
dicky,1
bird,1
labour,1
liberal,1
big,1
electric,2
gas,2
every,1
other,3
fuel,1
still,1
shouting,1
rent,1
approximately,1
wonder,1
pension,1
meet,1
some,1
disgrace,1
valuation,1
lot,1
councillor,1
40hr,1
controversy,1
concerning,1
eec,1
directive,1
working,3
48,1
belief,1
continued,1
process,2
work,1
understand,1
numerous,1
reason,1
impossible,1
40,1
sickness,1
require,1
skilled,1
shift,1
fill,1
gap,1
selected,1
holiday,1
effect,1
slight,1
rise,1
wage,1
account,1
overtime,1
clean,1
maintenance,1
machinery,1
politician,1
inquire,1
before,1
speak,1
trash,1
harmony,2
everybody,1
each,1
sick,1
argue,1
colour,1
affect,1
suffer,1
consequence,1
