item,cnt
corsa,4
be,33
recall,3
after,3
blaze,1
some,5
of,16
vauxhall,3
's,2
new,2
car,4
feature,1
in,19
an,4
extravagant,1
£3m,1
tv,2
commercial,1
with,3
top,2
model,3
girl,1
have,11
burst,1
into,1
flame,1
the,43
company,2
say,4
yesterday,3
announce,1
on,5
may,2
28,2
that,6
all,1
"5,128",1
it,6
uk,2
corsas,1
because,1
electrical,1
fault,1
but,3
confirm,1
faulty,1
wiring,2
case,5
lead,1
to,12
burn,1
a,17
question,1
not,1
rout,1
correct,1
way,1
and,11
this,1
cause,1
chafing,1
or,2
short,1
circuit,1
spokesman,2
most,1
we,2
hear,1
there,3
no,1
real,1
problem,1
fire,1
so,2
decide,1
as,3
purely,1
precautionary,1
move,2
work,1
spanish,1
build,1
do,1
free,1
charge,1
such,1
linda,1
evangelista,1
naomi,3
campbell,2
kate,1
moss,1
appear,2
advert,2
for,8
receive,1
more,2
publicity,1
when,3
feminist,1
group,1
complain,1
shot,1
leather,1
outfit,1
complete,1
whip,1
fantasy,1
bondage,1
scene,2
sexist,2
disgusting,1
however,1
independent,1
television,1
commission,1
rule,1
tongue-in-cheek,1
rather,1
than,1
sinister,1
any,1
one,1
post-9pm,1
slot,1
replacement,1
nova,1
ninth,1
1993,1
ten,1
seller,1
list,1
by,3
daily,1
post,1
correspondent,1
hi-tech,1
scanner,7
use,2
surgeon,2
battle,2
try,1
save,1
life,2
ira,1
bomb,1
victim,2
tim,6
parry,3
dedicate,1
he,8
memory,1
twelve-year-old,1
first,1
patient,1
"£500,000",1
cling,1
suffer,1
horrific,1
head,1
injury,1
warrington,4
bombing,6
outrage,1
',1
vain,1
die,1
now,4
computed,1
tomograph,1
ct,3
name,1
will,1
officially,1
open,1
parent,1
colin,1
wendy,1
at,4
special,1
ceremony,1
walton,3
centre,3
neurology,1
neurosurgery,1
liverpool,1
june,1
representative,1
everton,3
football,1
club,2
expect,1
present,1
from,2
great,1
sankey,1
dedicated,1
fan,1
shop,1
strip,1
day,2
bridge,2
street,2
player,1
who,1
visit,1
during,1
final,1
give,1
shirt,1
which,1
later,1
bury,1
philips,1
tomascan,1
lx,1
only,1
just,1
install,1
take,1
place,2
transfer,1
general,1
hospital,1
could,1
regional,1
health,1
authority,1
superior,1
design,2
old,1
image,1
quality,1
vastly,1
improve,1
include,1
3d,1
facility,1
meantime,1
tendering,1
process,1
purchase,1
own,1
start,1
following,1
major,1
boost,1
fund-raiser,1
since,2
appeal,2
co-ordinator,1
jack,1
froggatt,1
town,1
raise,1
awareness,1
need,1
money,1
come,1
much,1
quicker,1
then,1
hope,1
reach,1
£1m,1
target,1
autumn,1
trustee,1
administer,1
fund,1
set,1
up,1
approve,1
memorial,1
atrocity,1
remember,1
