item,cnt
the,83
northern,1
echo,1
one-year-old,1
neil,1
ferdowsian,1
and,26
he,11
family,1
who,5
belong,1
to,23
baha'i,2
faith,3
be,49
among,1
hundreds,1
join,1
in,19
an,3
inter-faith,1
service,5
lead,1
by,8
bishop,2
of,30
middlesbrough,9
augustine,2
harris,2
on,7
saturday,1
follower,1
buddhist,1
christian,2
sikh,1
muslim,6
hindu,1
jewish,1
pray,1
for,15
peace,1
conciliation,1
world,1
during,2
cathedral,1
church,3
st,4
mary,1
coulby,1
newham,1
top,2
guidance,1
theologian,1
from,4
durham,2
newcastle,1
university,2
will,9
help,1
500,1
north,3
sixth,1
former,1
prepare,2
they,8
a-level,1
religious,2
study,2
exam,1
at,12
annual,1
day,2
organise,1
england,1
institute,1
education,1
march,2
20,1
hartlepool,1
conservative,1
candidate,2
graham,1
robb,1
say,18
party,2
right,1
promise,3
sale,1
teesside,2
airport,2
's,5
development,1
would,5
fast,1
private,1
sector,1
three,2
take,2
part,2
a,29
forum,1
7.30pm,1
april,1
1,1
george,1
united,1
reformed,1
redcar,1
liberal,1
democrat,1
chris,1
abbott,1
shocked,1
figure,1
which,2
show,2
langbaurgh,1
council,5
need,4
spend,1
£60m,1
bring,3
it,3
housing,1
stock,1
up,1
modern,1
standard,1
tackle,1
problem,1
worst,1
first,1
basis,1
head,1
order,4
fly,1
rome,1
lay,2
foundation,1
stone,2
new,3
pastoral,3
centre,8
north-east,1
yesterday,3
brother,2
brian,1
o'donnell,1
prior,1
general,1
hospitaller,1
john,2
god,2
viewley,1
hemlington,1
this,5
set,2
motion,1
final,1
phase,1
project,2
start,2
1988,1
when,2
invite,2
research,1
people,9
area,1
anita,1
foster,1
speak,1
hospital,1
scorton,1
near,5
richmond,1
yorkshire,1
there,7
great,1
cost,1
around,1
"£700,000",1
donation,1
care,2
with,5
learning,1
difficulty,1
major,1
feature,1
along,2
support,2
counselling,1
elderly,1
infirm,1
sick,1
also,2
place,2
worship,2
living,1
quarter,1
four,1
administer,1
should,2
open,1
end,1
october,1
row,1
over,2
plan,4
mosque,7
provide,1
ammunition,1
fiery,2
public,3
meeting,5
tonight,3
complaint,1
about,3
procedure,1
funeral,3
hold,1
have,12
dismiss,1
as,5
complete,1
misunderstanding,1
community,4
leader,1
but,6
resident,6
claim,2
horrified,2
building,6
voice,1
fear,2
live,3
junction,1
princes,2
road,4
bow,3
street,4
keep,2
dark,1
reason,1
recent,1
work,2
spokeswoman,1
lesley,1
austin,5
we,12
know,2
washroom,2
rear,1
worried,2
emotional,1
impact,1
child,2
if,3
body,8
come,1
go,1
into,3
wash,4
concerned,1
possible,3
health,2
risk,1
depreciation,1
house,4
price,1
mrs,4
"1,000",1
sign,1
petition,2
oppose,1
dr,4
hanif,2
mohammed,4
get,1
wrong,3
idea,1
just,2
improve,1
upgrade,1
facility,1
symbolically,2
might,1
happen,3
no,5
more,2
than,2
once,1
or,2
twice,2
every,1
year,3
depend,1
how,1
often,1
die,1
serve,1
west,1
linthorpe,1
accuse,1
behave,1
underhand,1
manner,1
consult,3
down,2
see,1
tell,1
not,3
because,2
affect,2
she,2
add,1
unload,1
outside,1
you,2
then,3
worry,1
store,1
overnight,2
stress,1
that,2
bury,1
dead,1
quickly,1
here,1
undertaker,1
ceremonially,1
away,1
immediately,2
afterwards,1
unconvinced,1
massive,1
can,1
without,1
let,1
anyone,1
spokesman,2
doug,1
allan,2
planning,1
application,1
involve,1
change,1
use,3
approval,1
give,1
july,1
1990,1
last,1
mr,1
deny,1
obstructive,1
several,1
visit,1
authority,1
elected,1
representative,1
attend,1
meting,1
explain,1
position,1
7.45pm,1
neighbourhood,1
union,1
appear,1
resolve,1
dispute,1
local,1
adaptation,1
corner,1
mean,1
morgue,1
shift,1
out,1
full,1
view,1
young,1
collect,1
"1,000-signature",1
after,4
now,1
seem,1
understand,1
build,1
maybe,1
two,2
per,1
remove,1
driver,1
flee,1
cause,1
crash,1
forester,1
drive,4
way,2
dual,2
carriageway,2
escape,1
police,1
hit,1
another,1
car,2
thirsk,3
magistrate,1
hear,1
christopher,1
todd,2
19,1
boltby,1
land,1
rover,1
path,1
a168,1
injure,1
off,2
jane,1
cockburn,1
prosecute,1
blood,1
test,1
reveal,1
almost,1
legal,1
alcohol,2
limit,1
admit,1
excess,1
fail,1
stop,1
report,2
accident,1
case,1
adjourn,1
hen,2
raid,2
thief,1
ripon,1
make,1
nine,1
bird,1
worth,1
total,1
£180,1
studley,1
