item,cnt
the,2400
northern,37
echo,4
former,20
cbi,3
chief,28
sir,12
terence,3
beckett,1
claim,26
north-east,47
small,31
business,107
have,548
a,800
good,36
chance,11
of,990
survival,3
than,50
they,237
counterpart,1
elsewhere,7
in,760
country,17
what,35
i,103
find,16
region,31
be,1268
that,191
because,27
it,387
experience,14
more,79
downturn,2
other,43
part,36
uk,19
resilience,1
to,1024
dip,3
economy,4
may,19
take,65
he,320
say,311
by,203
contrast,2
talk,15
and,894
medium-sized,2
south-east,2
often,3
only,41
ever,3
one,62
recession,8
current,11
can,53
prove,6
fatal,1
also,62
fall,18
inflation,5
rate,13
announce,14
yesterday,57
would,94
help,47
add,28
while,27
formally,1
open,43
teesside,49
tec,23
's,282
growth,8
centre,84
premise,9
at,269
queen,7
square,7
middlesbrough,203
operation,17
since,16
last,81
month,32
give,35
advice,11
around,27
six,16
establish,4
day,29
splendid,1
facility,7
allow,14
existing,11
businessperson,1
who,65
want,27
grow,5
all,84
possible,6
or,54
she,29
need,41
executive,24
john,29
howell,6
new,106
aim,19
on,323
three,43
front,8
plan,58
marketing,13
technology,10
we,206
500,2
set,29
up,80
year,128
now,42
try,11
target,8
some,49
"8,000",1
should,40
look,21
use,31
so,40
far,21
200,5
do,81
dole,4
shock,2
with,197
nine,8
out,64
every,14
ten,5
eec,1
job,33
lose,10
being,2
britain,12
unemployment,17
champion,2
europe,9
cleveland,61
north,53
yorkshire,31
euro,3
mp,8
david,24
bowe,2
inter,1
city,82
industrial,21
development,73
staff,18
sunderland,20
civic,5
town,52
hall,20
lot,17
live,15
amid,3
celebration,2
become,13
united,5
kingdom,1
there,82
much,15
investment,27
follow,14
wake,2
announcement,4
remain,9
see,29
whether,11
those,22
word,4
hope,21
turn,11
into,44
result,15
but,125
suspect,1
status,3
for,419
will,228
not,139
panacea,1
as,180
believe,9
after,43
think,15
big,23
effective,1
promotional,2
vehicle,3
'britain,1
51st,1
assess,3
how,15
fare,8
interest,19
focus,2
derby,4
upgrade,2
majesty,1
radio,7
interview,4
lord,7
mayor,3
offer,32
high,20
newcomer,1
merry,1
band,2
speak,9
bullishly,1
relocation,1
course,7
arrival,1
toyota,2
boom,1
conclude,1
national,28
link,16
early,17
success,18
darlington,49
an,102
initiative,19
design,9
venture,7
bring,22
local,52
trading,14
company,152
together,9
latch,1
organisation,5
accord,7
busy,4
manager,71
ken,3
lee,5
woodland,4
road,42
office,46
contact,5
several,9
which,122
interested,3
emulate,2
london,14
east,16
case,24
point,6
impress,1
adopt,6
questionnaire,2
logo,1
pity,1
franchise,6
these,19
thing,10
nom,1
de,3
plume,1
talking,1
receive,38
curious,1
release,6
about,55
appointment,10
westminister,1
bank,30
like,30
you,30
bog-standard,1
application,9
form,12
detail,17
appointee,1
biographical,1
intriguing,1
gentleman,1
question,10
fill,3
first,44
second,14
third,6
name,17
room,7
if,45
feel,7
inclined,1
tell,27
forename,1
nickname,2
popularly,1
know,18
wisely,1
opt,1
keep,13
simple,1
put,29
brickbat,1
redland,3
brick,4
tile,1
make,69
hostile,1
bid,47
steetley,3
platform,1
offensive,1
devon,2
from,188
both,24
no,47
synergy,1
between,22
two,60
sheltered-housing,1
complex,6
product,15
build,49
district,15
council,153
enter,6
1992,6
quality,17
award,21
redlands,1
',22
multi-coloured,1
large,14
projecting,1
bay,6
building,48
show,21
perfect,2
fit,5
fiance,1
director,36
gerald,1
corbett,1
black,5
british,27
coal,6
again,9
reader,1
remember,3
advertising,4
campaign,3
convince,4
power,12
generator,1
place,20
any,41
future,20
contract,23
describe,6
lad,11
down,32
pit,4
millionaire,1
then,18
businessman,9
less,7
week,47
wearmouth,2
colliery,2
disaster,1
when,47
underground,4
train,19
carry,11
miner,1
derail,1
kill,2
advert,1
appear,7
title,3
this,89
time,43
world,8
most,30
advanced,2
michael,10
heseltine,4
break,11
passing,1
judgement,2
scheme,65
architect,6
property,40
developer,11
decide,17
own,26
house,69
order,11
secretary,15
state,14
environment,21
tower,3
19-storey,1
toast-rack,1
department,26
work,64
demolish,1
marsham,1
street,18
adjudge,1
too,8
brutal,1
landscape,1
knock,5
replace,4
single,6
six-storey,1
move,24
win,23
acclaim,1
planner,4
capital,8
envy,1
professional,2
including,19
northeast,6
seem,9
marvellous,1
solution,4
rid,4
past,12
mistake,2
just,31
happen,11
rebuild,1
expense,4
public,21
purse,1
independent,10
consultant,8
jonathan,1
landes,1
could,60
call,26
over,59
gleefully,1
list,18
particular,6
regional,20
carbuncle,1
ripe,1
demolition,3
neville,1
whittaker,3
ebullient,1
trust,9
many,23
bad,8
great,13
deal,25
left,3
standing,2
invoke,1
confine,1
himself,5
newcastle,35
depressing,2
role,12
mediocre,1
plain,2
ugly,5
block,5
number,27
tyne,10
towers,1
go,66
cuthbert,1
aidan,1
surround,1
dwarf,1
saint,1
church,6
present,8
welcoming,1
entrance,2
come,35
across,8
bridge,11
neither,2
cale,1
cross,4
unfortunate,1
disrupt,1
quayside,1
skyline,1
yet,10
tragic,1
example,6
1960s,1
swan,5
boring,1
t-square,1
set-square,1
architecture,3
modernism,1
further/far,8
south,23
polytechnic,9
ready,1
treatment,5
1950s,1
shudder,1
york,22
where,24
brutalist,1
head,21
attract,7
disgust,1
stonebow,2
shopping,11
peter,14
summers,1
society,24
whole,9
remove,4
mainly,4
ugliness,1
impact,13
nearby,4
elizabethan,1
whip-ma-wop-ma-gate,1
learn,8
lesson,3
general,20
accident,2
riverside,3
complementary,1
traditional,7
stockton,64
rough,2
hand,8
rowland,1
holmes-smith,1
principal,1
p&hs,1
chairman,50
rib,1
branch,30
easy,2
leave,29
start,31
get,44
nothing,5
celebrate,2
coulby,6
newham,6
ingleby,1
barwick,1
well,22
slave,1
car,15
back,22
understand,4
purpose,2
community,34
castle,2
mar,1
rear,1
destroy,1
relationship,2
river,16
very,17
natural,3
asset,5
george,11
oldham,4
private,17
practice,7
under,29
advocate,1
drastic,1
wholesale,2
sixties,2
seventies,2
outdated,1
moment,2
against,21
bland,1
thank,1
metrocentre,1
category,2
something,6
superb,1
site,25
exciting,3
dislike,1
st,7
martins,1
develop,12
dominate,2
blackett,1
despite,10
ream,1
publicity,3
respect,3
dobson,1
grainger,1
original,6
mere,1
slavish,1
copy,6
definitely,4
wonderful,2
junior,1
minister,10
robert,2
key,11
litany,1
perhaps,11
realisation,1
modern,3
worthy,1
praise,3
cummins,1
engine,1
factory,8
roche,1
dinkeloo,1
60s,1
solitary,1
recent,7
unanimous,1
thumbs-up,1
man,16
stuart,14
fancourt,1
appoint,37
post,12
electric,7
formerly,4
sales,24
responsible,12
maintain,5
strengthen,1
economic,20
agency,11
promote,11
overseas,1
industry,15
sheila,1
tindle,1
28,5
stockbroker,4
wise,14
speke,14
client,2
portfolio,3
alan,13
munkley,1
39,2
fastflow,1
pipeline,3
service,44
newly-formed,2
joint,5
water,15
german,4
brochier,1
rohrsanierungstechnic,1
gmbh,1
specialise,2
mains,1
lay,5
rehabilitation,1
utility,1
taylor,4
37,2
divisional,1
newcastle-based,4
imass,1
integrated,1
information,14
join,27
fairbairn,1
54,1
external,1
ward,2
33,4
account,10
yarm-based,3
rdw,3
previously,11
craven,1
advertsing,1
leeds,9
laing,1
change,11
management,24
structure,3
chambers,1
35,3
commercial,15
estimate,4
purchase,7
activity,12
ian,9
vickers,1
patrick,2
boyle,1
24,8
carol,1
anne,3
belasis,1
park,20
ici,19
english,4
estate,24
wild,1
senior,13
westminster,3
albert,5
hildreth,1
robin,2
roberts,3
hoskyns,1
automation,1
control,9
division,7
peterlee-based,1
supplier,4
computer,4
finlay,1
co-ordinator,2
tyneside,17
builder,9
&,26
tawse,2
"£500,000",3
refit,1
texas,1
home,51
improvement,9
smith,7
postgraduate,1
programme,24
school,15
board,15
study,6
durham,32
university,5
master,1
administration,3
degree,6
mark,15
wood,7
partner,6
law,7
firm,34
wilkinson,1
maughan,1
litigation,1
richard,7
brown,5
low,6
cost,39
sale,16
housing,59
project,48
challenge,43
cash,30
bellway,4
urban,4
renewal,3
140,2
three-bedroomed,3
flat,4
netherfields,2
green,9
£6.5m,2
£1.4m,2
government,46
grant,19
price,27
people,78
hopefully,2
afford,4
provide,27
7.6,2
acre,6
land,23
"£32,500",1
"£48,000",1
keen,6
encourage,11
tenant,26
waiting,13
buy,24
coun,25
bob,11
brady,10
committee,17
unable,1
itself,8
closely,4
sector,19
councillor,9
vote,3
cut,11
allowance,6
per,20
cent,11
spending,7
within,10
limit,6
member,22
approve,4
base,19
"£1,868",1
special,6
responsibility,4
pay,25
leader,24
vice,1
solicitor,21
colin,3
crosman,1
policy,13
resource,12
subcommittee,2
total,18
1992–93,3
equivalent,2
90pc,2
tory,4
jackson,2
huge,5
inequity,1
lump,1
sum,5
difficulty,6
meeting,9
achieve,6
quorum,1
payment,8
attend,7
carr,14
labour,12
apart,2
hold,16
during,18
recess,1
aware,6
basic,1
each,15
reduce,7
"£1,681",1
monthly,3
basis,6
£140.12,1
"£1,000",2
£900,2
deputy,4
£800,4
£720,2
bus,17
legal,16
action,22
unpaid,7
debt,13
caldaire,13
owe,8
almost,17
"£800,000",9
langbaurgh,25
reimbursement,2
subsidised,2
pensioner,12
travel,18
borough,22
managing,16
mike,13
widmer,10
launch,8
scathing,1
attack,3
authority,30
charge,18
oap,4
greed,1
avarice,1
transport,16
incapable,1
budget,8
warn,8
free,11
pass,7
increase,28
£5,5
blame,2
tough,5
mr,113
winder,1
night,16
never,5
written,1
agreement,13
full,16
concerned,3
pre-agreed,1
percentage,1
deduct,1
fail,11
fully,5
reimburse,3
line,19
1989,6
"1,300",4
employee,10
threat,3
arthur,4
spokesman,12
clark,5
comment,9
premature,1
discussion,6
continue,11
congested,1
hamper,3
letting,4
enterprise,20
zone,5
adrian,3
newman,3
knottingley-based,1
paul,14
caddick,1
potential,10
cadcam,2
off,26
poor,7
access,8
four-year-old,1
promise,10
county,39
rectify,1
problem,35
even,12
though,7
market,45
thick,2
ground,3
normal,3
traffic,9
improve,20
until,18
inaction,1
shortsighted,1
survey,6
agent,17
driver,6
jona,1
32pc,1
situate,1
walsh,5
rebut,1
criticism,3
share,24
concern,5
onto,1
shall,2
meet,13
party,10
near,19
resolve,3
situation,3
corporation,17
spokeswoman,6
udc,1
problematical,1
hartington,1
interchange,1
although,12
highway,1
tdc,2
ez,1
anything,4
stop,5
offshore,6
running,6
construction,6
worth,13
£50m,2
slp,3
engineering,13
redpath,4
submit,6
tender,3
"5,000-tonne",1
accommodation,6
oil,9
conoco,4
heidrun,2
field,14
norway,1
end,18
1991,8
likely,7
hear,9
outcome,2
before,14
four,18
norwegian,1
fight,4
lucrative,1
geoff,2
race,2
yard,2
950,1
capacity,2
successful,5
timing,2
absolutely,2
complete,10
major,23
slack,1
due,9
deliver,1
rig,1
leg,1
gas,4
morecambe,1
module,1
agip,1
tiffany,1
weedon,1
hopeful,3
secure,4
another,24
marketplace,2
report,18
suggest,8
supply,12
drilling,1
process,5
package,9
value,13
mistreat,1
rail,10
passenger,2
probably,5
prefer,2
forget,2
life,15
mental,2
note,5
class,3
ridiculously,1
complicated,1
ticket,14
system,10
occasionally,3
recall,3
horror,2
event,12
conversation,3
delay,1
hour,11
divert,2
50,5
mile,5
way,31
heating,5
buffet,1
listen,1
mood,1
resignation,1
insufficient,1
mcardle,7
instead,4
br,7
court,13
ample,1
opportunity,16
avoid,2
proceeding,5
urge,7
deserve,1
prepared,7
tolerate,1
enough,5
rudeness,1
inefficiency,1
decrease,1
consider,13
right,11
necessary,2
incur,1
message,5
themselves,10
quite,6
simply,3
fairly,3
strong,7
middleton,4
dismal,1
sort,5
wife,5
return,10
short,3
venice,1
plane,1
arrive,7
king,5
station,14
bind,4
clutch,1
pre-paid,1
apex,4
reserve,6
seat,3
2.30pm,4
1.30pm,1
traveller,3
mcardles,3
minute,3
empty,8
nobody,3
check,3
duly,2
entitled,1
pull,2
conductor,2
round,3
notice,5
eligible,1
journey,2
agree,15
disembark,1
peterborough,2
wait,4
inspector,7
interrupt,2
excess,5
meanwhile,4
able,14
explain,8
term,7
must,11
mean,7
wrongly,1
assume,1
long,12
attitude,3
demand,8
money,27
write,7
complain,2
justification,2
circumstance,2
reply,5
remind,1
letter,6
threaten,6
confuse,1
unilaterally,1
renege,1
condition,1
pertain,1
sue,3
lodge,2
defence,5
late,11
£40,2
plus,7
cheque,8
fact,4
sorry,1
tale,3
indeed,2
advantage,5
lawyer,2
expertise,5
determination,2
principle,3
press,9
apology,2
complaint,12
matter,10
close,11
ask,27
appropriate,3
let,9
largely,1
permitted,1
oh,2
alternative,7
once,6
read,1
paper,5
additional,4
sympathy,1
mind,5
£750m,1
run-down,1
area,57
welcome,16
proposal,12
critic,3
create,14
loser,2
winner,4
57,1
include,35
hartlepool,27
gateshead,11
twenty,1
shortlist,1
detailed,1
next,23
£7.5m,1
five,23
considerably,2
£1bn,2
commit,3
pamela,2
denham,1
wear,6
team,28
solely,1
merit,1
vision,1
imagination,1
innovation,1
involvement,2
forward,4
core,2
whinney,4
grove,5
hill,11
extra,10
why,5
same,16
commitment,6
drive,8
retain,2
reservation,1
riot-torn,1
meadow,3
among,7
resubmit,1
regenerate,3
later,6
gibson,2
excellent,3
imaginative,1
ted,2
horseman,1
planning,17
partnership,9
already,23
response,3
encouraging,6
jeremy,3
beecham,1
association,23
metropolitan,1
worker,8
union,7
wage,3
reduction,3
working,5
"2,000",6
lorry,3
organiser,3
allan,4
gray,1
realistic,2
employ,5
respond,3
similar,6
fashion,2
lock,1
impasse,3
allegedly,2
ltd,4
deny,6
motor,6
tees,18
short-change,2
concessionary,4
agreed,2
amount,14
operate,11
little,5
reach,7
settlement,3
ridiculous,1
eye,1
adhere,1
cash-limited,1
brian,7
contractual,1
obligation,1
bewildered,1
faith,1
patience,1
thin,1
inclination,1
negotiate,3
demonstrate,3
flexibility,2
reasoned,2
debate,5
subject,10
involved,6
such,21
representative,9
remark,1
surprising,1
introduce,6
100pc,1
rebate,1
least,6
poll,11
tax,18
pre-budget,1
£16,1
adult,4
administer,1
£7,2
old,15
rating,2
clearly,3
cause,8
immense,2
hardship,3
door,9
youth,6
today,13
visit,5
currently,13
lease,3
douglas,1
helen,1
marshall,1
mari,2
discuss,3
workspace,1
available,15
through,19
telephone,5
training,28
february,8
10.30am,3
5.30pm,1
nmi,1
guidance,1
medium,2
sized,2
woman,3
participate,1
entitle,1
markete,2
£94m,3
boost,10
inadequate,5
nick,2
federation,1
certainly,6
require,2
complement,1
funded,2
reveal,10
spend,22
12,8
supporting,1
ease,6
homelessness,5
victim,2
repossession,1
dermot,1
gleeson,2
awareness,2
seriousness,1
allocation,5
represent,8
16pc,2
unfair,3
injection,1
forthcoming,1
election,4
mortgage,9
default,1
family,7
break-up,2
35pc,1
aside,3
homeless,2
aid,10
group,44
shelter,1
whichever,1
measure,4
scale,4
£12m,1
overnight,2
throughout,9
identify,4
immediate,2
"2,686",1
alone,2
distribute,1
£15.7m,1
£12.3m,2
£10.7m,2
£8.7m,1
£7.7m,1
northumberland,3
£7.3m,1
£6.2m,2
£5m,2
£4.7m,2
s.,1
news,14
difference,2
still,22
gap,1
essentially,1
piecemeal,1
fragmentary,1
here,8
