item,cnt
the,156
northern,1
echo,2
down,3
swamp,2
at,12
darlington,4
something,1
be,82
stir,1
it,32
conservation,5
volunteer,7
on,26
a,51
bright,1
february,2
morning,1
they,14
up,8
to,45
wellied,1
ankle,1
in,33
mud,3
and,63
water,5
turn,1
formerly,2
ignore,1
site,8
edge,1
of,57
heavy,1
industry,4
into,5
nature,9
haven,1
now,4
patch,1
land,5
off,4
whessoe,2
road,3
have,28
not,11
great,1
deal,1
go,5
for,21
back,2
onto,1
couple,1
euphemism,1
civic,1
amenity,1
abattoir,1
valuable,1
pond,3
which,9
attract,4
migrate,1
bird,5
regularly,1
dry,1
summer,2
british,2
trust,3
already,3
achieve,2
much,2
improve,1
's,8
appeal,2
take,5
step,2
stop,3
drain,1
from,11
mini-lake,1
do,7
an,11
inordinate,1
amount,2
plodge,1
wetland,3
we,9
try,2
increase,1
aquatic,2
habitat,4
here,5
include,3
plant,8
reed,1
mace,1
building,2
dyke,2
say,8
dean,3
heward,1
who,3
organise,2
project,4
btcv,2
what,4
you,4
might,1
call,2
labour-intensive,1
wheelbarrow,1
cart,1
one,3
help,1
form,1
containing,1
mound,1
other,2
end,2
own,2
by,13
council,4
fund,1
work,6
helper,1
pupil,1
adjacent,1
school,1
also,5
handicapped,1
will,15
wildlife-friendly,1
hedge,1
blackthorn,1
hawthorn,1
sweet,1
briar,1
dog,2
rose,1
three,1
wedge,1
young,1
tree,2
provide,3
shelter,1
user,1
4000,1
including,2
aspen,1
silver,1
downy,1
birch,1
rowan,1
use,2
moment,1
pass,1
migratory,2
but,7
hopefully,1
once,1
cover,1
grow,2
little,3
encourage,2
start,2
haul,1
away,1
accumulation,1
rubbish,1
find,1
way,5
lake,1
dump,1
car,3
occasional,1
problem,2
even,3
middle,1
wildlife,6
rabbit,2
live,1
surrounding,1
area,3
kestrel,1
spot,1
nearby,1
manage,1
several,2
county,1
durham,4
all,4
rely,1
hard,1
right,3
through,1
want,2
create,5
wildflower,1
meadow,1
important,1
see,3
before,1
ahead,1
so,4
