item,cnt
the,1662
great,20
pretender,1
gulbenkian,2
studio,8
theatre,101
newcastle,23
this,97
production,52
be,987
british,6
premiere,6
of,704
a,653
17th,1
century,5
work,33
by,123
spanish,6
playwright,6
lope,1
de,5
vega,1
but,111
any,20
assumption,1
we,90
may,21
have,312
that,160
it,264
will,84
genteel,1
period,2
piece,14
dispel,2
with,184
first,26
few,16
line,7
dialogue,2
open,29
tirade,1
four,19
letter,4
abuse,1
from,155
roman,1
footsoldier,1
to,644
they,200
absent,1
leader,5
translation,1
david,8
johnston,1
for,264
gate,1
go,55
on,244
incorporate,1
many,24
deliberate,2
anachronism,1
which,76
give,37
play,120
decidedly,1
modern,21
flavour,2
act,20
account,3
only,21
one,76
third,7
two-and-a-quarter-hour,1
running,2
time,35
and,702
detail,43
series,10
intrigue,1
whereby,1
diocletian,1
john,21
straiton,1
common,1
legionary,1
ascend,1
position,3
caesar,1
follow,14
murder,2
he,263
predecessor,2
aurelius,2
effectively,1
establish,3
background,3
decadence,1
savagery,1
corruption,2
rome,2
in,545
300,3
ad,1
shift,1
gear,2
after,34
interval,14
arrival,2
travelling,1
company,36
present,20
an,89
entertainment,8
newly,2
install,2
emperor,1
good,30
deal,4
broad,1
mockery,1
group,30
's,253
thespian,1
pretension,1
there,61
yet,12
another,9
change,12
tack,1
as,165
troupe,1
hitherto,1
self-absorbed,1
genesius,1
louis,1
hilyer,2
convert,2
christianity,1
martyr,1
denounce,1
oppressive,1
regime,1
actor,14
often,5
provide,14
focus,3
story,15
about,54
victimisation,1
innocent,3
totalitarian,1
force,7
example,1
include,14
or,38
not,147
private,4
parade,1
last,42
metro,1
recent,5
film,17
ay,1
carmela,1
so,36
interesting,2
see,43
such,8
relatively,2
early,11
variation,2
theme,5
affectionate,1
satire,2
outrageously,1
hammy,1
theatrical,2
though,10
amusing,5
strike,2
rather,12
hollow,1
note,7
when,36
much,22
own,19
stridently,1
self-indulgent,1
particular,2
jamie,1
newall,1
would,47
make,40
tod,1
slaughter,1
seem,22
model,5
subtle,4
understatement,1
declamatory,1
performance,34
i,188
barely,2
distinguishable,1
badness,1
later,7
whose,11
character,12
apparently,1
patron,4
saint,4
however,7
excellent,6
while,18
rae,1
smith,1
idiosyncratic,1
costume,11
design,4
lighting,1
paul,6
russell,8
also,39
very,28
effective,2
contribution,2
uneven,1
rewarding,1
evening,18
musicon,1
concert,53
st,14
mary,2
college,13
durham,25
siritsu,1
young,38
musician,15
devote,1
music,71
bolivian,3
origin,3
particularly,7
associate,2
silver,1
mining,4
town,35
potosi,1
perhaps,9
something,10
disappointment,1
find,17
all,73
britain,4
therefore,1
genuine,2
folk,18
lack,11
those,12
who,92
hear,11
andean,2
perform,13
do,100
locally,1
year,64
miss,9
primitive,1
earthy,1
saturday,34
night,59
nevertheless,1
thoroughly,2
enjoyable,4
some,38
musicianship,1
display,15
generally,2
alternate,2
between,18
sophisticated,1
16th,2
mostly,3
sacred,2
delightful,1
singing,3
sara,1
stowe,1
able,5
accompaniment,1
recorder,4
harp,1
guitar,9
hurdy,1
gurdy,1
native,1
material,3
albeit,2
conquistador,1
influence,3
evident,2
use,11
instrument,7
armadillo,1
charango,1
pan,1
pipe,1
caja,1
splendidly,1
build,5
programme,11
around,17
season,12
ritual,2
division,1
attempt,4
demonstrate,3
how,8
absorb,1
into,31
vision,5
world,17
achieve,6
considerable,2
success,9
audience,38
respond,2
enthusiastically,1
unusual,3
intriguing,1
tommy,4
chase,2
quartet,16
art,105
centre,82
darlington,180
three,21
since,18
other,25
player,14
completely,5
still,18
obviously,3
driving,1
blakey,1
mould,1
once,8
again,5
select,3
talented,6
tour,27
final,12
line-up,3
dave,4
lewis,2
sax,8
les,1
miller,1
double,5
bass,8
guitarist,6
chris,2
watson,3
replace,2
previously,2
announce,5
hammond,1
organist,2
second,16
date,7
get,33
off,17
bad,10
start,11
trip,3
manchester,2
through,13
freezing,1
fog,1
arrive,6
late,9
cold,1
despite,8
slight,2
delay,2
band,41
rousing,2
welcome,16
reward,2
two,36
superb,8
set,29
hard,7
drive,4
unmistakeably,1
jazz,10
drummer,1
crisp,1
energetic,1
clearly,4
lead,7
indulge,1
little,15
showmanship,1
back,23
playing,2
tenor,4
well,24
together,12
solo,5
old,38
fashion,2
curved,1
soprano,2
look,28
almost,8
like,43
toy,4
sound,15
clear,4
forceful,1
hand,14
most,27
write,18
tradition,4
amongst,1
outstanding,2
number,11
tribute,4
bobby,6
timmons,2
base,12
di,2
here,18
bouncy,2
summertime,2
continue,9
up,51
down,9
country,16
at,247
corner,5
house,16
sunday,27
9,2
definitely,4
worth,2
catch,4
plan,4
new,45
venue,8
could,27
bring,16
top,19
cabaret,6
star,27
provisional,1
booking,4
already,15
entertainer,2
freddie,2
starr,1
bob,3
monkhouse,1
tammy,1
wynette,1
former,10
beehive,3
ballroom,3
mcmullen,2
road,34
if,31
permission,3
grant,8
licence,2
promoter,5
hope,13
show,46
within,2
next,12
month,17
developer,1
variety,8
ltd,2
believe,8
stock,3
disco,7
club,75
people,46
enough,6
over-30s,1
stage,28
host,8
conference,3
banquet,1
spend,8
"£175,000",1
improvement,4
hall,74
council,31
unhappy,1
safety,4
arrangement,2
decision,4
whether,3
take,51
march,35
operator,2
battle,3
thousands,2
pound,1
rock,5
superstar,1
prince,10
cancel,3
trevor,4
andrews,4
run,20
darlington-based,1
rockbus,1
travel,3
ticket,26
business,14
"£3,700",1
out,55
pocket,1
blenheim,2
palace,2
august,2
now,24
lose,5
anything,5
continued,1
effort,8
including,7
fax,1
plea,2
paisley,1
park,13
minneapolis,1
usa,1
yesterday,14
science,3
teacher,8
staindrop,1
comprehensive,3
near,9
say,119
because,25
want,23
keep,23
relation,1
customer,2
decide,6
full,12
refund,2
147,1
shortly,1
pay,6
individual,4
holder,2
money,10
choice,3
due,12
hold,17
summer,4
no,36
agency,5
where,26
feel,7
punish,1
course,22
nice,3
publicity,10
can,34
june,7
try,10
contact,6
pop,4
office,12
appeal,3
vain,1
seek,5
help,10
esther,1
rantzen,1
life,9
someone,6
accept,5
responsibility,1
loss,1
several,8
suffer,3
same,15
fate,4
crucial,2
performer,8
frustrating,1
treat,5
available,9
comment,3
organisation,2
northeast,2
share,4
"£80,000",1
newcastle-based,1
northern,25
distribute,2
during,13
january,1
21,3
dance,57
project,6
big,10
single,2
"£7,000",1
massingham,1
towards,3
residency,1
sunderland-based,1
artist,13
',27
award,13
"£2,000",1
cleveland,5
panayiotis,1
kalorkoti,1
win,15
"£2,500",1
unemployed,1
receive,12
£100,2
far,16
"£5,320",1
among,18
eight,5
craftsman,1
woman,22
attract,7
refurbishment,2
new-look,1
cockerton,2
refurbish,1
member,19
area,10
raymond,2
froggart,1
february,9
22,4
johnny,3
mcevoy,1
26,8
erotic,9
scene,15
ballet,37
outrageous,2
version,13
swan,32
lake,26
come,63
civic,38
ruffle,2
feather,2
accord,4
critic,11
jeffery,1
taylor,6
correspondent,2
mail,5
claim,5
touch,4
too,8
weekend,7
day,24
watch,6
rehearse,1
professional,7
dancer,15
describe,4
more,46
pelvic,2
thrust,2
than,32
arabesque,2
cause,8
outrage,2
director,25
mr,35
bryan,3
goddard,14
unprecedented,1
step,4
advert,3
counter,1
announcement,1
christopher,10
gable,14
artistic,15
nbt,8
astonished,1
rehearsal,7
misunderstand,1
personal,3
guarantee,1
magical,2
child,31
adult,8
phone,1
call,29
monday,20
tuesday,18
parent,7
worry,1
unsuitable,4
reassure,1
lady,8
just,28
convince,1
she,75
book,18
50,3
sell,7
87,1
per,3
cent,1
think,21
should,25
sell-out,4
article,3
ms,2
anne,3
izza,3
press,3
officer,4
field,3
result,8
major,3
pr,1
job,3
school,37
classical,1
offend,2
fact,12
nobody,2
week,26
260,1
kid,1
way,22
offensive,2
beautifully,1
train,3
royal,23
age,9
16,3
defend,2
report,9
tell,16
d,1
&,13
s,1
wednesday,13
strong,7
impact,2
supporter,4
scenario,1
aim,5
shock,7
clarify,1
doubtful,1
sure,3
purist,2
traditionalist,1
raise,7
horror,2
wrthe,2
soho,1
sex,9
compare,2
traditional,6
leeds,9
31,4
sculpture,9
national,13
garden,6
festival,31
permanent,2
home,13
city,11
aion,1
create,8
sculptor,3
hamish,1
horsley,1
portland,1
stone,3
slate,1
large,6
prestigious,3
exhibit,1
event,13
gateshead,4
1990,5
commission,1
rail,2
offer,11
loan,3
part,25
wharton,1
overlook,4
main,2
east,8
coast,1
railway,7
propose,1
site,4
statue,3
measure,1
nine,6
metre,3
five,12
two-and-a-half,2
windy,1
hill,4
high,24
point,9
cathedral,3
form,14
backdrop,2
technical,3
service,11
ken,3
swales,1
recommend,1
amenity,1
leisure,16
committee,16
br,2
planning,2
erect,3
local,13
authority,3
donation,1
represent,4
coup,1
acquisition,2
quality,6
contemporary,3
enhance,1
reputation,2
historic,1
cultural,1
works,6
additional,2
landscaping,1
assist,1
assimilation,1
parkland,1
setting,1
involved,3
move,13
resit,1
store,3
expect,13
cost,5
"£8,500",1
offset,1
unveil,2
environment,3
meeting,19
recorded,2
usual,2
jason,2
place,19
7.30pm,23
14,7
cockfield,2
craft,15
community,9
association,12
fair,9
table,4
sale,9
twice,3
10am,3
4pm,1
every,40
fourth,1
admission,4
free,10
anyone,6
reserve,1
old-time,2
layton,1
singer,13
fund,10
stainton,1
church,41
bishopton,1
village,17
heighington,1
70s,2
friday,9
8pm,15
midnight,1
playgroup,1
melsonby,2
party,6
green,4
howards,1
james,1
tonight,4
begin,15
£3,3
wine,2
savory,1
20,7
ago,13
monty,1
python,1
team,5
small,10
screen,3
different,12
odeon,1
ironic,1
thing,18
rehash,1
tv,5
sketch,2
meanwhile,2
box,7
coverage,1
11th,1
winter,2
olympic,1
game,14
