item,cnt
mentally,4
ill,3
open,19
door,10
to,1592
visitor,3
scotland,63
's,321
first,50
guest,4
house,27
run,22
by,297
people,145
with,343
mental,8
health,19
problem,67
be,2272
in,1032
edinburgh,42
yesterday,17
the,3245
scottish,66
minister,18
lord,6
fraser,4
write,27
alison,4
daniels,2
stockbridge,1
organise,1
community,31
trust,6
on,422
a,1270
commercial,3
basis,10
accord,12
andy,1
hunter,2
aim,7
not,411
treat,6
or,170
rehabilitate,1
but,305
give,60
they,518
an,178
opportunity,5
work,107
say,183
project,8
reflect,8
government,63
of,1742
provide,21
help,43
more,168
suit,5
individual,19
need,67
determine,9
that,600
as,352
many,83
possible,14
live,23
correct,7
support,33
confidence,11
and,1328
independence,3
can,162
gain,9
quality,25
life,58
improve,11
he,477
add,12
preach,2
despairing,1
shock,10
tactic,5
father,16
james,17
morrow,9
make,126
no,110
apology,1
for,496
uncompromising,2
attitude,11
when,99
feel,31
it,637
could,64
save,20
frank,3
urquhart,1
meet,15
controversial,2
pro-life,4
activist,6
four,9
day,66
ago,21
diminutive,1
figure,14
dress,9
black,14
call,39
at,266
yorkshire,1
home,31
allan,2
barbara,1
bland,7
parent,37
hillsborough,1
disaster,4
victim,13
tony,5
stand,13
step,10
roman,1
catholic,9
priest,5
who,160
have,762
threaten,6
bring,14
private,18
prosecution,6
murder,10
against,29
anguished,1
couple,11
if,165
son,12
allow,29
die,11
duty,9
try,31
appeal,20
face,27
time,96
again,16
use,44
persuasion,3
occasion,5
prevent,13
young,46
girl,11
abortion,9
carry,13
picture,12
take,95
anti-abortionist,1
depict,2
decapitated,1
head,22
fully,3
form,12
foetus,1
recover,3
from,208
rubbish,1
bin,1
behind,15
clinic,4
new,86
york,26
point,48
harrowing,1
photograph,4
american,31
very,45
assiduous,3
get,103
hold,19
garbage,1
after,71
sinner,1
prostitute,2
thief,2
understand,6
second,16
power,31
argument,10
sadly,4
police,12
magistrate,2
mp,13
lot,17
longer,13
convinced,2
evil,1
historic,2
lords,3
ruling,1
will,168
floodgate,1
mercy,1
killing,3
euthanasia,2
campaign,26
lead,28
two,80
jail,7
strangeways,1
pentonville,1
least,22
"£2,000",1
fine,11
public,32
order,20
offence,5
which,215
stubbornly,1
refuse,14
pay,24
incarceration,1
barrier,7
relentless,2
i,355
just,73
show,42
prisoner,3
aborted,1
baby,4
do,251
deserve,5
here,23
what,119
happen,23
want,48
tell,28
blands,2
there,174
willing,10
care,21
rest,7
would,162
leeds,1
however,32
remain,17
firmly,2
close,13
speak,8
visit,14
',29
return,13
base,15
humanae,1
vitae,1
former,26
18th,3
century,7
chapel,3
deeside,1
village,9
braemar,3
become,32
focus,10
national,40
must,46
attempt,21
alleviate,3
suffer,14
all,148
sort,18
way,43
one,148
suffering,4
kill,13
you,198
any,74
method,6
whether,34
starvation,3
some,103
quick,2
execution,1
among,21
prolong,1
own,37
go,89
ahead,12
this,241
eventually,4
dawn,2
reason,16
once,18
well,47
under,25
wholesale,2
victory,3
anti-god,1
force,31
58,1
native,4
paisley,1
arrive,3
1980,2
st,18
andrew,2
church,11
ten,11
year,117
later,19
quit,1
parish,2
concentrate,8
activity,9
movement,2
begin,21
1966,1
sir,4
david,8
steel,2
member,35
bill,19
legalise,1
then,53
inherently,1
total,13
rejection,4
christianity,2
love,19
god,6
above,6
thing,38
neighbour,9
yourself,4
like,82
see,77
absolutely,3
unborn,2
death,29
impunity,1
state,52
justification,3
innocent,5
child,78
circumstance,4
mother,12
rape,5
she,158
pregnancy,2
draw,11
line,17
between,49
human,7
right,67
almost,21
decade,11
series,7
protest,5
demonstration,1
outside,6
throughout,4
england,11
foul,3
law,20
countless,1
last,47
claim,22
70,5
persuade,6
derek,2
ironside,1
campaigner,2
general,20
election,28
uk,16
system,53
labour,55
39,3
per,72
cent,65
vote,25
68,3
parliamentary,5
seat,8
whereas,3
snp,6
21.5,1
4,9
we,257
pr,1
clearly,9
mandate,6
put,39
up,74
shut,2
quote,3
gerry,1
hassan,1
view,32
9,4
february,14
john,25
smith,15
aspiration,1
prime,8
tory,11
privatise,1
water,14
win,20
next,16
numerical,1
strength,5
mps,5
agree,14
position,8
irreconcilable,1
spite,5
mcallion,1
apparent,6
parallel,1
fact,32
distinction,1
obvious,4
parliament,11
within,9
vision,2
nation,18
europe,7
smoke,6
out,103
extraordinary,3
species,2
sight,4
centre,18
recently,14
appear,19
favour,9
grouping,3
city,29
pavement,2
office,26
block,4
most,69
commonly,2
around,13
mid-morning,1
12,11
noon,1
2pm,1
scuttle,1
doorway,1
desperateness,1
quickly,3
dispel,3
suck,1
white,12
smoking,10
cylinder,1
believe,23
identify,7
puffout,1
distance,5
cousin,3
old,39
favourite,2
puffin,1
reveal,7
itself,15
due,6
strict,6
regulation,3
healthy,3
environment,12
quite,21
harmless,1
pothole,2
road,32
democracy,14
happy,6
anniversary,3
now,94
exactly,4
month,26
since,34
morning,6
march,7
before,32
esteemed,1
political,33
class,11
meaningful,1
meeting,8
scottish-style,1
plain,4
litter,2
opposing,2
party,55
link,10
arm,4
stride,1
towards,19
tomorrow,7
ahem,1
interesting,5
stirring,1
undergrowth,1
may,74
effect,19
mind,8
opposition,6
leader,22
instance,4
executive,13
examine,8
fruit,2
trade,12
union,28
congress,1
function,3
honest,2
broker,3
follow,15
swiftly,1
evaporate,1
euphoria,1
"25,000",1
soul,1
turn,26
december,9
thinking,3
emerge,6
underline,3
impatience,1
electorate,3
spokespeople,1
good,81
interest,31
heart,10
clear,18
non-party,1
group,13
spring,5
wake,3
body,16
such,65
common,8
cause,36
united,13
prepared,9
together,16
coalition,7
stage,9
further/far,6
event,9
highlight,5
deficiency,1
current,14
constitutional,2
arrangement,5
moment,5
keep,38
momentum,3
generate,4
intend,2
progress,5
agenda,12
formal,3
politician,18
continue,12
drag,3
foot,9
immediate,4
term,15
should,83
vacuum,8
publication,3
result,17
stocktaking,1
condition,16
expect,13
end,33
plan,20
brief,5
conference,5
saturday,6
pronouncement,3
invite,7
contribution,2
send,8
small,14
number,27
delegate,1
neither,6
civic,2
hang,3
much,49
wait,9
inter-party,1
establish,11
ground,10
communal,2
civic-led,1
summit,3
also,79
manner,2
other,102
involve,21
pan-scottish,1
wide,8
constituency,2
respond,4
implication,2
initiative,7
flag,4
concern,14
across,10
european,9
scene,7
juncture,1
notice,8
slight,5
differential,1
pace,2
amateur,1
game,5
alleged,3
professional,5
spot,4
ditherer,1
cash,6
prize,1
though,14
fair,15
absolve,1
liberal,7
democrat,5
charge,19
time-wasting,1
jim,5
wallace,3
active,1
format,1
both,37
nationalist,4
posturing,1
doubt,10
these,65
gentleman,1
than,111
little,31
local,28
difficulty,19
respective,1
mr,59
salmond,1
pure,1
diehard,1
fundamentalist,2
never,25
truck,1
letter,11
word,15
devolution,1
matter,26
resolve,1
conundrum,1
target,6
labour-held,1
