item,cnt
golden,2
eagle,2
i,8
read,2
with,8
dismay,1
the,59
report,2
by,10
auslan,1
cramb,1
11,2
march,3
concerning,1
killing,2
of,39
scottish,1
landowner,1
',3
federation,1
unequivocally,1
condemn,1
illegal,1
protected,1
bird,15
slf,1
recommend,1
to,24
it,11
member,1
that,10
in,19
they,9
own,2
interest,2
and,26
employee,1
rebrief,1
staff,1
on,7
need,1
use,2
only,3
legal,1
means,1
management,1
a,27
clause,1
effect,1
should,1
also,3
be,43
include,4
any,4
contract,1
employment,1
we,2
have,10
draft,1
available,4
application,1
number,2
would,2
like,2
reassure,1
ian,1
mclaren,2
point,2
view,2
today,2
garden,5
west,1
coast,1
thrive,1
despite,2
resident,2
magpie,4
this,6
year,2
's,2
nest,2
building,1
already,2
begin,1
visit,2
daily,1
blue,1
tit,5
great,3
long-tailed,1
coal,1
siskin,1
greenfinch,1
sparrow,1
blackbird,1
thrush,2
robin,2
at,7
last,3
count,1
chaffinch,1
regular,2
visitor,2
two,1
wood,1
pigeon,1
seven,1
collar,1
dove,1
innumerable,1
rook,1
jackdaw,1
natural,1
predator,1
sparrowhawk,1
kestrel,1
swoop,1
raid,1
fox,1
weasel,1
could,1
describe,1
as,7
friendly,1
ample,1
cover,2
for,4
roost,2
plenty,1
berry,2
seed,1
head,1
from,4
november,1
april,1
wild-bird,1
food,1
once,1
day,1
nut,1
suspend,1
holder,1
clean,1
drinking,1
water,2
supply,2
important,1
varied,1
diet,1
encourage,1
there,1
mr,1
if,1
you,4
correct,1
environment,1
ivy,4
benefit,2
contrary,1
popular,2
myth,1
suggestion,1
recent,2
correspondent,1
10,1
not,10
menace,1
tree,4
indeed,1
parasite,1
sense,1
feed,2
root,1
ground,1
healthy,2
will,2
normally,1
unaffected,1
which,5
moribund,1
remaining,1
crown,1
may,2
suppress,1
but,3
loss,1
individual,1
far,2
outweigh,1
conservation,1
an,3
essential,1
component,1
good,2
woodland,2
habitat,1
britain,1
often,1
provide,3
evergreen,1
shelter,1
winter,4
dense,1
growth,1
place,1
range,1
life,1
well,5
warm,1
or,2
small,2
retreat,1
butterfly,1
other,3
insect,2
flower,1
abundant,1
nectar,1
time,2
when,2
hardly,1
source,1
throughout,1
autumn,1
forage,1
bee,1
wasps,1
host,1
fly,1
attract,1
eat,1
most,2
species,2
large,2
family,1
many,1
so,2
please,1
think,1
carefully,1
before,1
take,1
axe,1
consider,1
harm,1
do,4
countless,1
more,1
interested,1
letter,1
express,1
concern,1
absence,1
too,1
very,2
worried,1
increase,2
area,1
falkirk,1
always,2
population,1
these,2
handsome,1
predatory,1
near,1
maggie,1
woods,1
loan,1
name,2
after,1
delighted,1
both,1
crow,1
observe,1
over,1
period,1
usual,2
mixture,1
four,1
kind,1
three,1
variety,1
finch,1
goldcr,1
wren,1
course,2
ubiquitous,1
all,3
contribute,1
total,1
approximately,1
20,1
look,1
forward,1
summer,1
play,2
hard,1
get,2
everyone,2
turn,2
talk,1
dirty,1
attempt,1
entice,1
six,1
male,2
sperm,1
whale,7
out,1
scapa,2
flow,1
some,2
fruity,1
dialogue,1
record,1
hen,1
night,1
off,2
azores,1
fail,1
foresight,1
scientist,2
operate,1
marine,1
0898,1
line,1
bring,1
tape,2
say,1
what,2
know,1
presumably,1
case,1
sort,2
lad,1
who,1
girl,1
ring,1
bell,1
either,1
emanate,1
depth,1
huffy,1
click,1
noise,2
apparently,2
sound,2
few,2
spout,1
then,2
boy,2
hope,1
try,4
again,2
show,1
commendable,1
patience,1
vamp,1
bunch,1
vagrant,1
pentland,1
firth,1
arm,1
waterproof,1
tannoy,1
box,1
plain-wrapped,1
idea,1
account,1
habit-forming,1
although,1
recording,1
ritzy,1
chat,1
optional,1
extra,1
those,1
flotation,1
chamber,1
gadget,1
metropolitan,1
smart,1
set,1
stave,1
ennui,1
rich,1
stupid,1
still,1
ploy,1
shift,1
people,1
clearly,1
catch,1
possibly,1
origin,1
white,1
technique,1
brit,1
ever,1
innovator,1
pioneer,1
northern,1
ireland,1
1970s,1
seem,1
unjust,1
deplore,1
human,1
right,1
abuse,1
later,1
market,1
under,1
brand,1
acid,1
house,1
famous,1
example,1
american,1
blast,1
general,1
noriega,1
poorly-reviewed,1
heavy,1
metal,1
album,1
something,1
waco,1
perhaps,1
boffin,1
boat,1
ought,1
swallow,1
compassion,1
equally,1
coercive,1
instead,1
tow,1
amplified,1
sweet,1
nothing,1
ahead,1
school,1
might,1
sit,1
astern,1
well-chosen,1
selection,1
osmonds,1
hit,1
singalongamax,1
work,1
